date,cases,deaths
2020-03-25,1,0
2020-03-26,3,0
2020-03-27,5,0
2020-03-28,5,0
2020-03-29,5,0
2020-03-30,5,0
2020-03-31,5,0
2020-04-01,5,0
2020-04-02,6,0
2020-04-03,9,0
2020-04-04,10,0
2020-04-05,10,0
2020-04-06,10,0
2020-04-07,10,0
2020-04-08,10,0
2020-04-09,11,0
2020-04-10,12,0
2020-04-11,12,0
2020-04-12,13,0
2020-04-13,15,0
2020-04-14,16,0
2020-04-15,17,0
2020-04-16,18,0
2020-04-17,20,0
2020-04-18,20,0
2020-04-19,21,0
2020-04-20,22,0
2020-04-21,26,0
2020-04-22,29,0
2020-04-23,31,0
2020-04-24,31,0
2020-04-25,31,0
2020-04-26,34,0
2020-04-27,34,0
2020-04-28,34,0
2020-04-29,36,0
2020-04-30,37,0
2020-05-01,39,0
2020-05-02,40,0
2020-05-03,40,0
2020-05-04,40,0
2020-05-05,40,0
2020-05-06,42,0
2020-05-07,44,0
2020-05-08,44,0
2020-05-09,44,0
