date,cases,deaths
2020-03-26,2,0.0
2020-03-27,2,0.0
2020-03-28,2,0.0
2020-03-29,3,0.0
2020-03-30,4,0.0
2020-03-31,4,0.0
2020-04-01,4,0.0
2020-04-02,6,0.0
2020-04-03,6,0.0
2020-04-04,6,0.0
2020-04-05,7,0.0
2020-04-06,8,0.0
2020-04-07,9,0.0
2020-04-08,9,0.0
2020-04-09,10,0.0
2020-04-10,10,0.0
2020-04-11,11,0.0
2020-04-12,18,0.0
2020-04-13,18,1.0
2020-04-14,18,1.0
2020-04-15,20,1.0
2020-04-16,20,1.0
2020-04-17,20,1.0
2020-04-18,22,1.0
2020-04-19,22,1.0
2020-04-20,23,1.0
2020-04-21,24,1.0
2020-04-22,24,1.0
2020-04-23,28,1.0
2020-04-24,29,1.0
2020-04-25,29,1.0
2020-04-26,29,1.0
2020-04-27,30,1.0
2020-04-28,31,1.0
2020-04-29,31,1.0
2020-04-30,29,1.0
2020-05-01,29,1.0
2020-05-02,30,1.0
2020-05-03,30,1.0
2020-05-04,30,1.0
2020-05-05,31,1.0
2020-05-06,31,1.0
2020-05-07,31,1.0
2020-05-08,31,1.0
2020-05-09,31,1.0
2020-05-10,31,1.0
2020-05-11,33,1.0
2020-05-12,33,1.0
2020-05-13,33,1.0
2020-05-14,34,1.0
2020-05-15,34,1.0
2020-05-16,34,1.0
2020-05-17,34,1.0
2020-05-18,34,1.0
2020-05-19,33,1.0
2020-05-20,33,1.0
2020-05-21,33,1.0
2020-05-22,33,1.0
2020-05-23,33,1.0
2020-05-24,33,1.0
2020-05-25,34,1.0
2020-05-26,34,1.0
2020-05-27,34,1.0
2020-05-28,35,1.0
2020-05-29,38,1.0
2020-05-30,38,1.0
2020-05-31,40,1.0
2020-06-01,40,1.0
2020-06-02,40,1.0
2020-06-03,40,1.0
2020-06-04,40,1.0
2020-06-05,40,1.0
2020-06-06,40,1.0
2020-06-07,40,1.0
2020-06-08,40,1.0
2020-06-09,40,1.0
2020-06-10,41,1.0
2020-06-11,43,1.0
2020-06-12,43,1.0
2020-06-13,45,1.0
2020-06-14,46,1.0
2020-06-15,46,1.0
2020-06-16,46,1.0
2020-06-17,46,1.0
2020-06-18,46,1.0
2020-06-19,48,1.0
2020-06-20,50,1.0
2020-06-21,50,1.0
2020-06-22,50,1.0
2020-06-23,52,1.0
2020-06-24,52,1.0
2020-06-25,54,1.0
2020-06-26,54,1.0
2020-06-27,55,1.0
2020-06-28,55,1.0
2020-06-29,55,1.0
2020-06-30,55,1.0
2020-07-01,55,1.0
2020-07-02,57,1.0
2020-07-03,58,1.0
2020-07-04,58,1.0
2020-07-05,58,1.0
2020-07-06,59,1.0
2020-07-07,59,1.0
2020-07-08,60,1.0
2020-07-09,62,1.0
2020-07-10,63,1.0
2020-07-11,65,1.0
2020-07-12,66,1.0
2020-07-13,67,1.0
2020-07-14,69,1.0
2020-07-15,68,1.0
2020-07-16,68,1.0
2020-07-17,69,1.0
2020-07-18,70,1.0
2020-07-19,73,1.0
2020-07-20,75,1.0
2020-07-21,75,1.0
2020-07-22,77,1.0
2020-07-23,78,2.0
2020-07-24,83,2.0
2020-07-25,86,2.0
2020-07-26,91,2.0
2020-07-27,90,2.0
2020-07-28,92,2.0
2020-07-29,93,2.0
2020-07-30,94,2.0
2020-07-31,96,2.0
2020-08-01,96,2.0
2020-08-02,98,2.0
2020-08-03,100,2.0
2020-08-04,100,2.0
2020-08-05,103,2.0
2020-08-06,114,2.0
2020-08-07,114,2.0
2020-08-08,114,2.0
2020-08-09,114,2.0
2020-08-10,116,3.0
2020-08-11,120,3.0
2020-08-12,120,3.0
2020-08-13,122,3.0
2020-08-14,122,3.0
2020-08-15,122,3.0
2020-08-16,122,3.0
2020-08-17,122,3.0
2020-08-18,122,3.0
2020-08-19,124,3.0
2020-08-20,125,3.0
2020-08-21,127,3.0
2020-08-22,128,3.0
2020-08-23,128,3.0
2020-08-24,129,3.0
2020-08-25,128,3.0
2020-08-26,132,3.0
2020-08-27,131,3.0
2020-08-28,131,3.0
2020-08-29,133,3.0
2020-08-30,135,3.0
2020-08-31,135,3.0
2020-09-01,137,3.0
2020-09-02,137,3.0
2020-09-03,138,3.0
2020-09-04,141,3.0
2020-09-05,141,3.0
2020-09-06,141,3.0
2020-09-07,142,3.0
2020-09-08,144,3.0
2020-09-09,145,3.0
2020-09-10,145,3.0
2020-09-11,146,3.0
2020-09-12,148,3.0
2020-09-13,151,3.0
2020-09-14,151,3.0
2020-09-15,155,3.0
2020-09-16,157,3.0
2020-09-17,157,3.0
2020-09-18,160,3.0
2020-09-19,161,3.0
2020-09-20,164,3.0
2020-09-21,165,3.0
2020-09-22,167,3.0
2020-09-23,167,3.0
2020-09-24,167,3.0
2020-09-25,168,3.0
2020-09-26,171,3.0
2020-09-27,172,3.0
2020-09-28,172,3.0
2020-09-29,174,3.0
2020-09-30,174,3.0
2020-10-01,174,3.0
2020-10-02,175,3.0
2020-10-03,179,3.0
2020-10-04,179,3.0
2020-10-05,179,3.0
2020-10-06,179,3.0
2020-10-07,180,3.0
2020-10-08,183,3.0
2020-10-09,186,3.0
2020-10-10,187,3.0
2020-10-11,187,3.0
2020-10-12,188,3.0
2020-10-13,189,3.0
2020-10-14,190,3.0
2020-10-15,191,3.0
2020-10-16,192,3.0
2020-10-17,196,3.0
2020-10-18,196,3.0
2020-10-19,196,3.0
2020-10-20,197,3.0
2020-10-21,199,3.0
2020-10-22,202,3.0
2020-10-23,203,3.0
2020-10-24,203,3.0
2020-10-25,204,3.0
2020-10-26,205,3.0
2020-10-27,209,3.0
2020-10-28,214,3.0
2020-10-29,217,3.0
2020-10-30,219,3.0
2020-10-31,222,3.0
2020-11-01,223,3.0
2020-11-02,225,3.0
2020-11-03,228,3.0
2020-11-04,229,3.0
2020-11-05,230,3.0
2020-11-06,233,3.0
2020-11-07,235,3.0
2020-11-08,235,3.0
2020-11-09,236,3.0
2020-11-10,240,3.0
2020-11-11,246,3.0
2020-11-12,247,3.0
2020-11-13,257,3.0
2020-11-14,267,3.0
2020-11-15,269,3.0
2020-11-16,270,3.0
2020-11-17,273,4.0
2020-11-18,282,4.0
2020-11-19,293,4.0
2020-11-20,299,4.0
2020-11-21,304,4.0
2020-11-22,306,4.0
2020-11-23,307,4.0
2020-11-24,314,4.0
2020-11-25,337,4.0
2020-11-26,341,4.0
2020-11-27,341,4.0
2020-11-28,344,4.0
2020-11-29,346,4.0
2020-11-30,354,4.0
2020-12-01,366,4.0
2020-12-02,372,4.0
2020-12-03,382,4.0
2020-12-04,385,4.0
2020-12-05,393,4.0
2020-12-06,393,4.0
2020-12-07,397,4.0
2020-12-08,408,4.0
2020-12-09,415,4.0
2020-12-10,423,4.0
2020-12-11,426,4.0
2020-12-12,430,4.0
2020-12-13,433,4.0
2020-12-14,434,4.0
2020-12-15,438,4.0
2020-12-16,444,4.0
2020-12-17,445,5.0
2020-12-18,451,6.0
2020-12-19,454,6.0
2020-12-20,454,6.0
2020-12-21,457,6.0
2020-12-22,467,6.0
2020-12-23,472,6.0
2020-12-24,475,7.0
2020-12-25,477,7.0
2020-12-26,477,7.0
2020-12-27,478,7.0
2020-12-28,480,7.0
2020-12-29,493,7.0
2020-12-30,501,7.0
2020-12-31,517,7.0
2021-01-01,519,7.0
2021-01-02,523,7.0
2021-01-03,525,7.0
2021-01-04,528,7.0
2021-01-05,545,7.0
2021-01-06,556,7.0
2021-01-07,563,7.0
2021-01-08,571,7.0
2021-01-09,578,9.0
2021-01-10,579,9.0
2021-01-11,581,10.0
2021-01-12,591,11.0
2021-01-13,594,13.0
2021-01-14,598,14.0
2021-01-15,604,14.0
2021-01-16,605,15.0
