date,cases,deaths
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,2,0
2020-04-03,2,0
2020-04-04,2,0
2020-04-05,3,0
2020-04-06,3,0
2020-04-07,3,0
2020-04-08,5,0
2020-04-09,5,0
2020-04-10,6,0
2020-04-11,8,0
2020-04-12,8,0
2020-04-13,10,0
2020-04-14,10,0
2020-04-15,11,0
2020-04-16,12,0
2020-04-17,14,0
2020-04-18,12,0
2020-04-19,15,0
2020-04-20,16,0
2020-04-21,17,1
2020-04-22,18,1
2020-04-23,21,1
2020-04-24,22,1
2020-04-25,22,1
2020-04-26,25,1
2020-04-27,26,1
2020-04-28,27,1
2020-04-29,27,1
