date,cases,deaths
2020-04-12,1,0
2020-04-13,1,0
2020-04-14,1,0
2020-04-15,2,0
2020-04-16,2,0
2020-04-17,2,0
2020-04-18,4,0
2020-04-19,4,0
2020-04-20,4,0
2020-04-21,4,0
2020-04-22,5,0
2020-04-23,6,0
2020-04-24,6,0
2020-04-25,7,0
2020-04-26,8,0
2020-04-27,8,0
2020-04-28,8,0
2020-04-29,9,0
2020-04-30,9,0
2020-05-01,9,0
2020-05-02,10,0
2020-05-03,10,0
2020-05-04,11,0
2020-05-05,11,0
2020-05-06,11,0
2020-05-07,11,0
2020-05-08,12,0
2020-05-09,13,0
2020-05-10,13,0
2020-05-11,15,0
2020-05-12,16,0
2020-05-13,17,0
2020-05-14,18,0
2020-05-15,19,0
2020-05-16,20,0
2020-05-17,20,0
2020-05-18,22,0
2020-05-19,23,0
2020-05-20,26,0
2020-05-21,28,0
2020-05-22,28,0
2020-05-23,31,0
2020-05-24,33,0
2020-05-25,35,0
2020-05-26,40,0
2020-05-27,40,0
2020-05-28,40,0
2020-05-29,39,0
2020-05-30,40,0
2020-05-31,43,0
