date,cases,deaths
2020-03-20,1,0.0
2020-03-21,1,0.0
2020-03-22,1,0.0
2020-03-23,1,0.0
2020-03-24,2,0.0
2020-03-25,2,1.0
2020-03-26,4,1.0
2020-03-27,5,1.0
2020-03-28,5,1.0
2020-03-29,5,1.0
2020-03-30,7,1.0
2020-03-31,8,1.0
2020-04-01,8,1.0
2020-04-02,9,1.0
2020-04-03,12,1.0
2020-04-04,13,1.0
2020-04-05,14,1.0
2020-04-06,17,1.0
2020-04-07,18,1.0
2020-04-08,20,1.0
2020-04-09,22,2.0
2020-04-10,22,2.0
2020-04-11,22,2.0
2020-04-12,25,2.0
2020-04-13,26,2.0
2020-04-14,29,2.0
2020-04-15,31,2.0
2020-04-16,32,2.0
2020-04-17,32,2.0
2020-04-18,38,2.0
2020-04-19,38,2.0
2020-04-20,39,2.0
2020-04-21,41,2.0
2020-04-22,42,2.0
2020-04-23,43,2.0
2020-04-24,45,2.0
2020-04-25,45,2.0
2020-04-26,45,2.0
2020-04-27,45,2.0
2020-04-28,46,2.0
2020-04-29,47,2.0
2020-04-30,48,2.0
2020-05-01,49,2.0
2020-05-02,50,2.0
2020-05-03,50,2.0
2020-05-04,50,2.0
2020-05-05,53,2.0
2020-05-06,53,2.0
2020-05-07,56,2.0
2020-05-08,59,2.0
2020-05-09,59,2.0
2020-05-10,60,2.0
2020-05-11,60,2.0
2020-05-12,60,2.0
2020-05-13,60,2.0
2020-05-14,60,2.0
2020-05-15,61,2.0
2020-05-16,63,2.0
2020-05-17,63,2.0
2020-05-18,64,2.0
2020-05-19,63,2.0
2020-05-20,66,2.0
2020-05-21,69,2.0
2020-05-22,69,2.0
2020-05-23,69,2.0
2020-05-24,69,2.0
2020-05-25,71,2.0
2020-05-26,72,2.0
2020-05-27,74,2.0
2020-05-28,75,2.0
2020-05-29,76,2.0
2020-05-30,77,2.0
2020-05-31,78,2.0
2020-06-01,84,2.0
2020-06-02,86,3.0
2020-06-03,86,3.0
2020-06-04,86,3.0
2020-06-05,89,3.0
2020-06-06,91,3.0
2020-06-07,93,3.0
2020-06-08,97,3.0
2020-06-09,100,3.0
2020-06-10,104,3.0
2020-06-11,110,3.0
2020-06-12,116,3.0
2020-06-13,126,3.0
2020-06-14,125,3.0
2020-06-15,125,3.0
2020-06-16,128,3.0
2020-06-17,137,3.0
2020-06-18,142,3.0
2020-06-19,150,3.0
2020-06-20,150,3.0
2020-06-21,152,3.0
2020-06-22,155,3.0
2020-06-23,162,3.0
2020-06-24,166,3.0
2020-06-25,182,3.0
2020-06-26,200,3.0
2020-06-27,198,3.0
2020-06-28,200,3.0
2020-06-29,208,3.0
2020-06-30,214,3.0
2020-07-01,242,3.0
2020-07-02,256,3.0
2020-07-03,267,3.0
2020-07-04,272,3.0
2020-07-05,277,3.0
2020-07-06,288,3.0
2020-07-07,306,3.0
2020-07-08,347,3.0
2020-07-09,378,3.0
2020-07-10,406,3.0
2020-07-11,422,3.0
2020-07-12,440,3.0
2020-07-13,447,3.0
2020-07-14,477,3.0
2020-07-15,517,4.0
2020-07-16,521,4.0
2020-07-17,546,4.0
2020-07-18,552,4.0
2020-07-19,567,4.0
2020-07-20,582,4.0
2020-07-21,589,4.0
2020-07-22,604,4.0
2020-07-23,620,4.0
2020-07-24,635,5.0
2020-07-25,648,5.0
2020-07-26,658,5.0
2020-07-27,665,5.0
2020-07-28,679,5.0
2020-07-29,700,5.0
2020-07-30,730,5.0
2020-07-31,759,5.0
2020-08-01,795,5.0
2020-08-02,828,5.0
2020-08-03,842,5.0
2020-08-04,886,6.0
2020-08-05,905,6.0
2020-08-06,947,6.0
2020-08-07,973,6.0
2020-08-08,997,6.0
2020-08-09,1019,6.0
2020-08-10,1044,6.0
2020-08-11,1057,6.0
2020-08-12,1104,6.0
2020-08-13,1111,6.0
2020-08-14,1123,6.0
2020-08-15,1153,7.0
2020-08-16,1161,7.0
2020-08-17,1168,7.0
2020-08-18,1194,7.0
2020-08-19,1203,7.0
2020-08-20,1208,7.0
2020-08-21,1231,7.0
2020-08-22,1246,7.0
2020-08-23,1254,7.0
2020-08-24,1258,7.0
2020-08-25,1264,7.0
2020-08-26,1280,8.0
2020-08-27,1280,9.0
2020-08-28,1290,9.0
2020-08-29,1301,9.0
2020-08-30,1317,9.0
2020-08-31,1318,9.0
2020-09-01,1322,9.0
2020-09-02,1335,9.0
2020-09-03,1343,9.0
2020-09-04,1360,9.0
2020-09-05,1367,9.0
2020-09-06,1372,9.0
2020-09-07,1375,9.0
2020-09-08,1380,9.0
2020-09-09,1385,9.0
2020-09-10,1394,10.0
2020-09-11,1400,10.0
2020-09-12,1410,10.0
2020-09-13,1418,10.0
2020-09-14,1422,10.0
2020-09-15,1435,10.0
2020-09-16,1442,10.0
2020-09-17,1466,10.0
2020-09-18,1485,11.0
2020-09-19,1494,11.0
2020-09-20,1506,11.0
2020-09-21,1516,11.0
2020-09-22,1527,11.0
2020-09-23,1540,11.0
2020-09-24,1546,11.0
2020-09-25,1560,11.0
2020-09-26,1575,11.0
2020-09-27,1581,11.0
2020-09-28,1589,11.0
2020-09-29,1597,12.0
2020-09-30,1611,12.0
2020-10-01,1624,12.0
2020-10-02,1651,12.0
2020-10-03,1670,12.0
2020-10-04,1690,12.0
2020-10-05,1694,12.0
2020-10-06,1705,12.0
2020-10-07,1735,12.0
2020-10-08,1745,12.0
2020-10-09,1777,12.0
2020-10-10,1799,12.0
2020-10-11,1818,12.0
2020-10-12,1834,12.0
2020-10-13,1845,12.0
2020-10-14,1876,13.0
2020-10-15,1901,13.0
2020-10-16,1943,14.0
2020-10-17,1964,14.0
2020-10-18,1979,14.0
2020-10-19,1991,14.0
2020-10-20,2009,15.0
2020-10-21,2055,15.0
2020-10-22,2100,15.0
2020-10-23,2125,15.0
2020-10-24,2149,15.0
2020-10-25,2159,15.0
2020-10-26,2175,15.0
2020-10-27,2194,17.0
2020-10-28,2219,17.0
2020-10-29,2253,17.0
2020-10-30,2282,18.0
2020-10-31,2321,19.0
2020-11-01,2347,19.0
2020-11-02,2359,19.0
2020-11-03,2363,19.0
2020-11-04,2386,19.0
2020-11-05,2422,21.0
2020-11-06,2439,21.0
2020-11-07,2465,22.0
2020-11-08,2476,22.0
2020-11-09,2491,22.0
2020-11-10,2509,23.0
2020-11-11,2563,23.0
2020-11-12,2595,23.0
2020-11-13,2644,23.0
2020-11-14,2688,23.0
2020-11-15,2719,23.0
2020-11-16,2728,23.0
2020-11-17,2741,24.0
2020-11-18,2769,24.0
2020-11-19,2800,24.0
2020-11-20,2837,24.0
2020-11-21,2885,24.0
2020-11-22,2905,24.0
2020-11-23,2919,24.0
2020-11-24,3025,24.0
2020-11-25,3076,24.0
2020-11-26,3117,23.0
2020-11-27,3134,23.0
2020-11-28,3204,23.0
2020-11-29,3271,23.0
2020-11-30,3298,23.0
2020-12-01,3404,23.0
2020-12-02,3507,23.0
2020-12-03,3616,23.0
2020-12-04,3735,23.0
2020-12-05,3839,23.0
2020-12-06,3896,23.0
2020-12-07,3926,23.0
2020-12-08,4021,23.0
2020-12-09,4121,24.0
2020-12-10,4188,24.0
2020-12-11,4232,25.0
2020-12-12,4306,26.0
2020-12-13,4361,26.0
2020-12-14,4387,26.0
2020-12-15,4433,27.0
2020-12-16,4505,28.0
2020-12-17,4544,28.0
2020-12-18,4595,29.0
2020-12-19,4641,31.0
2020-12-20,4689,31.0
2020-12-21,4703,31.0
2020-12-22,4737,33.0
2020-12-23,4787,34.0
2020-12-24,4834,34.0
2020-12-25,4872,34.0
2020-12-26,4884,34.0
