date,cases,deaths
2020-03-19,1,0
2020-03-20,2,0
2020-03-21,2,0
2020-03-22,2,0
2020-03-23,2,0
2020-03-24,6,0
2020-03-25,10,0
2020-03-26,21,0
2020-03-27,23,1
2020-03-28,34,1
2020-03-29,41,1
2020-03-30,45,1
2020-03-31,53,1
2020-04-01,57,3
2020-04-02,69,4
2020-04-03,103,5
2020-04-04,114,5
2020-04-05,127,6
2020-04-06,148,6
2020-04-07,202,8
2020-04-08,249,8
2020-04-09,329,10
2020-04-10,382,11
2020-04-11,429,15
2020-04-12,454,15
2020-04-13,491,18
2020-04-14,509,17
2020-04-15,561,19
2020-04-16,594,23
2020-04-17,627,25
2020-04-18,638,25
2020-04-19,663,29
2020-04-20,680,33
2020-04-21,721,38
2020-04-22,759,39
2020-04-23,810,38
2020-04-24,845,40
2020-04-25,888,40
2020-04-26,917,41
2020-04-27,942,43
2020-04-28,994,46
2020-04-29,1041,53
2020-04-30,1057,55
2020-05-01,1099,61
