date,cases,deaths
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,2,0
2020-03-25,3,0
2020-03-26,4,0
2020-03-27,4,0
2020-03-28,4,0
2020-03-29,4,0
2020-03-30,6,0
2020-03-31,7,0
2020-04-01,8,0
2020-04-02,8,0
2020-04-03,12,0
2020-04-04,16,0
2020-04-05,20,0
2020-04-06,20,0
2020-04-07,21,0
2020-04-08,26,0
2020-04-09,30,0
2020-04-10,32,0
2020-04-11,32,0
2020-04-12,34,0
2020-04-13,38,1
2020-04-14,38,1
2020-04-15,40,1
2020-04-16,40,1
2020-04-17,42,1
2020-04-18,44,1
2020-04-19,46,1
2020-04-20,47,1
2020-04-21,50,2
2020-04-22,52,2
2020-04-23,53,2
2020-04-24,54,2
2020-04-25,55,2
2020-04-26,57,2
2020-04-27,58,2
2020-04-28,59,2
2020-04-29,59,2
2020-04-30,61,2
2020-05-01,61,2
2020-05-02,64,2
2020-05-03,65,2
2020-05-04,64,2
2020-05-05,67,2
2020-05-06,67,2
2020-05-07,70,2
2020-05-08,72,2
2020-05-09,73,2
2020-05-10,73,2
2020-05-11,73,2
2020-05-12,74,2
2020-05-13,76,2
2020-05-14,76,2
2020-05-15,75,2
2020-05-16,78,2
2020-05-17,78,2
2020-05-18,81,2
2020-05-19,81,2
2020-05-20,82,2
2020-05-21,84,2
2020-05-22,85,2
2020-05-23,86,2
2020-05-24,91,2
2020-05-25,91,2
2020-05-26,95,3
2020-05-27,96,3
2020-05-28,100,3
2020-05-29,106,3
2020-05-30,109,3
2020-05-31,113,5
2020-06-01,122,5
2020-06-02,122,5
2020-06-03,122,5
2020-06-04,124,5
2020-06-05,126,5
2020-06-06,132,5
2020-06-07,137,5
2020-06-08,139,5
2020-06-09,143,5
2020-06-10,147,5
2020-06-11,153,5
2020-06-12,156,5
2020-06-13,160,5
2020-06-14,164,5
2020-06-15,170,5
2020-06-16,172,6
2020-06-17,173,6
2020-06-18,175,6
2020-06-19,177,6
2020-06-20,185,6
2020-06-21,189,6
2020-06-22,192,6
2020-06-23,196,6
2020-06-24,200,6
2020-06-25,207,6
2020-06-26,214,6
2020-06-27,228,6
2020-06-28,231,6
2020-06-29,253,6
2020-06-30,265,7
2020-07-01,275,8
2020-07-02,290,8
2020-07-03,308,8
2020-07-04,311,8
2020-07-05,317,8
2020-07-06,325,8
2020-07-07,331,8
2020-07-08,342,8
2020-07-09,361,8
2020-07-10,379,8
