date,cases,deaths
2020-03-12,1,0.0
2020-03-13,1,0.0
2020-03-14,1,0.0
2020-03-15,1,0.0
2020-03-16,1,0.0
2020-03-17,2,0.0
2020-03-18,4,0.0
2020-03-19,4,0.0
2020-03-20,4,0.0
2020-03-21,5,0.0
2020-03-22,6,0.0
2020-03-23,17,0.0
2020-03-24,17,0.0
2020-03-25,28,0.0
2020-03-26,33,0.0
2020-03-27,43,1.0
2020-03-28,54,1.0
2020-03-29,59,2.0
2020-03-30,61,2.0
2020-03-31,65,2.0
2020-04-01,67,2.0
2020-04-02,66,2.0
2020-04-03,73,2.0
2020-04-04,81,2.0
2020-04-05,85,3.0
2020-04-06,88,3.0
2020-04-07,98,3.0
2020-04-08,103,4.0
2020-04-09,109,4.0
2020-04-10,112,4.0
2020-04-11,121,4.0
2020-04-12,127,4.0
2020-04-13,131,4.0
2020-04-14,136,4.0
2020-04-15,139,4.0
2020-04-16,143,4.0
2020-04-17,150,4.0
2020-04-18,151,4.0
2020-04-19,154,4.0
2020-04-20,155,4.0
2020-04-21,160,4.0
2020-04-22,164,4.0
2020-04-23,166,4.0
2020-04-24,168,4.0
2020-04-25,168,4.0
2020-04-26,168,4.0
2020-04-27,171,4.0
2020-04-28,175,4.0
2020-04-29,179,4.0
2020-04-30,179,4.0
2020-05-01,185,4.0
2020-05-02,185,4.0
2020-05-03,187,4.0
2020-05-04,189,4.0
2020-05-05,190,4.0
2020-05-06,190,4.0
2020-05-07,191,4.0
2020-05-08,194,4.0
2020-05-09,194,4.0
2020-05-10,194,4.0
2020-05-11,195,4.0
2020-05-12,196,4.0
2020-05-13,196,4.0
2020-05-14,199,4.0
2020-05-15,200,4.0
2020-05-16,202,4.0
2020-05-17,204,4.0
2020-05-18,206,4.0
2020-05-19,206,4.0
2020-05-20,207,4.0
2020-05-21,207,4.0
2020-05-22,207,4.0
2020-05-23,207,4.0
2020-05-24,207,4.0
2020-05-25,207,4.0
2020-05-26,210,4.0
2020-05-27,210,4.0
2020-05-28,214,4.0
2020-05-29,216,4.0
2020-05-30,217,4.0
2020-05-31,232,4.0
2020-06-01,235,4.0
2020-06-02,250,4.0
2020-06-03,258,4.0
2020-06-04,263,4.0
2020-06-05,278,4.0
2020-06-06,282,4.0
2020-06-07,289,4.0
2020-06-08,300,4.0
2020-06-09,305,5.0
2020-06-10,314,5.0
2020-06-11,322,5.0
2020-06-12,331,6.0
2020-06-13,339,6.0
2020-06-14,345,6.0
2020-06-15,346,6.0
2020-06-16,354,6.0
2020-06-17,358,6.0
2020-06-18,362,6.0
2020-06-19,370,6.0
2020-06-20,379,6.0
2020-06-21,386,6.0
2020-06-22,389,6.0
2020-06-23,401,6.0
2020-06-24,410,6.0
2020-06-25,420,6.0
2020-06-26,429,6.0
2020-06-27,440,6.0
2020-06-28,455,6.0
2020-06-29,463,6.0
