date,cases,deaths
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,3,0
2020-03-22,3,0
2020-03-23,3,0
2020-03-24,4,0
2020-03-25,5,0
2020-03-26,5,0
2020-03-27,5,0
2020-03-28,7,0
2020-03-29,7,0
2020-03-30,7,0
2020-03-31,8,0
2020-04-01,8,0
2020-04-02,8,0
2020-04-03,10,0
2020-04-04,10,0
2020-04-05,11,0
2020-04-06,12,0
2020-04-07,12,0
2020-04-08,12,0
2020-04-09,13,0
2020-04-10,14,0
2020-04-11,14,0
2020-04-12,14,0
2020-04-13,14,0
2020-04-14,14,0
2020-04-15,15,0
2020-04-16,15,0
2020-04-17,16,0
2020-04-18,18,0
2020-04-19,18,0
2020-04-20,18,0
2020-04-21,18,0
2020-04-22,18,0
2020-04-23,18,0
2020-04-24,18,0
2020-04-25,18,0
2020-04-26,18,0
2020-04-27,18,0
2020-04-28,18,0
2020-04-29,18,0
2020-04-30,18,0
2020-05-01,20,0
2020-05-02,20,0
2020-05-03,21,0
2020-05-04,21,0
2020-05-05,21,0
2020-05-06,21,1
2020-05-07,22,1
2020-05-08,22,1
2020-05-09,23,1
2020-05-10,23,1
2020-05-11,23,1
2020-05-12,23,1
2020-05-13,23,1
2020-05-14,23,1
2020-05-15,23,1
2020-05-16,24,1
2020-05-17,25,1
2020-05-18,25,1
2020-05-19,25,1
2020-05-20,25,1
2020-05-21,25,1
2020-05-22,25,1
2020-05-23,25,1
2020-05-24,25,1
2020-05-25,28,1
2020-05-26,28,1
2020-05-27,28,1
2020-05-28,35,1
2020-05-29,38,1
2020-05-30,40,1
2020-05-31,48,1
2020-06-01,52,1
2020-06-02,57,1
2020-06-03,63,1
2020-06-04,68,1
2020-06-05,73,1
2020-06-06,83,1
2020-06-07,84,1
2020-06-08,88,1
2020-06-09,91,1
2020-06-10,101,1
2020-06-11,104,1
