date,cases,deaths
2020-03-23,2,0.0
2020-03-24,2,0.0
2020-03-25,2,0.0
2020-03-26,2,0.0
2020-03-27,2,0.0
2020-03-28,2,0.0
2020-03-29,2,0.0
2020-03-30,3,0.0
2020-03-31,3,0.0
2020-04-01,4,0.0
2020-04-02,4,0.0
2020-04-03,4,0.0
2020-04-04,4,0.0
2020-04-05,4,0.0
2020-04-06,4,0.0
2020-04-07,4,0.0
2020-04-08,5,0.0
2020-04-09,6,0.0
2020-04-10,9,0.0
2020-04-11,10,0.0
2020-04-12,14,0.0
2020-04-13,14,0.0
2020-04-14,15,1.0
2020-04-15,15,1.0
2020-04-16,15,1.0
2020-04-17,15,1.0
2020-04-18,17,1.0
2020-04-19,18,1.0
2020-04-20,19,1.0
2020-04-21,19,1.0
2020-04-22,20,1.0
2020-04-23,20,1.0
2020-04-24,20,1.0
2020-04-25,20,1.0
2020-04-26,20,1.0
2020-04-27,21,1.0
2020-04-28,21,1.0
2020-04-29,21,1.0
2020-04-30,21,1.0
2020-05-01,21,1.0
2020-05-02,21,1.0
2020-05-03,21,1.0
2020-05-04,21,1.0
2020-05-05,21,1.0
2020-05-06,21,1.0
2020-05-07,21,1.0
2020-05-08,21,1.0
2020-05-09,21,1.0
2020-05-10,21,1.0
2020-05-11,21,1.0
2020-05-12,21,1.0
2020-05-13,21,1.0
2020-05-14,21,1.0
2020-05-15,21,1.0
2020-05-16,21,1.0
2020-05-17,21,1.0
2020-05-18,22,1.0
2020-05-19,22,1.0
2020-05-20,22,1.0
2020-05-21,22,1.0
2020-05-22,22,1.0
2020-05-23,24,1.0
2020-05-24,24,1.0
2020-05-25,24,1.0
2020-05-26,24,1.0
2020-05-27,24,1.0
2020-05-28,24,1.0
2020-05-29,24,1.0
2020-05-30,25,1.0
2020-05-31,29,1.0
2020-06-01,29,1.0
2020-06-02,29,1.0
2020-06-03,34,1.0
2020-06-04,35,1.0
2020-06-05,35,1.0
2020-06-06,35,1.0
2020-06-07,35,1.0
2020-06-08,37,1.0
2020-06-09,37,1.0
2020-06-10,38,1.0
2020-06-11,40,1.0
2020-06-12,42,1.0
2020-06-13,44,1.0
2020-06-14,45,1.0
2020-06-15,46,1.0
2020-06-16,47,1.0
2020-06-17,49,1.0
2020-06-18,52,1.0
2020-06-19,54,1.0
2020-06-20,55,1.0
2020-06-21,56,1.0
2020-06-22,58,1.0
2020-06-23,60,1.0
2020-06-24,62,1.0
2020-06-25,65,1.0
2020-06-26,70,1.0
2020-06-27,73,1.0
2020-06-28,77,1.0
2020-06-29,81,1.0
2020-06-30,84,1.0
2020-07-01,91,1.0
2020-07-02,105,1.0
2020-07-03,110,1.0
2020-07-04,117,1.0
2020-07-05,118,1.0
2020-07-06,119,1.0
2020-07-07,121,2.0
2020-07-08,124,2.0
2020-07-09,130,2.0
2020-07-10,135,2.0
2020-07-11,137,2.0
2020-07-12,149,2.0
2020-07-13,154,2.0
2020-07-14,161,2.0
2020-07-15,164,2.0
2020-07-16,165,2.0
2020-07-17,171,2.0
2020-07-18,177,2.0
2020-07-19,186,2.0
2020-07-20,193,2.0
2020-07-21,201,2.0
2020-07-22,209,2.0
2020-07-23,216,2.0
2020-07-24,217,2.0
2020-07-25,227,2.0
2020-07-26,232,2.0
2020-07-27,240,2.0
2020-07-28,249,2.0
2020-07-29,256,2.0
2020-07-30,271,2.0
2020-07-31,280,2.0
2020-08-01,300,2.0
2020-08-02,314,2.0
2020-08-03,319,2.0
2020-08-04,325,2.0
2020-08-05,328,2.0
2020-08-06,329,2.0
2020-08-07,332,2.0
2020-08-08,338,2.0
2020-08-09,354,2.0
2020-08-10,363,2.0
2020-08-11,367,2.0
2020-08-12,368,2.0
2020-08-13,376,2.0
2020-08-14,379,2.0
2020-08-15,386,2.0
2020-08-16,393,2.0
2020-08-17,395,2.0
2020-08-18,403,2.0
2020-08-19,410,2.0
2020-08-20,420,2.0
2020-08-21,425,2.0
2020-08-22,438,2.0
2020-08-23,449,2.0
2020-08-24,456,2.0
2020-08-25,458,2.0
2020-08-26,464,2.0
2020-08-27,476,2.0
2020-08-28,479,2.0
2020-08-29,480,2.0
2020-08-30,482,2.0
2020-08-31,482,2.0
2020-09-01,486,2.0
2020-09-02,491,2.0
2020-09-03,497,2.0
2020-09-04,505,2.0
2020-09-05,514,2.0
2020-09-06,518,2.0
2020-09-07,521,2.0
2020-09-08,524,2.0
2020-09-09,524,2.0
2020-09-10,530,2.0
2020-09-11,539,2.0
2020-09-12,541,2.0
2020-09-13,547,2.0
2020-09-14,554,2.0
2020-09-15,558,2.0
2020-09-16,560,2.0
2020-09-17,568,2.0
2020-09-18,580,2.0
2020-09-19,586,2.0
2020-09-20,589,2.0
2020-09-21,590,2.0
2020-09-22,595,2.0
2020-09-23,598,2.0
2020-09-24,602,2.0
2020-09-25,604,2.0
2020-09-26,605,2.0
2020-09-27,609,2.0
2020-09-28,612,2.0
2020-09-29,631,2.0
2020-09-30,633,2.0
2020-10-01,643,2.0
2020-10-02,648,2.0
2020-10-03,663,2.0
2020-10-04,672,2.0
2020-10-05,681,2.0
2020-10-06,693,2.0
2020-10-07,695,2.0
2020-10-08,706,2.0
2020-10-09,716,2.0
2020-10-10,735,2.0
2020-10-11,754,2.0
2020-10-12,764,2.0
2020-10-13,776,2.0
2020-10-14,779,2.0
2020-10-15,791,2.0
2020-10-16,809,3.0
2020-10-17,833,3.0
2020-10-18,855,3.0
2020-10-19,871,3.0
2020-10-20,894,2.0
2020-10-21,910,2.0
2020-10-22,936,2.0
2020-10-23,966,2.0
2020-10-24,1000,2.0
2020-10-25,1075,2.0
2020-10-26,1155,2.0
2020-10-27,1214,2.0
2020-10-28,1289,2.0
2020-10-29,1357,2.0
2020-10-30,1421,3.0
2020-10-31,1442,3.0
2020-11-01,1509,3.0
2020-11-02,1577,3.0
2020-11-03,1621,3.0
2020-11-04,1704,3.0
2020-11-05,1740,3.0
2020-11-06,1812,3.0
2020-11-07,1885,3.0
2020-11-08,1934,3.0
2020-11-09,1993,3.0
2020-11-10,2046,5.0
2020-11-11,2116,5.0
2020-11-12,2156,5.0
2020-11-13,2238,5.0
2020-11-14,2274,5.0
2020-11-15,2316,5.0
2020-11-16,2346,5.0
2020-11-17,2372,5.0
2020-11-18,2414,5.0
2020-11-19,2446,5.0
2020-11-20,2488,5.0
2020-11-21,2521,5.0
2020-11-22,2559,5.0
2020-11-23,2581,5.0
2020-11-24,2618,6.0
2020-11-25,2655,6.0
2020-11-26,2713,6.0
2020-11-27,3077,6.0
2020-11-28,3235,6.0
2020-11-29,3366,6.0
2020-11-30,3544,6.0
2020-12-01,3745,6.0
2020-12-02,4001,6.0
2020-12-03,4207,6.0
2020-12-04,4469,8.0
2020-12-05,4699,8.0
2020-12-06,4909,8.0
2020-12-07,4996,8.0
2020-12-08,5042,8.0
2020-12-09,5128,8.0
2020-12-10,5186,8.0
2020-12-11,5266,10.0
2020-12-12,5327,11.0
2020-12-13,5444,11.0
2020-12-14,5462,11.0
2020-12-15,5497,11.0
2020-12-16,5620,11.0
2020-12-17,5687,11.0
2020-12-18,5751,11.0
2020-12-19,5803,11.0
2020-12-20,5815,11.0
2020-12-21,5825,11.0
2020-12-22,5930,13.0
2020-12-23,5997,13.0
2020-12-24,6047,13.0
2020-12-25,6047,13.0
2020-12-26,6077,14.0
2020-12-27,6152,14.0
2020-12-28,6184,14.0
2020-12-29,6225,14.0
2020-12-30,6321,14.0
2020-12-31,6353,16.0
2021-01-01,6353,16.0
2021-01-02,6461,18.0
