date,cases,deaths
2020-04-02,1,0
2020-04-08,1,0
2020-05-20,1,0
2020-05-21,1,0
2020-05-22,1,0
2020-05-23,1,0
2020-05-24,1,0
2020-05-25,1,0
2020-05-26,1,0
2020-05-27,1,0
2020-05-28,1,0
2020-05-29,1,0
2020-05-30,1,0
2020-05-31,1,0
2020-06-01,1,0
2020-06-02,1,0
2020-06-03,1,0
2020-06-04,1,0
2020-06-09,1,0
2020-06-10,1,0
2020-06-11,3,0
2020-06-12,2,0
2020-06-13,2,0
2020-06-14,3,0
2020-06-15,3,0
2020-06-16,1,0
2020-06-17,1,0
2020-06-18,2,0
2020-06-19,12,0
2020-06-20,13,0
2020-06-21,14,0
2020-06-22,15,0
2020-06-23,9,0
2020-06-24,9,0
2020-06-25,24,0
