date,cases,deaths
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,2,0
2020-04-03,2,0
2020-04-04,3,0
2020-04-05,3,0
2020-04-06,3,0
2020-04-07,3,0
2020-04-08,3,0
2020-04-09,3,0
2020-04-10,3,0
2020-04-11,3,0
2020-04-12,3,0
2020-04-13,3,0
2020-04-14,3,0
2020-04-15,3,0
2020-04-16,5,0
2020-04-17,5,0
2020-04-18,7,0
2020-04-19,7,0
2020-04-20,8,0
2020-04-21,9,0
2020-04-22,10,0
2020-04-23,12,0
2020-04-24,11,0
2020-04-25,11,0
2020-04-26,11,0
2020-04-27,11,0
2020-04-28,11,0
2020-04-29,12,0
2020-04-30,13,0
2020-05-01,13,0
2020-05-02,14,0
2020-05-03,14,0
2020-05-04,14,0
2020-05-05,14,0
2020-05-06,15,0
2020-05-07,17,0
2020-05-08,19,1
2020-05-09,19,1
2020-05-10,19,1
2020-05-11,19,1
2020-05-12,19,1
2020-05-13,19,1
2020-05-14,21,1
2020-05-15,22,1
2020-05-16,22,1
2020-05-17,22,1
2020-05-18,22,1
2020-05-19,22,1
2020-05-20,22,1
2020-05-21,22,1
2020-05-22,24,1
2020-05-23,24,1
2020-05-24,24,1
2020-05-25,24,1
2020-05-26,24,2
2020-05-27,25,2
2020-05-28,25,2
2020-05-29,28,2
2020-05-30,30,2
2020-05-31,31,2
2020-06-01,31,2
2020-06-02,35,2
2020-06-03,37,2
2020-06-04,39,2
2020-06-05,42,3
2020-06-06,43,3
2020-06-07,45,3
2020-06-08,46,3
2020-06-09,47,3
2020-06-10,48,3
2020-06-11,49,3
2020-06-12,54,3
2020-06-13,59,3
2020-06-14,70,3
2020-06-15,87,3
2020-06-16,91,3
2020-06-17,99,3
2020-06-18,115,3
2020-06-19,125,3
2020-06-20,143,3
2020-06-21,160,4
2020-06-22,176,4
2020-06-23,192,5
2020-06-24,201,5
2020-06-25,216,5
2020-06-26,237,5
2020-06-27,249,5
2020-06-28,268,5
2020-06-29,271,5
2020-06-30,292,5
2020-07-01,309,6
2020-07-02,314,6
2020-07-03,325,6
2020-07-04,335,6
2020-07-05,354,6
2020-07-06,349,6
2020-07-07,361,6
2020-07-08,373,9
2020-07-09,385,11
2020-07-10,424,12
2020-07-11,439,12
2020-07-12,445,12
2020-07-13,446,12
2020-07-14,468,15
2020-07-15,479,16
2020-07-16,482,16
2020-07-17,512,16
2020-07-18,551,16
2020-07-19,570,16
2020-07-20,573,16
2020-07-21,596,19
2020-07-22,600,20
2020-07-23,622,21
2020-07-24,644,21
2020-07-25,686,21
2020-07-26,714,21
2020-07-27,703,21
2020-07-28,724,22
2020-07-29,730,24
2020-07-30,778,29
2020-07-31,809,29
2020-08-01,822,29
2020-08-02,833,29
2020-08-03,841,29
2020-08-04,846,29
2020-08-05,871,34
2020-08-06,884,36
2020-08-07,887,38
2020-08-08,905,38
2020-08-09,912,38
