date,cases,deaths
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,3,0
2020-03-25,3,0
2020-03-26,3,0
2020-03-27,3,0
2020-03-28,3,0
2020-03-29,3,0
2020-03-30,3,0
2020-03-31,3,0
2020-04-01,3,0
2020-04-02,3,0
2020-04-03,3,0
2020-04-04,3,0
2020-04-05,4,0
2020-04-06,4,0
2020-04-07,5,0
2020-04-08,7,0
2020-04-09,7,0
2020-04-10,9,0
2020-04-11,9,0
2020-04-12,10,0
2020-04-13,10,0
2020-04-14,10,0
2020-04-15,11,0
2020-04-16,11,0
2020-04-17,11,0
2020-04-18,11,0
2020-04-19,11,0
2020-04-20,11,0
2020-04-21,11,0
2020-04-22,11,0
2020-04-23,11,0
2020-04-24,11,0
2020-04-25,11,0
2020-04-26,11,0
2020-04-27,12,0
2020-04-28,12,0
2020-04-29,13,0
2020-04-30,14,0
2020-05-01,14,0
2020-05-02,14,0
2020-05-03,14,0
2020-05-04,14,0
2020-05-05,14,0
2020-05-06,14,0
2020-05-07,14,0
2020-05-08,15,0
2020-05-09,15,0
2020-05-10,15,0
2020-05-11,15,0
2020-05-12,15,0
2020-05-13,16,0
2020-05-14,16,0
2020-05-15,16,0
2020-05-16,16,0
2020-05-17,16,0
2020-05-18,16,0
2020-05-19,16,0
2020-05-20,16,0
2020-05-21,16,0
2020-05-22,16,0
2020-05-23,16,0
2020-05-24,16,0
2020-05-25,16,0
2020-05-26,16,0
2020-05-27,17,0
2020-05-28,18,0
2020-05-29,18,0
2020-05-30,18,0
2020-05-31,18,0
2020-06-01,18,0
2020-06-02,18,0
2020-06-03,18,0
2020-06-04,18,0
2020-06-05,18,0
2020-06-06,18,0
2020-06-07,19,0
2020-06-08,19,0
2020-06-09,22,0
2020-06-10,22,0
2020-06-11,22,0
2020-06-12,23,0
2020-06-13,24,0
2020-06-14,24,0
2020-06-15,24,0
2020-06-16,24,0
2020-06-17,24,0
2020-06-18,24,0
2020-06-19,24,0
2020-06-20,25,0
2020-06-21,26,0
2020-06-22,27,0
2020-06-23,28,0
2020-06-24,28,0
2020-06-25,30,0
2020-06-26,33,0
2020-06-27,34,0
2020-06-28,34,0
2020-06-29,40,0
2020-06-30,40,0
2020-07-01,41,0
2020-07-02,44,0
2020-07-03,44,0
2020-07-04,45,0
2020-07-05,46,0
2020-07-06,50,0
2020-07-07,51,0
2020-07-08,51,0
2020-07-09,51,0
2020-07-10,52,0
2020-07-11,53,0
2020-07-12,55,0
2020-07-13,58,0
2020-07-14,62,0
2020-07-15,64,0
2020-07-16,69,0
2020-07-17,74,0
2020-07-18,77,0
2020-07-19,79,0
2020-07-20,83,0
2020-07-21,90,0
2020-07-22,94,0
2020-07-23,95,0
2020-07-24,100,0
2020-07-25,111,0
2020-07-26,113,0
2020-07-27,115,0
2020-07-28,118,0
2020-07-29,122,0
2020-07-30,122,0
2020-07-31,124,0
2020-08-01,124,0
2020-08-02,125,0
2020-08-03,127,0
2020-08-04,130,0
2020-08-05,130,0
2020-08-06,131,0
2020-08-07,133,0
2020-08-08,135,0
2020-08-09,136,0
2020-08-10,137,0
2020-08-11,140,0
2020-08-12,142,0
2020-08-13,144,0
2020-08-14,144,0
2020-08-15,148,0
2020-08-16,150,0
2020-08-17,154,0
2020-08-18,157,0
2020-08-19,157,0
2020-08-20,159,0
2020-08-21,164,0
2020-08-22,164,0
2020-08-23,168,0
2020-08-24,169,0
2020-08-25,169,0
2020-08-26,174,1
2020-08-27,177,1
2020-08-28,180,1
2020-08-29,183,1
2020-08-30,192,1
2020-08-31,192,1
2020-09-01,191,1
2020-09-02,193,1
2020-09-03,197,1
2020-09-04,199,1
2020-09-05,202,1
2020-09-06,204,1
2020-09-07,204,1
2020-09-08,208,1
2020-09-09,211,1
2020-09-10,212,1
2020-09-11,213,1
2020-09-12,221,1
2020-09-13,222,1
2020-09-14,222,1
2020-09-15,227,2
2020-09-16,226,2
2020-09-17,241,2
2020-09-18,243,2
2020-09-19,245,2
2020-09-20,247,2
2020-09-21,249,2
2020-09-22,250,2
2020-09-23,252,2
2020-09-24,255,2
2020-09-25,256,2
2020-09-26,263,2
2020-09-27,266,2
2020-09-28,269,2
2020-09-29,271,2
2020-09-30,272,2
2020-10-01,274,2
2020-10-02,275,2
2020-10-03,276,2
2020-10-04,277,2
2020-10-05,278,2
2020-10-06,282,2
2020-10-07,284,2
2020-10-08,292,2
2020-10-09,297,2
2020-10-10,303,2
2020-10-11,305,3
2020-10-12,307,3
2020-10-13,313,4
2020-10-14,324,4
2020-10-15,329,4
2020-10-16,331,4
2020-10-17,334,4
2020-10-18,334,4
2020-10-19,335,4
2020-10-20,337,4
2020-10-21,343,4
2020-10-22,349,4
2020-10-23,352,4
2020-10-24,356,4
2020-10-25,359,4
2020-10-26,360,4
2020-10-27,364,4
2020-10-28,368,4
2020-10-29,374,4
2020-10-30,375,4
2020-10-31,379,4
2020-11-01,382,4
2020-11-02,383,4
2020-11-03,386,4
2020-11-04,392,4
2020-11-05,400,4
2020-11-06,404,4
2020-11-07,408,4
