date,cases,deaths
2020-04-06,1,0
2020-04-07,1,0
2020-04-08,1,0
2020-04-09,1,0
2020-04-10,1,0
2020-04-11,1,0
2020-04-12,1,0
2020-04-13,2,0
2020-04-14,2,0
2020-04-15,2,0
2020-04-16,2,0
2020-04-17,2,0
2020-04-18,2,0
2020-04-19,2,0
2020-04-20,2,0
2020-04-21,2,0
2020-04-22,2,0
2020-04-23,2,0
2020-04-24,3,0
2020-04-25,3,0
2020-04-26,5,0
2020-04-27,5,0
2020-04-28,5,0
2020-04-29,5,0
2020-04-30,5,0
2020-05-01,6,0
2020-05-02,6,0
2020-05-03,9,0
2020-05-04,9,0
2020-05-05,10,0
2020-05-06,11,0
2020-05-07,11,0
2020-05-08,11,0
2020-05-09,11,0
2020-05-10,11,0
2020-05-11,13,0
2020-05-12,13,0
2020-05-13,13,0
2020-05-14,13,0
2020-05-15,13,0
2020-05-16,13,0
2020-05-17,13,0
2020-05-18,13,0
2020-05-19,14,0
2020-05-20,14,0
2020-05-21,14,0
2020-05-22,14,0
2020-05-23,14,0
2020-05-24,15,0
2020-05-25,15,0
2020-05-26,15,0
2020-05-27,15,0
2020-05-28,16,0
2020-05-29,16,0
2020-05-30,16,0
2020-05-31,16,0
2020-06-01,16,0
2020-06-02,17,1
2020-06-03,17,1
2020-06-04,17,1
2020-06-05,17,1
2020-06-06,17,1
2020-06-07,17,1
2020-06-08,17,1
2020-06-09,17,1
2020-06-10,17,1
2020-06-11,17,1
2020-06-12,17,1
2020-06-13,19,1
2020-06-14,20,1
2020-06-15,20,1
2020-06-16,20,1
2020-06-17,20,1
2020-06-18,20,1
2020-06-19,20,1
2020-06-20,20,1
2020-06-21,20,1
2020-06-22,20,1
2020-06-23,20,1
2020-06-24,20,1
2020-06-25,20,1
