date,cases,deaths
2020-04-28,1,0.0
2020-04-29,1,0.0
2020-04-30,1,0.0
2020-05-01,1,0.0
2020-05-02,1,0.0
2020-05-03,1,0.0
2020-05-04,1,0.0
2020-05-05,1,0.0
2020-05-06,1,0.0
2020-05-07,1,0.0
2020-05-08,1,0.0
2020-05-09,1,0.0
2020-05-10,1,0.0
2020-05-11,1,0.0
2020-05-12,1,0.0
2020-05-13,1,0.0
2020-05-14,1,0.0
2020-05-15,1,0.0
2020-05-16,1,0.0
2020-05-17,1,0.0
2020-05-18,1,0.0
2020-05-19,1,0.0
2020-05-20,1,0.0
2020-05-21,1,0.0
2020-05-22,1,0.0
2020-05-23,1,0.0
2020-05-24,1,0.0
2020-05-25,1,0.0
2020-05-26,1,0.0
2020-05-27,1,0.0
2020-05-28,2,0.0
2020-05-29,2,0.0
2020-05-30,2,0.0
2020-05-31,2,0.0
2020-06-01,2,0.0
2020-06-02,2,0.0
2020-06-03,2,0.0
2020-06-04,2,0.0
2020-06-05,2,0.0
2020-06-06,2,0.0
2020-06-07,2,0.0
2020-06-08,2,0.0
2020-06-09,3,0.0
2020-06-10,3,0.0
2020-06-11,2,0.0
2020-06-12,2,0.0
2020-06-13,2,0.0
2020-06-14,2,0.0
2020-06-15,2,0.0
2020-06-16,2,0.0
2020-06-17,2,0.0
2020-06-18,2,0.0
2020-06-19,2,0.0
2020-06-20,2,0.0
2020-06-21,2,0.0
2020-06-22,2,0.0
2020-06-23,2,0.0
2020-06-24,2,0.0
2020-06-25,4,0.0
2020-06-26,4,0.0
2020-06-27,4,0.0
2020-06-28,4,0.0
2020-06-29,4,0.0
2020-06-30,4,0.0
2020-07-01,5,0.0
2020-07-02,5,0.0
2020-07-03,5,0.0
2020-07-04,5,0.0
2020-07-05,5,0.0
2020-07-06,6,0.0
2020-07-07,7,0.0
2020-07-08,7,0.0
2020-07-09,8,0.0
2020-07-10,8,0.0
2020-07-11,8,0.0
2020-07-12,7,0.0
2020-07-13,7,0.0
2020-07-14,7,0.0
2020-07-15,8,0.0
2020-07-16,12,0.0
2020-07-17,12,0.0
2020-07-18,12,0.0
2020-07-19,14,0.0
2020-07-20,15,0.0
2020-07-21,15,0.0
2020-07-22,16,0.0
2020-07-23,18,0.0
2020-07-24,19,0.0
2020-07-25,19,0.0
2020-07-26,19,0.0
2020-07-27,22,0.0
2020-07-28,23,0.0
2020-07-29,24,0.0
2020-07-30,24,0.0
2020-07-31,25,0.0
2020-08-01,25,0.0
2020-08-02,25,0.0
2020-08-03,26,0.0
2020-08-04,29,0.0
2020-08-05,31,0.0
2020-08-06,34,1.0
2020-08-07,34,1.0
2020-08-08,34,1.0
2020-08-09,35,1.0
2020-08-10,38,1.0
2020-08-11,38,1.0
2020-08-12,38,1.0
2020-08-13,38,1.0
2020-08-14,40,1.0
2020-08-15,42,1.0
2020-08-16,43,1.0
2020-08-17,44,1.0
2020-08-18,45,1.0
2020-08-19,53,1.0
2020-08-20,56,2.0
2020-08-21,58,2.0
2020-08-22,57,2.0
2020-08-23,58,2.0
2020-08-24,60,2.0
2020-08-25,61,3.0
2020-08-26,65,3.0
2020-08-27,70,3.0
2020-08-28,76,3.0
2020-08-29,93,3.0
