date,cases,deaths
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,1,0
2020-04-05,1,0
2020-04-06,1,0
2020-04-07,1,0
2020-04-08,1,0
2020-04-09,1,0
2020-04-10,1,0
2020-04-11,1,0
2020-04-12,1,0
2020-04-13,1,0
2020-04-14,1,0
2020-04-15,1,0
2020-04-16,1,0
2020-04-17,2,0
2020-04-18,2,0
2020-04-19,2,0
2020-04-20,2,0
2020-04-21,2,0
2020-04-22,2,0
2020-04-23,3,0
2020-04-24,3,0
2020-04-25,3,0
2020-04-26,3,0
2020-04-27,3,0
2020-04-28,3,0
2020-04-29,3,0
2020-04-30,3,0
2020-05-01,3,0
2020-05-02,3,0
2020-05-03,3,0
2020-05-04,3,0
2020-05-05,3,0
2020-05-06,3,0
2020-05-07,3,0
2020-05-08,3,0
2020-05-09,3,0
2020-05-10,3,0
2020-05-11,3,0
2020-05-12,3,0
2020-05-13,3,0
2020-05-14,3,0
2020-05-15,3,0
2020-05-16,3,0
2020-05-17,3,0
2020-05-18,3,0
2020-05-19,3,0
2020-05-20,3,0
2020-05-21,3,0
2020-05-22,3,0
2020-05-23,3,0
2020-05-24,3,0
2020-05-25,3,0
2020-05-26,3,0
2020-05-27,3,0
2020-05-28,3,0
2020-05-29,3,0
2020-05-30,3,0
2020-05-31,3,0
2020-06-01,3,0
2020-06-02,3,0
2020-06-03,3,0
2020-06-04,3,0
2020-06-05,3,0
2020-06-06,3,0
2020-06-07,3,0
2020-06-08,3,0
2020-06-09,3,0
2020-06-10,3,0
2020-06-11,3,0
2020-06-12,3,0
2020-06-13,3,0
2020-06-14,3,0
2020-06-15,3,0
2020-06-16,3,0
2020-06-17,3,0
2020-06-18,3,0
2020-06-19,3,0
2020-06-20,3,0
2020-06-21,4,0
2020-06-22,4,0
2020-06-23,4,0
2020-06-24,4,0
2020-06-25,4,0
2020-06-26,5,0
2020-06-27,5,0
2020-06-28,5,0
2020-06-29,5,0
2020-06-30,5,0
2020-07-01,6,0
2020-07-02,6,0
2020-07-03,7,0
2020-07-04,8,0
2020-07-05,7,0
2020-07-06,7,0
2020-07-07,7,0
2020-07-08,7,0
2020-07-09,7,0
2020-07-10,8,0
2020-07-11,8,0
2020-07-12,10,0
2020-07-13,11,0
2020-07-14,12,0
2020-07-15,13,0
2020-07-16,13,0
2020-07-17,13,0
2020-07-18,14,0
2020-07-19,16,0
2020-07-20,17,0
2020-07-21,17,0
2020-07-22,18,0
2020-07-23,18,0
2020-07-24,73,0
2020-07-25,83,0
2020-07-26,84,0
2020-07-27,85,0
2020-07-28,89,0
2020-07-29,90,0
2020-07-30,89,3
2020-07-31,91,3
2020-08-01,93,3
2020-08-02,94,3
2020-08-03,98,3
2020-08-04,100,3
2020-08-05,100,5
2020-08-06,102,6
2020-08-07,104,6
2020-08-08,102,6
2020-08-09,103,6
2020-08-10,106,6
2020-08-11,106,10
2020-08-12,106,10
2020-08-13,107,10
2020-08-14,107,10
2020-08-15,107,11
2020-08-16,107,11
2020-08-17,107,11
2020-08-18,107,11
2020-08-19,107,11
2020-08-20,107,12
2020-08-21,108,15
2020-08-22,108,15
2020-08-23,108,15
2020-08-24,109,15
2020-08-25,109,15
2020-08-26,110,15
2020-08-27,112,15
2020-08-28,116,15
2020-08-29,117,15
2020-08-30,120,15
2020-08-31,120,15
2020-09-01,120,15
2020-09-02,121,15
2020-09-03,134,15
2020-09-04,136,15
2020-09-05,138,15
2020-09-06,144,15
2020-09-07,146,15
2020-09-08,146,15
2020-09-09,150,15
2020-09-10,154,15
2020-09-11,161,15
2020-09-12,172,16
2020-09-13,172,16
2020-09-14,175,16
2020-09-15,184,18
2020-09-16,186,18
2020-09-17,195,18
2020-09-18,200,18
2020-09-19,209,18
2020-09-20,214,18
2020-09-21,217,18
2020-09-22,222,18
2020-09-23,226,18
2020-09-24,228,18
2020-09-25,236,18
2020-09-26,239,18
2020-09-27,241,19
2020-09-28,242,19
2020-09-29,244,19
2020-09-30,248,19
2020-10-01,250,19
2020-10-02,251,19
2020-10-03,251,19
2020-10-04,256,19
2020-10-05,257,19
2020-10-06,259,19
2020-10-07,260,19
2020-10-08,264,19
2020-10-09,268,19
2020-10-10,271,19
2020-10-11,273,19
2020-10-12,274,19
2020-10-13,276,19
2020-10-14,278,19
2020-10-15,279,19
2020-10-16,282,19
2020-10-17,285,19
2020-10-18,287,19
2020-10-19,287,19
2020-10-20,289,19
2020-10-21,290,19
2020-10-22,292,20
2020-10-23,293,20
2020-10-24,299,20
2020-10-25,305,20
