date,cases,deaths
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,2,0
2020-03-25,2,0
2020-03-26,2,0
2020-03-27,2,0
2020-03-28,2,0
2020-03-29,2,0
2020-03-30,2,0
2020-03-31,4,0
2020-04-01,5,0
2020-04-02,5,0
2020-04-03,5,0
2020-04-04,5,0
2020-04-05,5,0
2020-04-06,5,0
2020-04-07,6,0
2020-04-08,6,0
2020-04-09,6,0
2020-04-10,6,0
2020-04-11,6,0
2020-04-12,6,0
2020-04-13,6,0
2020-04-14,6,0
2020-04-15,6,0
2020-04-16,6,0
2020-04-17,7,0
2020-04-18,7,0
2020-04-19,7,0
2020-04-20,7,0
2020-04-21,7,0
2020-04-22,7,0
2020-04-23,7,0
2020-04-24,7,0
2020-04-25,7,0
2020-04-26,7,0
2020-04-27,8,0
2020-04-28,8,0
2020-04-29,8,0
2020-04-30,8,0
2020-05-01,7,0
2020-05-02,7,0
2020-05-03,8,0
2020-05-04,8,0
2020-05-05,7,0
2020-05-06,7,0
2020-05-07,7,0
2020-05-08,7,0
2020-05-09,7,0
2020-05-10,7,0
2020-05-11,7,0
2020-05-12,7,0
2020-05-13,7,0
2020-05-14,7,0
2020-05-15,7,0
2020-05-16,7,0
2020-05-17,8,0
2020-05-18,8,0
2020-05-19,8,0
2020-05-20,9,0
2020-05-21,9,0
2020-05-22,9,0
2020-05-23,9,0
2020-05-24,10,0
2020-05-25,11,0
2020-05-26,12,0
2020-05-27,11,0
2020-05-28,12,0
2020-05-29,17,0
2020-05-30,17,0
2020-05-31,19,0
2020-06-01,21,0
2020-06-02,26,0
2020-06-03,28,1
2020-06-04,28,0
2020-06-05,29,0
2020-06-06,33,0
2020-06-07,41,0
2020-06-08,45,0
2020-06-09,45,0
2020-06-10,47,0
2020-06-11,48,0
2020-06-12,48,0
2020-06-13,51,0
2020-06-14,53,0
2020-06-15,56,0
2020-06-16,58,0
2020-06-17,60,0
2020-06-18,60,0
2020-06-19,62,0
2020-06-20,63,0
2020-06-21,64,0
2020-06-22,67,0
2020-06-23,67,0
2020-06-24,69,0
2020-06-25,69,0
2020-06-26,70,0
2020-06-27,70,0
2020-06-28,72,0
2020-06-29,74,0
2020-06-30,74,0
2020-07-01,75,0
2020-07-02,75,0
2020-07-03,75,0
2020-07-04,76,0
2020-07-05,77,0
2020-07-06,80,0
2020-07-07,80,0
2020-07-08,81,0
2020-07-09,84,0
2020-07-10,86,0
2020-07-11,86,0
2020-07-12,88,0
2020-07-13,89,0
2020-07-14,90,0
2020-07-15,94,0
2020-07-16,98,0
2020-07-17,98,0
2020-07-18,101,0
2020-07-19,103,0
2020-07-20,104,0
2020-07-21,106,0
2020-07-22,106,0
2020-07-23,109,0
2020-07-24,111,0
2020-07-25,120,0
2020-07-26,120,0
2020-07-27,121,0
2020-07-28,123,0
2020-07-29,124,0
2020-07-30,125,0
2020-07-31,125,1
2020-08-01,128,1
2020-08-02,128,1
2020-08-03,131,1
2020-08-04,132,1
2020-08-05,134,1
2020-08-06,137,1
2020-08-07,140,1
2020-08-08,140,1
2020-08-09,142,1
2020-08-10,148,1
2020-08-11,150,1
2020-08-12,154,1
2020-08-13,157,1
2020-08-14,157,1
2020-08-15,159,1
2020-08-16,161,1
2020-08-17,171,1
2020-08-18,177,1
2020-08-19,186,2
2020-08-20,191,2
2020-08-21,199,2
2020-08-22,200,2
2020-08-23,204,2
2020-08-24,207,2
2020-08-25,208,2
2020-08-26,212,3
2020-08-27,218,4
2020-08-28,220,4
2020-08-29,223,3
2020-08-30,224,3
2020-08-31,224,3
2020-09-01,225,3
2020-09-02,226,4
2020-09-03,230,4
2020-09-04,232,4
