date,cases,deaths
2020-03-30,1,0
2020-03-31,2,0
2020-04-01,2,0
2020-04-02,2,0
2020-04-03,2,0
2020-04-04,3,0
2020-04-05,11,0
2020-04-06,17,0
2020-04-07,28,0
2020-04-08,31,0
2020-04-09,31,0
2020-04-10,31,0
2020-04-11,31,0
2020-04-12,32,0
2020-04-13,45,0
2020-04-14,45,0
2020-04-15,45,0
2020-04-16,63,0
2020-04-17,63,0
2020-04-18,64,0
2020-04-19,64,0
2020-04-20,65,0
2020-04-21,66,0
2020-04-22,66,0
2020-04-23,69,0
2020-04-24,74,0
2020-04-25,75,0
2020-04-26,80,0
2020-04-27,81,0
2020-04-28,82,0
2020-04-29,83,0
2020-04-30,83,0
2020-05-01,84,0
2020-05-02,87,0
2020-05-03,93,0
2020-05-04,95,0
2020-05-05,95,0
2020-05-06,98,0
2020-05-07,104,0
2020-05-08,108,0
2020-05-09,108,0
