date,cases,deaths
2020-03-13,1,0
2020-03-14,1,0
2020-03-15,1,0
2020-03-16,1,0
2020-03-17,2,1
2020-03-18,5,1
2020-03-19,5,1
2020-03-20,5,1
2020-03-21,5,1
2020-03-22,5,1
2020-03-23,6,1
2020-03-24,7,1
2020-03-25,9,1
2020-03-26,9,1
2020-03-27,11,1
2020-03-28,11,1
2020-03-29,14,1
2020-03-30,17,1
2020-03-31,21,1
2020-04-01,23,1
2020-04-02,23,1
2020-04-03,23,2
2020-04-04,23,2
2020-04-05,23,2
2020-04-06,30,2
2020-04-07,31,2
2020-04-08,33,2
2020-04-09,34,2
2020-04-10,35,2
2020-04-11,35,2
2020-04-12,35,2
2020-04-13,38,2
2020-04-14,39,2
2020-04-15,41,2
2020-04-16,42,2
2020-04-17,44,2
2020-04-18,44,2
2020-04-19,44,2
2020-04-20,44,2
2020-04-21,45,2
2020-04-22,46,2
2020-04-23,47,2
2020-04-24,47,2
2020-04-25,47,2
2020-04-26,47,2
2020-04-27,48,2
2020-04-28,50,2
2020-04-29,50,2
2020-04-30,51,2
2020-05-01,51,2
2020-05-02,51,2
2020-05-03,51,2
2020-05-04,52,2
2020-05-05,53,2
2020-05-06,53,2
2020-05-07,54,2
2020-05-08,55,2
2020-05-09,55,2
2020-05-10,55,2
2020-05-11,56,2
2020-05-12,58,2
2020-05-13,58,2
2020-05-14,59,2
2020-05-15,60,2
2020-05-16,61,2
2020-05-17,61,2
2020-05-18,61,2
2020-05-19,63,2
2020-05-20,64,2
2020-05-21,66,2
2020-05-22,69,2
2020-05-23,69,2
2020-05-24,70,2
2020-05-25,72,2
2020-05-26,76,2
2020-05-27,83,2
2020-05-28,85,2
2020-05-29,87,2
2020-05-30,87,2
2020-05-31,87,2
2020-06-01,88,2
2020-06-02,90,2
2020-06-03,96,2
2020-06-04,102,2
2020-06-05,105,2
