date,cases,deaths
2020-03-12,1,0
2020-03-13,2,0
2020-03-14,3,0
2020-03-15,3,0
2020-03-16,3,0
2020-03-17,3,0
2020-03-18,5,0
2020-03-19,7,0
2020-03-20,11,0
2020-03-21,11,0
2020-03-22,12,0
2020-03-23,16,0
2020-03-24,17,0
2020-03-25,18,0
2020-03-26,20,0
2020-03-27,24,0
2020-03-28,29,1
2020-03-29,35,1
2020-03-30,43,1
2020-03-31,45,1
2020-04-01,59,2
2020-04-02,74,2
2020-04-03,81,3
2020-04-04,107,5
2020-04-05,116,5
2020-04-06,135,6
2020-04-07,157,6
2020-04-08,168,7
2020-04-09,187,10
2020-04-10,203,11
2020-04-11,227,11
2020-04-12,227,11
2020-04-13,264,13
2020-04-14,296,13
2020-04-15,352,15
2020-04-16,372,17
2020-04-17,382,17
2020-04-18,397,17
2020-04-19,411,17
2020-04-20,422,18
2020-04-21,436,22
2020-04-22,441,25
2020-04-23,453,25
2020-04-24,472,28
2020-04-25,491,32
2020-04-26,504,32
2020-04-27,532,32
2020-04-28,578,35
2020-04-29,626,36
2020-04-30,640,40
2020-05-01,680,40
2020-05-02,720,40
2020-05-03,743,40
2020-05-04,757,40
2020-05-05,858,40
2020-05-06,916,41
2020-05-07,969,43
2020-05-08,1013,44
2020-05-09,1079,46
