date,cases,deaths
2020-03-12,2,0.0
2020-03-13,3,0.0
2020-03-14,6,0.0
2020-03-15,6,0.0
2020-03-16,8,0.0
2020-03-17,10,0.0
2020-03-18,10,0.0
2020-03-19,10,0.0
2020-03-20,12,0.0
2020-03-21,14,0.0
2020-03-22,18,0.0
2020-03-23,25,0.0
2020-03-24,27,0.0
2020-03-25,38,0.0
2020-03-26,50,0.0
2020-03-27,71,0.0
2020-03-28,95,0.0
2020-03-29,110,0.0
2020-03-30,153,0.0
2020-03-31,185,2.0
2020-04-01,214,6.0
2020-04-02,260,7.0
2020-04-03,294,9.0
2020-04-04,320,9.0
2020-04-05,354,10.0
2020-04-06,367,12.0
2020-04-07,388,14.0
2020-04-08,417,14.0
2020-04-09,475,16.0
2020-04-10,543,23.0
2020-04-11,593,25.0
2020-04-12,647,26.0
2020-04-13,693,26.0
2020-04-14,726,27.0
2020-04-15,758,28.0
2020-04-16,805,29.0
2020-04-17,860,31.0
2020-04-18,894,33.0
2020-04-19,915,35.0
2020-04-20,968,37.0
2020-04-21,996,46.0
2020-04-22,1033,46.0
2020-04-23,1082,46.0
2020-04-24,1252,57.0
2020-04-25,1302,57.0
2020-04-26,1348,58.0
2020-04-27,1391,60.0
2020-04-28,1430,61.0
2020-04-29,1490,62.0
2020-04-30,1585,63.0
2020-05-01,1665,68.0
2020-05-02,1730,68.0
2020-05-03,1780,68.0
2020-05-04,1815,68.0
2020-05-05,1883,72.0
2020-05-06,1952,75.0
2020-05-07,2046,78.0
2020-05-08,2117,80.0
2020-05-09,2205,81.0
2020-05-10,2242,81.0
2020-05-11,2278,81.0
2020-05-12,2322,84.0
2020-05-13,2374,86.0
2020-05-14,2448,91.0
2020-05-15,2520,99.0
2020-05-16,2575,102.0
2020-05-17,2613,102.0
2020-05-18,2640,102.0
2020-05-19,2675,104.0
2020-05-20,2737,108.0
2020-05-21,2759,108.0
2020-05-22,2802,111.0
2020-05-23,2856,112.0
2020-05-24,2869,112.0
2020-05-25,2908,112.0
2020-05-26,2964,116.0
2020-05-27,3006,118.0
2020-05-28,3070,118.0
2020-05-29,3142,120.0
2020-05-30,3224,120.0
2020-05-31,3258,120.0
2020-06-01,3291,123.0
2020-06-02,3338,125.0
2020-06-03,3379,127.0
2020-06-04,3458,130.0
2020-06-05,3515,135.0
2020-06-06,3552,136.0
2020-06-07,3575,136.0
2020-06-08,3605,138.0
2020-06-09,3627,140.0
2020-06-10,3643,143.0
2020-06-11,3663,143.0
2020-06-12,3698,143.0
2020-06-13,3729,144.0
2020-06-14,3743,144.0
2020-06-15,3759,144.0
2020-06-16,3771,146.0
2020-06-17,3791,149.0
2020-06-18,3819,149.0
2020-06-19,3852,150.0
2020-06-20,3872,152.0
2020-06-21,3909,152.0
2020-06-22,3932,153.0
2020-06-23,3941,154.0
2020-06-24,3971,154.0
2020-06-25,4013,154.0
2020-06-26,4058,154.0
2020-06-27,4093,154.0
2020-06-28,4148,154.0
2020-06-29,4170,155.0
2020-06-30,4185,155.0
2020-07-01,4226,156.0
2020-07-02,4267,156.0
2020-07-03,4293,156.0
2020-07-04,4322,156.0
2020-07-05,4362,156.0
2020-07-06,4400,156.0
2020-07-07,4478,156.0
2020-07-08,4546,156.0
2020-07-09,4588,156.0
2020-07-10,4669,157.0
2020-07-11,4719,158.0
2020-07-12,4757,158.0
2020-07-13,4788,158.0
2020-07-14,4847,159.0
2020-07-15,4916,159.0
2020-07-16,4972,159.0
2020-07-17,5024,161.0
2020-07-18,5058,161.0
2020-07-19,5094,161.0
2020-07-20,5133,163.0
2020-07-21,5184,163.0
2020-07-22,5248,164.0
2020-07-23,5312,167.0
2020-07-24,5433,167.0
2020-07-25,5535,167.0
2020-07-26,5587,167.0
2020-07-27,5626,167.0
2020-07-28,5713,168.0
2020-07-29,5794,168.0
2020-07-30,5868,168.0
2020-07-31,5957,171.0
2020-08-01,6018,171.0
2020-08-02,6084,171.0
2020-08-03,6115,171.0
2020-08-04,6181,173.0
2020-08-05,6248,175.0
2020-08-06,6307,175.0
2020-08-07,6375,176.0
2020-08-08,6438,176.0
2020-08-09,6491,176.0
2020-08-10,6529,176.0
2020-08-11,6581,177.0
2020-08-12,6621,176.0
2020-08-13,6677,178.0
2020-08-14,6721,181.0
2020-08-15,6771,183.0
2020-08-16,6816,184.0
2020-08-17,6848,184.0
2020-08-18,6899,185.0
2020-08-19,6967,186.0
2020-08-20,7021,186.0
2020-08-21,7078,189.0
2020-08-22,7132,194.0
2020-08-23,7213,194.0
2020-08-24,7257,194.0
2020-08-25,7334,196.0
2020-08-26,7360,196.0
2020-08-27,7407,196.0
2020-08-28,7495,197.0
2020-08-29,7495,197.0
2020-08-30,7541,197.0
2020-08-31,7579,197.0
2020-09-01,7647,197.0
2020-09-02,7689,198.0
2020-09-03,7731,200.0
2020-09-04,7778,206.0
2020-09-05,7834,208.0
2020-09-06,7860,208.0
2020-09-07,7891,209.0
2020-09-08,7912,209.0
2020-09-09,7954,209.0
2020-09-10,7997,209.0
2020-09-11,8025,211.0
2020-09-12,8063,211.0
2020-09-13,8104,211.0
2020-09-14,8143,211.0
2020-09-15,8206,213.0
2020-09-16,8260,213.0
2020-09-17,8327,216.0
2020-09-18,8418,218.0
2020-09-19,8442,220.0
2020-09-20,8468,221.0
2020-09-21,8578,221.0
2020-09-22,8622,222.0
2020-09-23,8748,222.0
2020-09-24,8804,224.0
2020-09-25,8947,225.0
2020-09-26,9011,225.0
2020-09-27,9106,225.0
2020-09-28,9210,226.0
2020-09-29,9297,227.0
2020-09-30,9433,227.0
2020-10-01,9537,228.0
2020-10-02,9669,230.0
2020-10-03,9725,230.0
2020-10-04,9824,231.0
2020-10-05,9943,231.0
2020-10-06,10001,232.0
2020-10-07,10143,233.0
2020-10-08,10286,235.0
2020-10-09,10462,240.0
2020-10-10,10603,242.0
2020-10-11,10722,242.0
2020-10-12,10797,242.0
2020-10-13,10962,243.0
2020-10-14,11127,244.0
2020-10-15,11340,245.0
2020-10-16,11507,247.0
2020-10-17,11698,248.0
2020-10-18,11886,248.0
2020-10-19,12020,249.0
2020-10-20,12200,249.0
2020-10-21,12414,249.0
2020-10-22,12677,250.0
2020-10-23,12818,253.0
2020-10-24,13065,254.0
2020-10-25,13356,255.0
2020-10-26,13724,256.0
2020-10-27,13945,257.0
2020-10-28,14173,260.0
2020-10-29,14523,261.0
2020-10-30,14830,262.0
2020-10-31,15216,263.0
2020-11-01,15574,263.0
2020-11-02,15877,263.0
2020-11-03,16234,264.0
2020-11-04,16635,266.0
2020-11-05,17107,267.0
2020-11-06,17503,270.0
2020-11-07,17894,273.0
2020-11-08,18226,273.0
2020-11-09,18693,273.0
2020-11-10,19178,274.0
2020-11-11,19705,277.0
2020-11-12,20346,278.0
2020-11-13,21261,283.0
2020-11-14,21811,283.0
2020-11-15,22213,284.0
2020-11-16,22905,287.0
2020-11-17,23339,289.0
2020-11-18,23832,294.0
2020-11-19,24504,302.0
2020-11-20,25092,304.0
2020-11-21,25696,312.0
2020-11-22,26129,315.0
2020-11-23,26474,316.0
2020-11-24,26942,317.0
2020-11-25,27259,321.0
2020-11-26,27856,329.0
2020-11-27,28413,331.0
2020-11-28,28839,331.0
2020-11-29,29252,334.0
2020-11-30,29730,336.0
2020-12-01,30381,340.0
2020-12-02,30646,346.0
2020-12-03,31038,367.0
2020-12-04,31594,373.0
2020-12-05,32044,374.0
2020-12-06,32678,386.0
2020-12-07,33049,389.0
2020-12-08,33469,391.0
2020-12-09,33825,400.0
2020-12-10,34248,409.0
2020-12-11,34701,412.0
2020-12-12,35273,418.0
2020-12-13,35516,430.0
2020-12-14,35808,434.0
2020-12-15,36130,437.0
2020-12-16,36306,443.0
2020-12-17,36604,452.0
2020-12-18,37007,459.0
2020-12-19,37413,471.0
2020-12-20,37620,477.0
2020-12-21,37848,477.0
2020-12-22,38081,484.0
