date,cases,deaths
2020-03-26,1,0
2020-03-27,2,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,2,0
2020-04-01,4,0
2020-04-02,4,0
2020-04-03,4,0
2020-04-04,5,0
2020-04-05,5,0
2020-04-06,5,0
2020-04-07,5,0
2020-04-08,5,0
2020-04-09,6,0
2020-04-10,6,0
2020-04-11,7,0
2020-04-12,8,0
2020-04-13,8,0
2020-04-14,8,1
2020-04-15,8,1
2020-04-16,13,1
2020-04-17,13,1
2020-04-18,14,1
2020-04-19,18,1
2020-04-20,18,1
2020-04-21,18,1
2020-04-22,18,1
2020-04-23,18,1
2020-04-24,19,2
2020-04-25,19,2
2020-04-26,20,2
2020-04-27,20,2
2020-04-28,20,2
2020-04-29,20,2
2020-04-30,21,2
2020-05-01,21,2
2020-05-02,21,2
2020-05-03,21,2
2020-05-04,21,2
2020-05-05,22,2
2020-05-06,24,2
2020-05-07,24,2
2020-05-08,24,2
2020-05-09,26,2
2020-05-10,26,2
2020-05-11,25,2
2020-05-12,25,2
2020-05-13,25,2
2020-05-14,25,2
2020-05-15,26,3
2020-05-16,26,3
2020-05-17,26,3
2020-05-18,26,3
2020-05-19,26,3
