date,cases,deaths
2020-03-13,2,0
2020-03-14,2,0
2020-03-15,2,0
2020-03-16,3,0
2020-03-17,3,0
2020-03-18,4,0
2020-03-19,5,0
2020-03-20,7,0
2020-03-21,7,0
2020-03-22,7,0
2020-03-23,8,0
2020-03-24,10,0
2020-03-25,9,0
2020-03-26,9,0
2020-03-27,10,0
2020-03-28,11,0
2020-03-29,11,0
2020-03-30,14,0
2020-03-31,20,0
2020-04-01,23,0
2020-04-02,26,0
2020-04-03,35,0
2020-04-04,43,0
2020-04-05,45,0
2020-04-06,47,0
2020-04-07,53,0
2020-04-08,56,0
2020-04-09,57,0
2020-04-10,61,0
2020-04-11,68,0
2020-04-12,68,1
2020-04-13,72,1
2020-04-14,74,1
2020-04-15,76,1
2020-04-16,77,1
2020-04-17,82,1
2020-04-18,86,1
2020-04-19,86,1
2020-04-20,88,1
2020-04-21,88,1
2020-04-22,88,1
2020-04-23,89,1
2020-04-24,97,1
2020-04-25,97,1
2020-04-26,105,2
2020-04-27,106,2
2020-04-28,119,2
2020-04-29,121,2
2020-04-30,128,2
2020-05-01,130,2
2020-05-02,136,2
2020-05-03,144,2
2020-05-04,144,2
2020-05-05,151,2
2020-05-06,155,2
2020-05-07,155,2
2020-05-08,156,2
2020-05-09,162,2
2020-05-10,165,2
2020-05-11,169,2
2020-05-12,171,2
2020-05-13,174,2
2020-05-14,175,2
2020-05-15,178,2
2020-05-16,182,2
2020-05-17,183,2
2020-05-18,186,2
2020-05-19,192,2
2020-05-20,194,2
2020-05-21,195,2
2020-05-22,197,2
2020-05-23,203,2
2020-05-24,207,2
2020-05-25,205,2
2020-05-26,212,2
2020-05-27,214,2
2020-05-28,213,2
2020-05-29,219,2
2020-05-30,224,2
2020-05-31,226,2
2020-06-01,231,2
2020-06-02,233,2
2020-06-03,237,2
2020-06-04,239,2
2020-06-05,239,2
2020-06-06,243,2
2020-06-07,248,2
2020-06-08,247,2
2020-06-09,248,2
2020-06-10,252,2
2020-06-11,253,2
2020-06-12,254,2
2020-06-13,256,2
2020-06-14,256,2
2020-06-15,257,2
2020-06-16,258,3
2020-06-17,262,3
2020-06-18,262,3
2020-06-19,262,3
2020-06-20,262,3
2020-06-21,262,3
2020-06-22,263,3
2020-06-23,264,3
2020-06-24,264,3
2020-06-25,265,3
2020-06-26,267,3
2020-06-27,267,3
2020-06-28,269,3
2020-06-29,269,3
2020-06-30,269,3
2020-07-01,274,3
2020-07-02,276,4
2020-07-03,277,4
2020-07-04,278,4
2020-07-05,281,4
2020-07-06,281,4
2020-07-07,286,4
2020-07-08,288,4
2020-07-09,289,4
2020-07-10,294,4
2020-07-11,293,4
2020-07-12,293,4
2020-07-13,293,4
2020-07-14,293,4
2020-07-15,294,4
2020-07-16,298,4
2020-07-17,304,4
2020-07-18,304,4
2020-07-19,306,4
2020-07-20,306,4
2020-07-21,308,4
2020-07-22,311,4
2020-07-23,312,4
2020-07-24,313,4
2020-07-25,315,4
2020-07-26,316,4
2020-07-27,318,4
2020-07-28,318,4
2020-07-29,320,4
2020-07-30,339,4
2020-07-31,339,4
2020-08-01,322,4
2020-08-02,323,4
2020-08-03,323,4
2020-08-04,324,4
2020-08-05,327,4
2020-08-06,327,4
2020-08-07,327,4
2020-08-08,327,4
2020-08-09,328,4
2020-08-10,333,4
2020-08-11,338,4
2020-08-12,344,4
2020-08-13,344,4
2020-08-14,344,4
2020-08-15,344,4
2020-08-16,344,4
2020-08-17,345,4
2020-08-18,346,4
2020-08-19,346,4
2020-08-20,346,4
2020-08-21,349,4
2020-08-22,349,4
2020-08-23,349,4
2020-08-24,352,4
2020-08-25,358,4
2020-08-26,361,4
2020-08-27,361,4
2020-08-28,363,4
2020-08-29,363,4
2020-08-30,363,4
2020-08-31,363,4
2020-09-01,364,4
2020-09-02,365,4
2020-09-03,365,4
2020-09-04,366,4
2020-09-05,366,4
2020-09-06,366,4
2020-09-07,366,4
2020-09-08,368,4
2020-09-09,368,4
2020-09-10,368,4
2020-09-11,370,4
2020-09-12,370,4
2020-09-13,372,4
2020-09-14,376,4
2020-09-15,377,4
2020-09-16,391,4
2020-09-17,403,4
2020-09-18,408,4
2020-09-19,417,4
2020-09-20,423,4
2020-09-21,423,4
2020-09-22,422,4
2020-09-23,428,4
2020-09-24,447,4
2020-09-25,451,4
2020-09-26,458,4
2020-09-27,462,4
2020-09-28,463,4
2020-09-29,463,4
2020-09-30,465,4
2020-10-01,471,4
