date,cases,deaths
2020-03-23,3,1.0
2020-03-24,3,1.0
2020-03-25,5,1.0
2020-03-26,7,1.0
2020-03-27,7,1.0
2020-03-28,7,1.0
2020-03-29,7,1.0
2020-03-30,8,1.0
2020-03-31,7,1.0
2020-04-01,7,1.0
2020-04-02,7,1.0
2020-04-03,11,1.0
2020-04-04,11,1.0
2020-04-05,11,1.0
2020-04-06,11,1.0
2020-04-07,12,1.0
2020-04-08,12,1.0
2020-04-09,12,1.0
2020-04-10,12,2.0
2020-04-11,12,2.0
2020-04-12,16,2.0
2020-04-13,15,2.0
2020-04-14,16,2.0
2020-04-15,16,2.0
2020-04-16,17,2.0
2020-04-17,18,2.0
2020-04-18,18,2.0
2020-04-19,24,2.0
2020-04-20,24,2.0
2020-04-21,25,2.0
2020-04-22,25,2.0
2020-04-23,25,2.0
2020-04-24,26,2.0
2020-04-25,27,2.0
2020-04-26,27,2.0
2020-04-27,27,2.0
2020-04-28,28,2.0
2020-04-29,28,2.0
2020-04-30,28,2.0
2020-05-01,28,2.0
2020-05-02,28,2.0
2020-05-03,28,2.0
2020-05-04,28,2.0
2020-05-05,29,2.0
2020-05-06,30,2.0
2020-05-07,30,2.0
2020-05-08,30,2.0
2020-05-09,30,2.0
2020-05-10,31,2.0
2020-05-11,31,2.0
2020-05-12,31,2.0
2020-05-13,31,2.0
2020-05-14,31,2.0
2020-05-15,31,2.0
2020-05-16,31,2.0
2020-05-17,31,2.0
2020-05-18,31,2.0
2020-05-19,31,2.0
2020-05-20,32,2.0
2020-05-21,33,2.0
2020-05-22,32,2.0
2020-05-23,32,2.0
2020-05-24,32,2.0
2020-05-25,32,2.0
2020-05-26,32,2.0
2020-05-27,32,2.0
2020-05-28,32,2.0
2020-05-29,32,2.0
2020-05-30,32,2.0
2020-05-31,32,2.0
2020-06-01,33,2.0
2020-06-02,33,2.0
2020-06-03,33,2.0
2020-06-04,33,2.0
2020-06-05,33,2.0
2020-06-06,34,2.0
2020-06-07,34,2.0
2020-06-08,36,2.0
2020-06-09,37,2.0
2020-06-10,37,2.0
2020-06-11,37,2.0
2020-06-12,38,2.0
2020-06-13,38,2.0
2020-06-14,38,2.0
2020-06-15,38,2.0
2020-06-16,39,2.0
2020-06-17,39,2.0
2020-06-18,39,2.0
2020-06-19,39,2.0
2020-06-20,39,2.0
2020-06-21,39,2.0
2020-06-22,40,2.0
