date,cases,deaths
2020-03-14,1,0.0
2020-03-15,3,0.0
2020-03-16,4,0.0
2020-03-17,8,0.0
2020-03-18,10,0.0
2020-03-19,24,0.0
2020-03-20,24,0.0
2020-03-21,24,0.0
2020-03-22,29,0.0
2020-03-23,41,0.0
2020-03-24,89,0.0
2020-03-25,127,2.0
2020-03-26,156,2.0
2020-03-27,222,6.0
2020-03-28,236,6.0
2020-03-29,280,6.0
2020-03-30,373,6.0
2020-03-31,517,12.0
2020-04-01,611,15.0
2020-04-02,647,17.0
2020-04-03,891,18.0
2020-04-04,1024,29.0
2020-04-05,1162,36.0
2020-04-06,1468,41.0
2020-04-07,1664,60.0
2020-04-08,1945,70.0
2020-04-09,2183,78.0
2020-04-10,2383,98.0
2020-04-11,2715,107.0
2020-04-12,2946,119.0
2020-04-13,3358,135.0
2020-04-14,3543,151.0
2020-04-15,3758,195.0
2020-04-16,4163,214.0
2020-04-17,4520,229.0
2020-04-18,4743,241.0
2020-04-19,4871,257.0
2020-04-20,5272,301.0
2020-04-21,5493,322.0
2020-04-22,5811,345.0
2020-04-23,6064,372.0
2020-04-24,6286,396.0
2020-04-25,6509,416.0
2020-04-26,6715,429.0
2020-04-27,6993,456.0
2020-04-28,7089,478.0
2020-04-29,7205,493.0
2020-04-30,7536,512.0
2020-05-01,7900,533.0
2020-05-02,8024,565.0
2020-05-03,8024,565.0
2020-05-04,8110,595.0
2020-05-05,8337,610.0
2020-05-06,8419,629.0
2020-05-07,8678,643.0
2020-05-08,8887,669.0
2020-05-09,9091,686.0
2020-05-10,9209,701.0
2020-05-11,9260,716.0
2020-05-12,9430,723.0
2020-05-13,9570,745.0
2020-05-14,9712,767.0
2020-05-15,9881,783.0
2020-05-16,10075,800.0
2020-05-17,10159,817.0
2020-05-18,10338,830.0
2020-05-19,10427,838.0
2020-05-20,10587,855.0
2020-05-21,10663,874.0
2020-05-22,10756,888.0
2020-05-23,10847,897.0
2020-05-24,10905,903.0
2020-05-25,11017,922.0
2020-05-26,11121,925.0
2020-05-27,11124,934.0
2020-05-28,11198,946.0
2020-05-29,11241,957.0
2020-05-30,11309,966.0
2020-05-31,11323,972.0
2020-06-01,11479,973.0
2020-06-02,11525,985.0
2020-06-03,11548,990.0
2020-06-04,11582,992.0
2020-06-05,11673,999.0
2020-06-06,11817,1007.0
2020-06-07,11828,1010.0
2020-06-08,11860,1013.0
2020-06-09,11875,1016.0
2020-06-10,11911,1024.0
2020-06-11,11930,1031.0
2020-06-12,11979,1034.0
2020-06-13,12021,1041.0
2020-06-14,12034,1044.0
2020-06-15,12055,1045.0
2020-06-16,12078,1046.0
2020-06-17,12089,1052.0
2020-06-18,12105,1052.0
2020-06-19,12136,1056.0
2020-06-20,12174,1060.0
2020-06-21,12185,1061.0
2020-06-22,12196,1063.0
2020-06-23,12225,1065.0
2020-06-24,12227,1066.0
2020-06-25,12245,1068.0
2020-06-26,12254,1069.0
2020-06-27,12275,1069.0
2020-06-28,12299,1073.0
2020-06-29,12318,1075.0
2020-06-30,12359,1075.0
2020-07-01,12368,1073.0
2020-07-02,12383,1074.0
2020-07-03,12409,1077.0
2020-07-04,12409,1077.0
2020-07-05,12409,1077.0
2020-07-06,12462,1078.0
2020-07-07,12473,1078.0
2020-07-08,12486,1079.0
2020-07-09,12509,1079.0
2020-07-10,12532,1079.0
2020-07-11,12532,1079.0
2020-07-12,12532,1079.0
2020-07-13,12612,1087.0
2020-07-14,12617,1087.0
2020-07-15,12643,1088.0
2020-07-16,12686,1088.0
2020-07-17,12733,1090.0
2020-07-18,12733,1090.0
2020-07-19,12733,1090.0
2020-07-20,12788,1092.0
2020-07-21,12794,1092.0
2020-07-22,12825,1092.0
2020-07-23,12835,1093.0
2020-07-24,12884,1095.0
2020-07-25,12884,1095.0
2020-07-26,12884,1095.0
2020-07-27,12941,1097.0
2020-07-28,12965,1099.0
2020-07-29,12983,1100.0
2020-07-30,13013,1101.0
2020-07-31,13041,1101.0
2020-08-01,13041,1101.0
2020-08-02,13041,1101.0
2020-08-03,13086,1104.0
2020-08-04,13100,1104.0
2020-08-05,13118,1104.0
2020-08-06,13128,1104.0
2020-08-07,13145,1104.0
2020-08-08,13145,1104.0
2020-08-09,13145,1104.0
2020-08-10,13224,1106.0
2020-08-11,13240,1106.0
2020-08-12,13254,1109.0
2020-08-13,13272,1109.0
2020-08-14,13316,1109.0
2020-08-15,13316,1109.0
2020-08-16,13316,1109.0
2020-08-17,13378,1109.0
2020-08-18,13376,1109.0
2020-08-19,13388,1111.0
2020-08-20,13422,1111.0
2020-08-21,13442,1111.0
2020-08-22,13442,1111.0
2020-08-23,13442,1111.0
2020-08-24,13518,1111.0
2020-08-25,13524,1110.0
2020-08-26,13556,1109.0
