date,cases,deaths
2020-04-10,9,0
2020-04-11,13,0
2020-04-13,3,0
2020-04-14,11,0
2020-04-15,17,0
2020-04-16,22,0
2020-04-17,28,0
2020-04-18,30,0
2020-04-19,30,0
2020-04-20,31,0
2020-04-21,30,0
2020-04-22,28,0
2020-04-23,3,0
2020-04-24,4,0
2020-04-25,3,0
2020-04-26,9,0
2020-04-27,11,0
2020-04-28,32,0
2020-04-29,26,0
2020-04-30,25,0
2020-05-01,24,0
2020-05-02,22,0
2020-05-03,23,0
2020-05-04,24,0
2020-05-05,25,0
2020-05-06,36,0
2020-05-07,30,0
2020-05-09,27,0
2020-05-10,41,0
2020-05-11,40,0
2020-05-12,36,1
2020-05-13,36,1
2020-05-14,45,1
2020-05-15,43,1
2020-05-16,46,1
2020-05-17,52,1
2020-05-18,51,1
2020-05-19,50,1
2020-05-20,48,1
2020-05-21,46,1
2020-05-22,53,1
2020-05-23,53,1
2020-05-24,57,1
2020-05-25,55,1
2020-05-26,58,0
2020-05-27,54,0
2020-05-28,53,0
2020-05-29,51,0
2020-05-30,52,0
2020-05-31,51,0
2020-06-01,55,0
2020-06-02,53,0
2020-06-03,53,0
2020-06-04,53,1
2020-06-05,49,0
2020-06-06,12,0
2020-06-07,15,0
2020-06-08,11,0
2020-06-09,12,0
2020-06-10,14,0
2020-06-11,13,0
2020-06-12,16,0
2020-06-13,15,0
2020-06-14,14,0
2020-06-15,14,0
2020-06-16,16,0
2020-06-17,14,0
2020-06-18,14,0
2020-06-19,17,0
2020-06-20,19,0
2020-06-21,20,0
2020-06-22,17,0
2020-06-23,17,0
2020-06-24,19,0
2020-06-25,21,0
2020-06-26,23,0
2020-06-27,26,0
2020-06-28,30,0
2020-06-29,36,0
2020-06-30,38,0
2020-07-01,42,0
2020-07-02,53,0
2020-07-03,69,0
2020-07-04,73,0
2020-07-05,81,0
2020-07-06,91,0
2020-07-07,98,0
2020-07-08,101,0
2020-07-09,102,0
2020-07-10,104,0
2020-07-11,106,0
2020-07-12,104,0
2020-07-13,106,0
2020-07-14,114,0
2020-07-15,117,0
2020-07-16,121,0
2020-07-17,134,0
2020-07-18,142,0
2020-07-19,145,0
2020-07-20,153,0
2020-07-21,158,0
2020-07-22,161,0
2020-07-23,163,0
2020-07-24,184,0
2020-07-25,182,0
2020-07-26,187,0
2020-07-27,192,0
2020-07-28,192,0
2020-07-29,203,0
2020-07-30,212,0
2020-07-31,219,0
2020-08-01,221,0
2020-08-02,226,0
2020-08-03,229,0
2020-08-04,232,0
2020-08-05,238,0
2020-08-06,240,0
2020-08-07,244,0
2020-08-08,243,0
2020-08-09,243,0
2020-08-10,249,0
2020-08-11,250,0
2020-08-12,256,0
2020-08-13,258,0
2020-08-14,260,0
2020-08-15,259,0
2020-08-16,261,0
2020-08-17,263,0
2020-08-18,264,0
2020-08-19,264,0
2020-08-20,267,0
2020-08-21,269,0
2020-08-22,272,0
2020-08-23,273,0
2020-08-24,275,0
2020-08-25,277,0
2020-08-26,276,0
2020-08-27,275,0
2020-08-28,279,0
2020-08-29,278,0
2020-08-30,279,0
2020-08-31,285,0
2020-09-01,289,0
2020-09-02,290,0
2020-09-03,292,0
2020-09-04,294,0
2020-09-05,303,0
2020-09-06,334,0
2020-09-07,453,0
2020-09-08,455,0
2020-09-09,455,0
2020-09-10,461,0
2020-09-11,461,0
2020-09-12,464,0
2020-09-13,465,0
2020-09-14,470,0
2020-09-15,493,0
2020-09-16,478,0
2020-09-17,479,0
2020-09-18,477,0
2020-09-19,476,0
2020-09-20,480,0
2020-09-21,480,0
2020-09-22,482,0
2020-09-23,482,0
2020-09-24,488,0
2020-09-25,487,0
2020-09-26,489,0
2020-09-27,489,0
2020-09-28,493,0
2020-09-29,491,0
2020-09-30,491,0
2020-10-01,491,0
2020-10-02,90,0
2020-10-03,90,0
2020-10-04,90,0
2020-10-05,90,0
2020-10-06,90,0
2020-10-07,90,0
2020-10-08,90,0
2020-10-09,90,0
2020-10-10,91,0
2020-10-11,91,0
2020-10-12,91,0
2020-10-13,91,0
2020-10-14,91,0
2020-10-15,91,0
2020-10-16,91,0
2020-10-17,91,0
2020-10-18,91,0
