date,cases,deaths
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,2,0
2020-03-30,2,0
2020-03-31,2,0
2020-04-01,3,0
2020-04-02,5,0
2020-04-03,5,0
2020-04-04,6,0
2020-04-05,7,0
2020-04-06,9,0
2020-04-07,11,0
2020-04-08,15,0
2020-04-09,20,0
2020-04-10,22,0
2020-04-11,24,0
2020-04-12,29,1
2020-04-13,30,1
2020-04-14,31,1
2020-04-15,35,1
2020-04-16,39,1
2020-04-17,40,2
2020-04-18,42,2
2020-04-19,42,2
2020-04-20,42,2
2020-04-21,42,2
2020-04-22,42,2
2020-04-23,42,2
2020-04-24,42,2
2020-04-25,42,2
2020-04-26,43,2
2020-04-27,44,2
2020-04-28,44,2
2020-04-29,46,2
2020-04-30,46,2
2020-05-01,47,2
2020-05-02,48,2
2020-05-03,48,2
2020-05-04,48,2
2020-05-05,48,2
2020-05-06,48,2
2020-05-07,48,2
2020-05-08,48,2
2020-05-09,48,2
2020-05-10,48,2
2020-05-11,48,2
2020-05-12,48,2
2020-05-13,48,2
2020-05-14,49,2
2020-05-15,49,2
2020-05-16,49,2
2020-05-17,49,2
2020-05-18,49,2
2020-05-19,49,2
2020-05-20,49,2
2020-05-21,50,2
2020-05-22,50,2
2020-05-23,50,2
2020-05-24,51,2
2020-05-25,51,2
2020-05-26,51,2
2020-05-27,51,2
2020-05-28,51,2
2020-05-29,51,2
2020-05-30,51,2
2020-05-31,51,2
2020-06-01,51,2
2020-06-02,51,2
2020-06-03,51,2
2020-06-04,51,2
2020-06-05,52,2
2020-06-06,52,2
2020-06-07,52,2
2020-06-08,52,2
2020-06-09,52,2
2020-06-10,52,2
2020-06-11,52,2
2020-06-12,52,2
2020-06-13,52,2
2020-06-14,52,2
2020-06-15,52,2
2020-06-16,53,2
2020-06-17,56,2
2020-06-18,56,2
2020-06-19,58,2
2020-06-20,61,2
2020-06-21,61,2
2020-06-22,63,2
2020-06-23,64,2
2020-06-24,69,2
2020-06-25,73,2
2020-06-26,76,2
2020-06-27,80,2
2020-06-28,82,2
2020-06-29,83,2
2020-06-30,83,2
2020-07-01,84,2
2020-07-02,89,2
2020-07-03,92,2
2020-07-04,94,2
2020-07-05,95,2
2020-07-06,95,2
2020-07-07,102,2
2020-07-08,105,2
2020-07-09,113,2
2020-07-10,119,2
2020-07-11,130,2
2020-07-12,133,2
2020-07-13,144,2
2020-07-14,145,2
2020-07-15,161,2
2020-07-16,173,2
2020-07-17,180,2
2020-07-18,185,2
2020-07-19,190,2
2020-07-20,195,2
2020-07-21,198,2
2020-07-22,205,2
2020-07-23,212,2
2020-07-24,221,3
2020-07-25,228,3
2020-07-26,233,3
2020-07-27,236,3
2020-07-28,240,3
2020-07-29,307,3
2020-07-30,316,3
2020-07-31,325,3
2020-08-01,332,4
2020-08-02,337,4
2020-08-03,340,4
2020-08-04,341,4
