date,cases,deaths
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,2,0
2020-03-23,4,0
2020-03-24,4,0
2020-03-25,7,0
2020-03-26,11,0
2020-03-27,17,0
2020-03-28,26,0
2020-03-29,27,0
2020-03-30,27,0
2020-03-31,28,0
2020-04-01,33,0
2020-04-02,34,0
2020-04-03,42,0
2020-04-04,53,0
2020-04-05,60,0
2020-04-06,85,0
2020-04-07,100,0
2020-04-08,108,1
2020-04-09,109,1
2020-04-10,115,3
2020-04-11,117,3
2020-04-12,122,3
2020-04-13,129,3
2020-04-14,135,4
2020-04-15,140,4
2020-04-16,142,4
2020-04-17,147,4
2020-04-18,148,4
2020-04-19,151,4
2020-04-20,155,4
2020-04-21,160,4
2020-04-22,161,4
2020-04-23,166,5
2020-04-24,169,5
2020-04-25,169,5
2020-04-26,174,5
2020-04-27,183,5
2020-04-28,185,5
2020-04-29,186,5
2020-04-30,191,6
2020-05-01,197,6
2020-05-02,199,6
2020-05-03,202,6
2020-05-04,215,6
2020-05-05,218,6
2020-05-06,224,6
2020-05-07,233,6
2020-05-08,243,6
2020-05-09,245,6
2020-05-10,255,6
2020-05-11,261,6
2020-05-12,274,6
2020-05-13,275,6
2020-05-14,281,6
2020-05-15,294,6
2020-05-16,296,6
2020-05-17,321,7
2020-05-18,371,7
2020-05-19,396,8
2020-05-20,419,8
2020-05-21,472,8
2020-05-22,476,9
2020-05-23,483,9
2020-05-24,494,9
2020-05-25,510,9
2020-05-26,535,9
2020-05-27,550,9
2020-05-28,557,9
2020-05-29,601,9
2020-05-30,626,9
2020-05-31,651,9
2020-06-01,652,9
2020-06-02,680,10
2020-06-03,729,10
2020-06-04,764,10
2020-06-05,810,12
2020-06-06,849,12
2020-06-07,907,13
2020-06-08,917,13
2020-06-09,934,15
2020-06-10,958,15
2020-06-11,1020,16
2020-06-12,1056,17
2020-06-13,1134,18
2020-06-14,1170,18
2020-06-15,1218,18
2020-06-16,1296,18
2020-06-17,1311,18
2020-06-18,1324,19
2020-06-19,1421,19
2020-06-20,1460,20
2020-06-21,1525,20
2020-06-22,1582,20
2020-06-23,1611,22
2020-06-24,1639,22
2020-06-25,1673,23
2020-06-26,1713,23
2020-06-27,1850,25
2020-06-28,1910,25
2020-06-29,1979,25
2020-06-30,2055,25
2020-07-01,2112,25
2020-07-02,2151,26
2020-07-03,2208,28
2020-07-04,2251,28
2020-07-05,2320,28
2020-07-06,2422,29
2020-07-07,2461,31
2020-07-08,2503,34
2020-07-09,2545,36
2020-07-10,2634,38
2020-07-11,2680,40
2020-07-12,2734,42
2020-07-13,2864,42
2020-07-14,2900,42
2020-07-15,2935,43
2020-07-16,2985,46
2020-07-17,3023,47
2020-07-18,3058,48
2020-07-19,3108,48
2020-07-20,3152,51
2020-07-21,3193,54
2020-07-22,3250,54
2020-07-23,3314,58
2020-07-24,3357,58
2020-07-25,3388,63
2020-07-26,3420,64
2020-07-27,3451,65
2020-07-28,3485,68
2020-07-29,3527,73
2020-07-30,3561,73
2020-07-31,3591,75
2020-08-01,3626,75
2020-08-02,3637,78
2020-08-03,3644,77
2020-08-04,3658,80
2020-08-05,3689,84
2020-08-06,3712,87
2020-08-07,3767,91
2020-08-08,3802,92
2020-08-09,3825,94
2020-08-10,3838,94
2020-08-11,3852,99
2020-08-12,3863,100
2020-08-13,3883,101
2020-08-14,3907,104
2020-08-15,3913,104
2020-08-16,3923,104
2020-08-17,3937,104
2020-08-18,3967,104
2020-08-19,3997,104
2020-08-20,4015,109
2020-08-21,4046,112
2020-08-22,4067,112
2020-08-23,4083,112
2020-08-24,4091,112
2020-08-25,4112,112
2020-08-26,4173,113
