date,cases,deaths
2020-03-20,1,0.0
2020-03-21,1,0.0
2020-03-22,1,0.0
2020-03-23,2,0.0
2020-03-24,3,0.0
2020-03-25,11,0.0
2020-03-26,14,0.0
2020-03-27,19,0.0
2020-03-28,22,0.0
2020-03-29,23,0.0
2020-03-30,26,0.0
2020-03-31,27,0.0
2020-04-01,30,0.0
2020-04-02,38,1.0
2020-04-03,40,1.0
2020-04-04,42,2.0
2020-04-05,44,2.0
2020-04-06,46,2.0
2020-04-07,49,2.0
2020-04-08,52,3.0
2020-04-09,53,3.0
2020-04-10,55,3.0
2020-04-11,59,3.0
2020-04-12,59,3.0
2020-04-13,64,3.0
2020-04-14,64,3.0
2020-04-15,66,3.0
2020-04-16,66,3.0
2020-04-17,68,3.0
2020-04-18,73,3.0
2020-04-19,73,3.0
2020-04-20,73,3.0
2020-04-21,73,3.0
2020-04-22,73,3.0
2020-04-23,74,3.0
2020-04-24,77,3.0
2020-04-25,77,3.0
2020-04-26,78,3.0
2020-04-27,79,3.0
2020-04-28,78,3.0
2020-04-29,78,3.0
2020-04-30,79,3.0
2020-05-01,79,3.0
2020-05-02,80,3.0
2020-05-03,80,3.0
2020-05-04,80,3.0
2020-05-05,80,3.0
2020-05-06,80,3.0
2020-05-07,80,3.0
2020-05-08,80,3.0
2020-05-09,89,3.0
2020-05-10,88,3.0
2020-05-11,92,3.0
2020-05-12,95,3.0
2020-05-13,96,3.0
2020-05-14,95,3.0
2020-05-15,95,3.0
2020-05-16,95,3.0
2020-05-17,100,3.0
2020-05-18,99,3.0
2020-05-19,99,3.0
2020-05-20,100,3.0
2020-05-21,100,3.0
2020-05-22,101,3.0
2020-05-23,107,3.0
2020-05-24,108,3.0
2020-05-25,107,4.0
2020-05-26,107,4.0
2020-05-27,107,4.0
2020-05-28,107,4.0
2020-05-29,108,4.0
2020-05-30,108,4.0
2020-05-31,108,4.0
2020-06-01,109,4.0
2020-06-02,109,4.0
2020-06-03,109,4.0
2020-06-04,110,4.0
2020-06-05,110,4.0
2020-06-06,110,4.0
2020-06-07,111,4.0
2020-06-08,114,4.0
2020-06-09,114,4.0
2020-06-10,116,5.0
2020-06-11,120,4.0
2020-06-12,121,4.0
2020-06-13,128,4.0
2020-06-14,129,4.0
2020-06-15,130,4.0
2020-06-16,131,4.0
2020-06-17,137,4.0
2020-06-18,146,4.0
2020-06-19,150,4.0
2020-06-20,158,4.0
2020-06-21,162,4.0
2020-06-22,165,4.0
2020-06-23,166,4.0
2020-06-24,174,4.0
2020-06-25,188,4.0
2020-06-26,202,4.0
2020-06-27,204,4.0
2020-06-28,219,4.0
2020-06-29,236,4.0
2020-06-30,259,4.0
2020-07-01,270,4.0
2020-07-02,296,5.0
2020-07-03,322,5.0
2020-07-04,337,5.0
2020-07-05,367,5.0
2020-07-06,380,5.0
2020-07-07,398,5.0
2020-07-08,427,6.0
2020-07-09,445,6.0
2020-07-10,470,6.0
2020-07-11,544,6.0
2020-07-12,572,6.0
2020-07-13,611,6.0
2020-07-14,641,6.0
2020-07-15,670,6.0
2020-07-16,715,6.0
2020-07-17,768,6.0
2020-07-18,810,6.0
2020-07-19,859,6.0
2020-07-20,894,6.0
2020-07-21,935,6.0
2020-07-22,978,6.0
2020-07-23,998,6.0
2020-07-24,1082,6.0
2020-07-25,1114,6.0
2020-07-26,1126,6.0
2020-07-27,1145,6.0
2020-07-28,1175,6.0
2020-07-29,1198,6.0
2020-07-30,1230,6.0
2020-07-31,1300,8.0
2020-08-01,1325,9.0
2020-08-02,1357,11.0
2020-08-03,1379,11.0
2020-08-04,1389,13.0
2020-08-05,1404,13.0
2020-08-06,1438,13.0
2020-08-07,1456,13.0
2020-08-08,1514,13.0
2020-08-09,1526,13.0
2020-08-10,1531,13.0
2020-08-11,1548,13.0
2020-08-12,1556,13.0
2020-08-13,1577,13.0
2020-08-14,1603,13.0
2020-08-15,1622,13.0
2020-08-16,1633,13.0
2020-08-17,1643,13.0
2020-08-18,1650,13.0
2020-08-19,1666,13.0
2020-08-20,1675,14.0
2020-08-21,1687,14.0
2020-08-22,1694,14.0
2020-08-23,1693,14.0
2020-08-24,1694,14.0
2020-08-25,1695,14.0
2020-08-26,1700,15.0
2020-08-27,1704,15.0
2020-08-28,1714,16.0
2020-08-29,1719,16.0
2020-08-30,1727,16.0
2020-08-31,1734,16.0
2020-09-01,1743,16.0
2020-09-02,1747,16.0
2020-09-03,1753,16.0
2020-09-04,1754,16.0
2020-09-05,1758,16.0
2020-09-06,1764,16.0
2020-09-07,1761,19.0
2020-09-08,1762,19.0
2020-09-09,1763,20.0
2020-09-10,1767,20.0
2020-09-11,1778,20.0
2020-09-12,1780,20.0
2020-09-13,1779,20.0
2020-09-14,1787,20.0
2020-09-15,1787,20.0
2020-09-16,1791,20.0
2020-09-17,1799,22.0
2020-09-18,1801,22.0
2020-09-19,1804,22.0
2020-09-20,1809,22.0
2020-09-21,1808,22.0
2020-09-22,1811,22.0
2020-09-23,1813,22.0
2020-09-24,1817,22.0
2020-09-25,1828,22.0
2020-09-26,1834,22.0
2020-09-27,1835,22.0
2020-09-28,1837,22.0
2020-09-29,1845,22.0
2020-09-30,1847,22.0
2020-10-01,1855,22.0
2020-10-02,1856,22.0
2020-10-03,1861,22.0
2020-10-04,1869,22.0
2020-10-05,1880,22.0
2020-10-06,1886,23.0
2020-10-07,1895,23.0
2020-10-08,1914,23.0
2020-10-09,1927,24.0
2020-10-10,1927,24.0
2020-10-11,1958,24.0
2020-10-12,1958,24.0
2020-10-13,1971,24.0
2020-10-14,1979,24.0
2020-10-15,2002,24.0
2020-10-16,2022,24.0
2020-10-17,2038,25.0
2020-10-18,2049,25.0
2020-10-19,2080,25.0
2020-10-20,2093,25.0
2020-10-21,2101,25.0
2020-10-22,2131,25.0
2020-10-23,2151,25.0
2020-10-24,2178,25.0
2020-10-25,2186,25.0
2020-10-26,2199,25.0
2020-10-27,2214,25.0
2020-10-28,2229,25.0
2020-10-29,2269,25.0
2020-10-30,2290,25.0
2020-10-31,2304,25.0
2020-11-01,2334,25.0
2020-11-02,2366,25.0
2020-11-03,2401,25.0
2020-11-04,2426,25.0
2020-11-05,2477,25.0
2020-11-06,2522,25.0
2020-11-07,2539,25.0
2020-11-08,2568,25.0
2020-11-09,2596,25.0
2020-11-10,2605,25.0
2020-11-11,2646,25.0
2020-11-12,2701,25.0
2020-11-13,2744,25.0
2020-11-14,2752,25.0
2020-11-15,2810,25.0
2020-11-16,2839,25.0
2020-11-17,2854,25.0
2020-11-18,2892,25.0
2020-11-19,2965,25.0
2020-11-20,3064,25.0
2020-11-21,3093,26.0
2020-11-22,3114,27.0
2020-11-23,3140,27.0
2020-11-24,3157,27.0
2020-11-25,3204,27.0
2020-11-26,3204,27.0
2020-11-27,3278,27.0
2020-11-28,3321,27.0
2020-11-29,3353,27.0
2020-11-30,3381,27.0
2020-12-01,3392,28.0
