date,cases,deaths
2020-03-13,1,0.0
2020-03-14,1,0.0
2020-03-15,1,0.0
2020-03-16,4,0.0
2020-03-17,7,0.0
2020-03-18,8,0.0
2020-03-19,13,0.0
2020-03-20,13,0.0
2020-03-21,21,0.0
2020-03-22,24,0.0
2020-03-23,25,0.0
2020-03-24,26,0.0
2020-03-25,39,0.0
2020-03-26,45,0.0
2020-03-27,56,0.0
2020-03-28,74,0.0
2020-03-29,89,0.0
2020-03-30,94,1.0
2020-03-31,110,1.0
2020-04-01,140,1.0
2020-04-02,170,4.0
2020-04-03,201,4.0
2020-04-04,216,4.0
2020-04-05,229,4.0
2020-04-06,241,4.0
2020-04-07,256,4.0
2020-04-08,277,4.0
2020-04-09,295,5.0
2020-04-10,305,5.0
2020-04-11,317,5.0
2020-04-12,323,5.0
2020-04-13,333,5.0
2020-04-14,349,5.0
2020-04-15,361,5.0
2020-04-16,384,5.0
2020-04-17,392,5.0
2020-04-18,403,5.0
2020-04-19,409,5.0
2020-04-20,410,5.0
2020-04-21,417,6.0
2020-04-22,423,6.0
2020-04-23,449,7.0
2020-04-24,461,7.0
2020-04-25,463,7.0
2020-04-26,463,7.0
2020-04-27,470,7.0
2020-04-28,474,7.0
2020-04-29,479,7.0
2020-04-30,478,7.0
2020-05-01,486,7.0
2020-05-02,504,8.0
2020-05-03,509,8.0
2020-05-04,516,8.0
2020-05-05,514,9.0
2020-05-06,529,11.0
2020-05-07,544,11.0
2020-05-08,554,12.0
2020-05-09,564,12.0
2020-05-10,572,12.0
2020-05-11,573,13.0
2020-05-12,580,15.0
2020-05-13,586,16.0
2020-05-14,594,16.0
2020-05-15,608,16.0
2020-05-16,616,17.0
2020-05-17,622,17.0
2020-05-18,627,17.0
2020-05-19,629,17.0
2020-05-20,636,18.0
2020-05-21,640,18.0
2020-05-22,644,18.0
2020-05-23,648,18.0
2020-05-24,658,18.0
2020-05-25,658,18.0
2020-05-26,662,18.0
2020-05-27,673,19.0
2020-05-28,674,19.0
2020-05-29,688,19.0
2020-05-30,698,19.0
2020-05-31,701,19.0
2020-06-01,703,19.0
2020-06-02,709,20.0
2020-06-03,715,20.0
2020-06-04,726,20.0
2020-06-05,732,20.0
2020-06-06,741,20.0
2020-06-07,745,21.0
2020-06-08,749,21.0
2020-06-09,762,21.0
2020-06-10,770,21.0
2020-06-11,785,21.0
2020-06-12,796,21.0
2020-06-13,810,21.0
2020-06-14,838,21.0
2020-06-15,848,21.0
2020-06-16,866,21.0
2020-06-17,892,22.0
2020-06-18,926,22.0
2020-06-19,960,23.0
2020-06-20,1007,23.0
2020-06-21,1052,23.0
2020-06-22,1080,23.0
2020-06-23,1147,23.0
2020-06-24,1222,24.0
2020-06-25,1321,24.0
2020-06-26,1485,24.0
2020-06-27,1649,24.0
2020-06-28,1833,24.0
2020-06-29,1919,24.0
2020-06-30,2026,24.0
2020-07-01,2164,25.0
2020-07-02,2349,26.0
2020-07-03,2526,25.0
2020-07-04,2781,26.0
2020-07-05,2966,27.0
2020-07-06,3068,29.0
2020-07-07,3190,29.0
2020-07-08,3302,30.0
2020-07-09,3466,31.0
2020-07-10,3658,31.0
2020-07-11,3861,31.0
2020-07-12,4167,31.0
2020-07-13,4442,31.0
2020-07-14,4575,37.0
2020-07-15,4751,37.0
2020-07-16,5270,37.0
2020-07-17,5556,38.0
2020-07-18,5725,38.0
2020-07-19,6010,38.0
2020-07-20,6268,38.0
2020-07-21,6479,43.0
2020-07-22,6687,43.0
2020-07-23,6844,49.0
2020-07-24,7150,51.0
2020-07-25,7407,51.0
2020-07-26,7614,51.0
2020-07-27,7728,53.0
2020-07-28,7973,55.0
2020-07-29,8130,61.0
2020-07-30,8281,64.0
2020-07-31,8470,71.0
2020-08-01,8649,79.0
2020-08-02,8782,80.0
2020-08-03,8894,81.0
2020-08-04,9018,88.0
2020-08-05,9156,94.0
2020-08-06,9286,96.0
2020-08-07,9401,100.0
2020-08-08,9568,104.0
2020-08-09,9696,104.0
2020-08-10,9769,104.0
2020-08-11,9858,106.0
2020-08-12,9936,107.0
2020-08-13,10037,107.0
2020-08-14,10146,109.0
