date,cases,deaths
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,5,0
2020-04-01,6,0
2020-04-02,6,0
2020-04-03,6,0
2020-04-04,6,0
2020-04-05,7,0
2020-04-06,10,0
2020-04-07,11,0
2020-04-08,13,0
2020-04-09,13,0
2020-04-10,14,0
2020-04-11,14,0
2020-04-12,14,0
2020-04-13,14,0
2020-04-14,14,0
2020-04-15,14,0
2020-04-16,17,1
2020-04-17,17,1
2020-04-18,18,1
2020-04-19,18,1
2020-04-20,19,1
2020-04-21,19,1
2020-04-22,20,1
2020-04-23,20,1
2020-04-24,20,1
2020-04-25,21,1
2020-04-26,21,1
2020-04-27,22,1
2020-04-28,22,1
2020-04-29,22,1
2020-04-30,24,1
2020-05-01,25,1
2020-05-02,26,1
2020-05-03,27,1
2020-05-04,28,1
2020-05-05,29,1
2020-05-06,29,1
2020-05-07,32,1
2020-05-08,35,1
2020-05-09,41,1
2020-05-10,43,1
2020-05-11,43,1
2020-05-12,51,2
2020-05-13,48,2
2020-05-14,51,2
2020-05-15,59,2
2020-05-16,59,2
2020-05-17,57,2
2020-05-18,61,2
2020-05-19,71,2
2020-05-20,68,2
2020-05-21,73,2
2020-05-22,73,2
2020-05-23,76,2
2020-05-24,75,2
2020-05-25,77,2
2020-05-26,80,2
2020-05-27,83,2
2020-05-28,91,3
2020-05-29,92,3
2020-05-30,108,3
2020-05-31,122,3
2020-06-01,129,3
2020-06-02,131,3
2020-06-03,136,3
2020-06-04,137,3
2020-06-05,141,3
2020-06-06,144,3
2020-06-07,144,3
2020-06-08,146,3
2020-06-09,152,3
2020-06-10,152,3
2020-06-11,164,3
2020-06-12,165,3
2020-06-13,174,3
2020-06-14,176,3
2020-06-15,177,3
2020-06-16,181,3
2020-06-17,179,3
2020-06-18,186,3
2020-06-19,194,3
