date,cases,deaths
2020-03-21,2,0.0
2020-03-22,2,0.0
2020-03-23,2,0.0
2020-03-24,2,0.0
2020-03-25,2,0.0
2020-03-26,2,0.0
2020-03-27,2,0.0
2020-03-28,2,0.0
2020-03-29,2,0.0
2020-03-30,3,1.0
2020-03-31,5,1.0
2020-04-01,7,1.0
2020-04-02,7,1.0
2020-04-03,11,1.0
2020-04-04,11,1.0
2020-04-05,15,1.0
2020-04-06,20,1.0
2020-04-07,27,1.0
2020-04-08,30,1.0
2020-04-09,32,1.0
2020-04-10,35,1.0
2020-04-11,47,1.0
2020-04-12,53,2.0
2020-04-13,54,2.0
2020-04-14,69,2.0
2020-04-15,93,2.0
2020-04-16,100,2.0
2020-04-17,112,2.0
2020-04-18,108,2.0
2020-04-19,112,3.0
2020-04-20,130,4.0
2020-04-21,135,4.0
2020-04-22,155,4.0
2020-04-23,161,4.0
2020-04-24,169,5.0
2020-04-25,180,6.0
2020-04-26,181,6.0
2020-04-27,193,6.0
2020-04-28,205,6.0
2020-04-29,210,8.0
2020-04-30,215,8.0
2020-05-01,226,8.0
2020-05-02,229,8.0
2020-05-03,233,8.0
2020-05-04,239,9.0
2020-05-05,260,10.0
2020-05-06,263,10.0
2020-05-07,270,10.0
2020-05-08,271,12.0
2020-05-09,270,12.0
2020-05-10,271,12.0
2020-05-11,275,13.0
2020-05-12,276,12.0
2020-05-13,277,12.0
2020-05-14,280,12.0
2020-05-15,282,12.0
2020-05-16,284,12.0
2020-05-17,287,14.0
2020-05-18,290,14.0
2020-05-19,292,14.0
2020-05-20,296,14.0
2020-05-21,299,16.0
2020-05-22,329,19.0
2020-05-23,329,24.0
2020-05-24,331,24.0
2020-05-25,330,25.0
2020-05-26,335,25.0
2020-05-27,337,26.0
2020-05-28,342,26.0
2020-05-29,348,26.0
2020-05-30,343,26.0
2020-05-31,345,26.0
2020-06-01,349,26.0
2020-06-02,350,26.0
2020-06-03,352,27.0
2020-06-04,380,27.0
2020-06-05,387,27.0
2020-06-06,387,27.0
2020-06-07,388,27.0
2020-06-08,388,29.0
2020-06-09,393,29.0
2020-06-10,407,30.0
2020-06-11,414,30.0
2020-06-12,421,30.0
2020-06-13,423,31.0
2020-06-14,426,31.0
2020-06-15,429,32.0
2020-06-16,430,32.0
2020-06-17,431,33.0
2020-06-18,433,33.0
2020-06-19,435,33.0
2020-06-20,441,33.0
2020-06-21,444,33.0
2020-06-22,450,33.0
2020-06-23,457,32.0
2020-06-24,463,32.0
2020-06-25,465,33.0
2020-06-26,470,33.0
2020-06-27,476,33.0
2020-06-28,479,33.0
2020-06-29,483,33.0
2020-06-30,499,34.0
2020-07-01,517,34.0
2020-07-02,543,34.0
2020-07-03,554,34.0
2020-07-04,564,34.0
2020-07-05,566,34.0
2020-07-06,570,34.0
2020-07-07,582,34.0
2020-07-08,612,34.0
2020-07-09,617,34.0
2020-07-10,641,35.0
2020-07-11,647,35.0
2020-07-12,645,35.0
2020-07-13,654,35.0
2020-07-14,681,35.0
2020-07-15,701,35.0
2020-07-16,715,35.0
2020-07-17,721,35.0
2020-07-18,730,35.0
2020-07-19,738,35.0
2020-07-20,745,35.0
2020-07-21,755,35.0
2020-07-22,770,37.0
2020-07-23,790,37.0
2020-07-24,806,37.0
2020-07-25,822,37.0
2020-07-26,840,37.0
2020-07-27,854,37.0
2020-07-28,863,37.0
2020-07-29,884,38.0
2020-07-30,913,38.0
2020-07-31,917,38.0
2020-08-01,943,38.0
2020-08-02,965,38.0
2020-08-03,972,38.0
2020-08-04,978,38.0
2020-08-05,988,38.0
2020-08-06,1010,38.0
2020-08-07,1023,38.0
2020-08-08,1035,39.0
2020-08-09,1048,39.0
2020-08-10,1051,39.0
2020-08-11,1070,41.0
2020-08-12,1095,42.0
2020-08-13,1115,42.0
2020-08-14,1130,43.0
2020-08-15,1148,44.0
2020-08-16,1168,44.0
2020-08-17,1182,44.0
2020-08-18,1201,45.0
2020-08-19,1219,46.0
2020-08-20,1241,46.0
2020-08-21,1252,46.0
2020-08-22,1290,46.0
2020-08-23,1335,46.0
2020-08-24,1415,46.0
2020-08-25,1467,47.0
2020-08-26,1510,48.0
2020-08-27,1563,48.0
2020-08-28,1599,48.0
2020-08-29,1644,50.0
2020-08-30,1652,50.0
2020-08-31,1679,50.0
2020-09-01,1705,52.0
2020-09-02,1715,52.0
2020-09-03,1743,52.0
2020-09-04,1765,52.0
2020-09-05,1790,53.0
2020-09-06,1797,53.0
2020-09-07,1809,53.0
2020-09-08,1829,53.0
2020-09-09,1858,55.0
2020-09-10,1868,55.0
2020-09-11,1877,55.0
2020-09-12,1905,55.0
2020-09-13,1912,55.0
2020-09-14,1923,55.0
2020-09-15,1950,55.0
2020-09-16,1960,55.0
2020-09-17,1968,55.0
2020-09-18,2020,55.0
2020-09-19,2048,55.0
2020-09-20,2056,55.0
2020-09-21,2058,55.0
2020-09-22,2061,56.0
2020-09-23,2078,56.0
2020-09-24,2085,56.0
2020-09-25,2087,56.0
2020-09-26,2104,56.0
2020-09-27,2109,56.0
2020-09-28,2113,56.0
2020-09-29,2134,57.0
2020-09-30,2134,57.0
2020-10-01,2127,57.0
2020-10-02,2132,57.0
2020-10-03,2142,58.0
2020-10-04,2145,58.0
2020-10-05,2229,58.0
2020-10-06,2231,58.0
2020-10-07,2245,59.0
2020-10-08,2257,61.0
2020-10-09,2269,61.0
2020-10-10,2273,61.0
2020-10-11,2276,61.0
2020-10-12,2282,62.0
2020-10-13,2282,62.0
2020-10-14,2299,62.0
2020-10-15,2305,62.0
2020-10-16,2311,62.0
2020-10-17,2321,63.0
2020-10-18,2325,63.0
2020-10-19,2331,63.0
2020-10-20,2338,63.0
2020-10-21,2341,63.0
2020-10-22,2348,63.0
2020-10-23,2366,63.0
2020-10-24,2378,64.0
2020-10-25,2381,64.0
2020-10-26,2390,64.0
2020-10-27,2390,64.0
2020-10-28,2399,64.0
2020-10-29,2400,64.0
2020-10-30,2406,65.0
2020-10-31,2415,65.0
2020-11-01,2421,65.0
2020-11-02,2425,65.0
2020-11-03,2429,65.0
2020-11-04,2435,66.0
2020-11-05,2443,67.0
2020-11-06,2450,67.0
2020-11-07,2460,67.0
2020-11-08,2463,67.0
2020-11-09,2476,68.0
2020-11-10,2487,68.0
2020-11-11,2495,68.0
2020-11-12,2498,69.0
2020-11-13,2515,69.0
2020-11-14,2523,69.0
2020-11-15,2525,69.0
2020-11-16,2530,69.0
2020-11-17,2556,69.0
2020-11-18,2570,69.0
2020-11-19,2575,69.0
2020-11-20,2587,69.0
2020-11-21,2592,69.0
2020-11-22,2595,69.0
2020-11-23,2602,69.0
2020-11-24,2614,70.0
2020-11-25,2630,71.0
2020-11-26,2639,71.0
2020-11-27,2647,71.0
2020-11-28,2661,71.0
2020-11-29,2665,71.0
2020-11-30,2669,71.0
2020-12-01,2676,71.0
2020-12-02,2696,71.0
2020-12-03,2720,72.0
2020-12-04,2727,72.0
2020-12-05,2738,72.0
2020-12-06,2738,72.0
2020-12-07,2765,73.0
2020-12-08,2775,73.0
2020-12-09,2786,73.0
2020-12-10,2799,73.0
2020-12-11,2812,74.0
2020-12-12,2828,74.0
2020-12-13,2835,74.0
2020-12-14,2852,74.0
2020-12-15,2867,74.0
2020-12-16,2887,74.0
2020-12-17,2899,73.0
2020-12-18,2914,73.0
2020-12-19,2932,73.0
2020-12-20,2938,73.0
2020-12-21,2950,73.0
2020-12-22,2974,73.0
2020-12-23,2990,73.0
2020-12-24,3022,74.0
2020-12-25,3048,74.0
2020-12-26,3061,75.0
2020-12-27,3069,75.0
2020-12-28,3079,75.0
2020-12-29,3146,75.0
2020-12-30,3176,75.0
2020-12-31,3203,75.0
2021-01-01,3245,75.0
2021-01-02,3270,75.0
2021-01-03,3280,75.0
2021-01-04,3298,75.0
2021-01-05,3334,75.0
2021-01-06,3372,76.0
2021-01-07,3405,76.0
2021-01-08,3440,76.0
2021-01-09,3470,76.0
2021-01-10,3489,76.0
2021-01-11,3499,76.0
2021-01-12,3537,76.0
2021-01-13,3569,77.0
2021-01-14,3609,77.0
2021-01-15,3644,79.0
2021-01-16,3669,79.0
2021-01-17,3677,79.0
2021-01-18,3686,79.0
2021-01-19,3710,80.0
2021-01-20,3732,81.0
2021-01-21,3753,82.0
2021-01-22,3776,84.0
2021-01-23,3800,88.0
2021-01-24,3812,88.0
2021-01-25,3828,88.0
2021-01-26,3855,89.0
2021-01-27,3869,91.0
2021-01-28,3900,93.0
2021-01-29,3926,93.0
2021-01-30,3947,94.0
2021-01-31,3953,94.0
2021-02-01,3971,94.0
2021-02-02,3990,94.0
2021-02-03,4015,93.0
2021-02-04,4043,93.0
2021-02-05,4065,93.0
2021-02-06,4077,96.0
2021-02-07,4087,96.0
2021-02-08,4092,96.0
2021-02-09,4106,97.0
2021-02-10,4118,97.0
2021-02-11,4133,98.0
2021-02-12,4140,98.0
2021-02-13,4149,99.0
2021-02-14,4156,99.0
2021-02-15,4165,101.0
2021-02-16,4170,104.0
2021-02-17,4182,104.0
2021-02-18,4193,105.0
2021-02-19,4207,106.0
2021-02-20,4218,107.0
2021-02-21,4220,107.0
2021-02-22,4230,107.0
2021-02-23,4250,108.0
2021-02-24,4263,108.0
