date,cases,deaths
2020-03-24,1,0.0
2020-03-25,1,0.0
2020-03-26,1,0.0
2020-03-27,2,0.0
2020-03-28,2,0.0
2020-03-29,2,0.0
2020-03-30,3,0.0
2020-03-31,3,0.0
2020-04-01,3,0.0
2020-04-02,3,0.0
2020-04-03,3,0.0
2020-04-04,4,0.0
2020-04-05,4,0.0
2020-04-06,6,0.0
2020-04-07,6,0.0
2020-04-08,6,0.0
2020-04-09,7,0.0
2020-04-10,8,0.0
2020-04-11,8,0.0
2020-04-12,8,0.0
2020-04-13,9,0.0
2020-04-14,10,0.0
2020-04-15,10,0.0
2020-04-16,10,0.0
2020-04-17,13,0.0
2020-04-18,13,0.0
2020-04-19,15,0.0
2020-04-20,15,0.0
2020-04-21,19,0.0
2020-04-22,20,0.0
2020-04-23,21,0.0
2020-04-24,21,0.0
2020-04-25,23,0.0
2020-04-26,23,0.0
2020-04-27,24,0.0
2020-04-28,25,0.0
2020-04-29,25,0.0
2020-04-30,25,0.0
2020-05-01,26,0.0
2020-05-02,28,0.0
2020-05-03,29,0.0
2020-05-04,29,0.0
2020-05-05,29,0.0
2020-05-06,36,0.0
2020-05-07,38,0.0
2020-05-08,39,0.0
2020-05-09,39,0.0
2020-05-10,39,0.0
2020-05-11,40,0.0
2020-05-12,43,0.0
2020-05-13,43,0.0
2020-05-14,44,1.0
2020-05-15,45,1.0
2020-05-16,45,1.0
2020-05-17,45,1.0
2020-05-18,47,1.0
2020-05-19,48,1.0
2020-05-20,48,1.0
2020-05-21,53,1.0
2020-05-22,55,1.0
2020-05-23,56,1.0
2020-05-24,58,1.0
2020-05-25,61,1.0
2020-05-26,65,1.0
2020-05-27,69,1.0
2020-05-28,71,1.0
2020-05-29,72,1.0
2020-05-30,74,1.0
2020-05-31,74,1.0
2020-06-01,76,1.0
2020-06-02,77,1.0
2020-06-03,81,1.0
2020-06-04,84,1.0
2020-06-05,87,1.0
2020-06-06,90,1.0
2020-06-07,90,1.0
2020-06-08,93,1.0
2020-06-09,93,1.0
2020-06-10,96,1.0
2020-06-11,96,1.0
2020-06-12,98,1.0
2020-06-13,102,1.0
2020-06-14,104,1.0
2020-06-15,105,1.0
2020-06-16,104,1.0
2020-06-17,109,1.0
2020-06-18,113,1.0
2020-06-19,117,1.0
2020-06-20,119,1.0
2020-06-21,122,1.0
2020-06-22,125,1.0
2020-06-23,125,1.0
2020-06-24,132,1.0
2020-06-25,139,1.0
2020-06-26,143,1.0
2020-06-27,150,1.0
2020-06-28,156,1.0
2020-06-29,159,1.0
2020-06-30,165,1.0
2020-07-01,168,1.0
2020-07-02,174,1.0
2020-07-03,183,1.0
2020-07-04,184,1.0
2020-07-05,185,1.0
2020-07-06,186,1.0
2020-07-07,192,1.0
2020-07-08,195,1.0
2020-07-09,209,1.0
2020-07-10,228,1.0
2020-07-11,229,1.0
2020-07-12,230,1.0
2020-07-13,230,1.0
2020-07-14,232,1.0
2020-07-15,244,1.0
2020-07-16,254,1.0
2020-07-17,259,1.0
2020-07-18,265,1.0
2020-07-19,266,1.0
2020-07-20,266,1.0
2020-07-21,276,1.0
2020-07-22,284,1.0
2020-07-23,286,1.0
2020-07-24,291,1.0
2020-07-25,297,1.0
2020-07-26,302,1.0
2020-07-27,303,1.0
2020-07-28,314,1.0
2020-07-29,319,2.0
2020-07-30,327,3.0
2020-07-31,335,3.0
2020-08-01,343,3.0
2020-08-02,346,3.0
2020-08-03,351,3.0
2020-08-04,361,3.0
2020-08-05,371,3.0
2020-08-06,388,3.0
2020-08-07,393,3.0
2020-08-08,416,3.0
2020-08-09,436,4.0
2020-08-10,452,4.0
2020-08-11,464,4.0
2020-08-12,478,5.0
2020-08-13,495,5.0
2020-08-14,509,5.0
2020-08-15,529,7.0
2020-08-16,535,7.0
2020-08-17,544,7.0
2020-08-18,550,7.0
2020-08-19,556,7.0
2020-08-20,569,7.0
2020-08-21,578,7.0
2020-08-22,580,7.0
2020-08-23,597,8.0
2020-08-24,603,8.0
2020-08-25,605,10.0
2020-08-26,607,10.0
2020-08-27,610,11.0
2020-08-28,610,12.0
2020-08-29,620,12.0
2020-08-30,620,13.0
2020-08-31,619,13.0
2020-09-01,632,14.0
2020-09-02,638,16.0
2020-09-03,648,16.0
2020-09-04,650,16.0
2020-09-05,662,17.0
2020-09-06,666,17.0
2020-09-07,671,17.0
2020-09-08,671,18.0
2020-09-09,685,18.0
2020-09-10,689,18.0
2020-09-11,690,18.0
2020-09-12,696,18.0
2020-09-13,700,18.0
2020-09-14,702,18.0
2020-09-15,707,18.0
2020-09-16,721,18.0
2020-09-17,727,18.0
2020-09-18,729,20.0
2020-09-19,736,20.0
2020-09-20,738,20.0
2020-09-21,740,20.0
2020-09-22,744,21.0
2020-09-23,751,21.0
2020-09-24,754,22.0
2020-09-25,760,23.0
2020-09-26,768,23.0
2020-09-27,772,24.0
2020-09-28,776,24.0
2020-09-29,782,24.0
2020-09-30,791,24.0
