date,cases,deaths
2020-04-06,3,0
2020-04-07,5,1
2020-04-08,5,1
2020-04-09,6,1
2020-04-10,7,1
2020-04-11,7,1
2020-04-12,8,1
2020-04-13,11,1
2020-04-14,12,1
2020-04-15,14,1
2020-04-16,16,1
2020-04-17,17,2
2020-04-18,18,2
2020-04-19,19,2
2020-04-20,20,2
2020-04-21,20,2
2020-04-22,20,2
2020-04-23,20,2
2020-04-24,20,2
2020-04-25,21,2
2020-04-26,21,2
2020-04-27,21,2
2020-04-28,22,2
2020-04-29,22,2
2020-04-30,23,2
2020-05-01,23,2
2020-05-02,23,2
2020-05-03,22,2
2020-05-04,22,2
2020-05-05,22,2
2020-05-06,22,2
2020-05-07,23,2
2020-05-08,23,2
2020-05-09,24,2
2020-05-10,25,2
2020-05-11,26,2
2020-05-12,27,2
2020-05-13,28,2
2020-05-14,28,2
2020-05-15,35,2
2020-05-16,38,2
2020-05-17,38,2
2020-05-18,39,2
2020-05-19,44,2
2020-05-20,46,2
2020-05-21,46,2
2020-05-22,48,2
2020-05-23,50,2
2020-05-24,51,2
2020-05-25,51,2
2020-05-26,50,2
2020-05-27,50,2
2020-05-28,51,2
2020-05-29,54,2
2020-05-30,56,2
2020-05-31,56,2
2020-06-01,57,2
2020-06-02,58,2
2020-06-03,59,2
2020-06-04,61,2
2020-06-05,62,2
2020-06-06,62,2
2020-06-07,62,2
2020-06-08,63,2
2020-06-09,63,2
2020-06-10,63,2
2020-06-11,64,2
2020-06-12,68,2
2020-06-13,68,2
2020-06-14,68,2
2020-06-15,69,2
2020-06-16,70,2
2020-06-17,71,2
2020-06-18,72,2
2020-06-19,73,2
2020-06-20,73,2
2020-06-21,73,2
2020-06-22,76,2
2020-06-23,78,2
2020-06-24,79,2
2020-06-25,82,2
2020-06-26,85,2
2020-06-27,85,2
2020-06-28,85,2
2020-06-29,85,2
2020-06-30,94,2
2020-07-01,96,2
2020-07-02,99,3
2020-07-03,104,3
2020-07-04,110,3
2020-07-05,110,3
2020-07-06,112,3
2020-07-07,115,3
2020-07-08,120,3
2020-07-09,122,3
2020-07-10,129,3
2020-07-11,137,3
2020-07-12,140,3
2020-07-13,144,3
2020-07-14,147,3
2020-07-15,152,3
2020-07-16,161,3
2020-07-17,166,3
2020-07-18,169,3
2020-07-19,171,3
2020-07-20,174,3
2020-07-21,179,3
2020-07-22,181,3
2020-07-23,186,3
2020-07-24,192,3
2020-07-25,196,3
2020-07-26,200,3
2020-07-27,205,4
2020-07-28,214,4
2020-07-29,217,4
2020-07-30,218,4
2020-07-31,219,4
2020-08-01,224,4
2020-08-02,224,4
2020-08-03,228,4
2020-08-04,232,4
2020-08-05,237,4
2020-08-06,238,4
2020-08-07,242,4
2020-08-08,244,5
2020-08-09,249,5
2020-08-10,251,5
2020-08-11,255,6
2020-08-12,257,6
2020-08-13,261,6
2020-08-14,269,6
2020-08-15,271,7
2020-08-16,272,8
2020-08-17,275,8
2020-08-18,277,8
2020-08-19,279,8
2020-08-20,283,8
2020-08-21,286,8
2020-08-22,289,8
2020-08-23,289,8
2020-08-24,292,8
2020-08-25,296,8
2020-08-26,297,8
2020-08-27,299,8
2020-08-28,301,8
2020-08-29,301,8
2020-08-30,304,8
2020-08-31,308,8
2020-09-01,310,8
2020-09-02,310,8
2020-09-03,318,8
2020-09-04,315,8
2020-09-05,315,8
2020-09-06,317,8
2020-09-07,317,8
2020-09-08,319,8
2020-09-09,321,8
2020-09-10,321,8
2020-09-11,321,8
2020-09-12,324,8
