date,cases,deaths
2020-03-10,1,0.0
2020-03-11,1,0.0
2020-03-12,1,0.0
2020-03-13,1,0.0
2020-03-14,1,0.0
2020-03-15,1,0.0
2020-03-16,1,0.0
2020-03-17,1,0.0
2020-03-18,1,0.0
2020-03-19,1,0.0
2020-03-20,1,0.0
2020-03-21,1,0.0
2020-03-22,1,0.0
2020-03-23,1,0.0
2020-03-24,1,0.0
2020-03-25,1,0.0
2020-03-26,1,0.0
2020-03-27,1,0.0
2020-03-28,1,0.0
2020-03-29,1,0.0
2020-03-30,1,0.0
2020-03-31,1,0.0
2020-04-01,1,0.0
2020-04-02,1,0.0
2020-04-03,1,0.0
2020-04-04,1,0.0
2020-04-05,2,0.0
2020-04-06,3,0.0
2020-04-07,3,0.0
2020-04-08,3,0.0
2020-04-09,2,0.0
2020-04-10,2,0.0
2020-04-11,2,0.0
2020-04-12,3,0.0
2020-04-13,4,0.0
2020-04-14,4,0.0
2020-04-15,5,0.0
2020-04-16,5,0.0
2020-04-17,5,0.0
2020-04-18,5,0.0
2020-04-19,6,0.0
2020-04-20,6,0.0
2020-04-21,7,0.0
2020-04-22,7,0.0
2020-04-23,7,0.0
2020-04-24,7,0.0
2020-04-25,7,0.0
2020-04-26,7,0.0
2020-04-27,8,0.0
2020-04-28,9,0.0
2020-04-29,8,0.0
2020-04-30,8,0.0
2020-05-01,11,0.0
2020-05-02,11,0.0
2020-05-03,12,0.0
2020-05-04,12,0.0
2020-05-05,13,0.0
2020-05-06,13,0.0
2020-05-07,14,0.0
2020-05-08,17,0.0
2020-05-09,17,0.0
2020-05-10,17,0.0
2020-05-11,17,1.0
2020-05-12,17,1.0
2020-05-13,19,1.0
2020-05-14,20,1.0
2020-05-15,26,1.0
2020-05-16,26,1.0
2020-05-17,26,1.0
2020-05-18,26,1.0
2020-05-19,29,1.0
2020-05-20,28,1.0
2020-05-21,28,1.0
2020-05-22,28,1.0
2020-05-23,29,1.0
2020-05-24,29,1.0
2020-05-25,29,1.0
2020-05-26,30,1.0
2020-05-27,33,1.0
2020-05-28,33,1.0
2020-05-29,32,1.0
2020-05-30,32,1.0
2020-05-31,32,1.0
2020-06-01,33,1.0
2020-06-02,33,1.0
2020-06-03,33,1.0
2020-06-04,32,1.0
2020-06-05,32,1.0
2020-06-06,32,1.0
2020-06-07,32,1.0
2020-06-08,34,1.0
2020-06-09,36,1.0
2020-06-10,36,1.0
2020-06-11,37,1.0
2020-06-12,38,1.0
2020-06-13,38,1.0
2020-06-14,38,1.0
2020-06-15,39,1.0
2020-06-16,37,2.0
2020-06-17,36,2.0
2020-06-18,36,2.0
2020-06-19,38,2.0
2020-06-20,38,2.0
2020-06-21,38,2.0
2020-06-22,41,2.0
2020-06-23,43,2.0
2020-06-24,43,2.0
2020-06-25,41,2.0
2020-06-26,43,2.0
2020-06-27,43,2.0
2020-06-28,45,2.0
2020-06-29,46,2.0
2020-06-30,51,2.0
2020-07-01,56,2.0
2020-07-02,58,2.0
2020-07-03,61,2.0
2020-07-04,65,2.0
2020-07-05,66,2.0
2020-07-06,70,2.0
2020-07-07,73,2.0
2020-07-08,76,2.0
2020-07-09,81,2.0
2020-07-10,97,2.0
2020-07-11,99,2.0
2020-07-12,109,2.0
2020-07-13,117,2.0
2020-07-14,132,2.0
2020-07-15,147,2.0
2020-07-16,149,2.0
2020-07-17,171,2.0
2020-07-18,182,2.0
2020-07-19,186,2.0
2020-07-20,194,2.0
2020-07-21,204,2.0
2020-07-22,207,2.0
2020-07-23,232,2.0
2020-07-24,244,3.0
2020-07-25,254,3.0
2020-07-26,258,3.0
2020-07-27,279,3.0
2020-07-28,296,3.0
2020-07-29,296,3.0
2020-07-30,349,3.0
2020-07-31,348,3.0
2020-08-01,377,3.0
2020-08-02,380,3.0
2020-08-03,389,3.0
2020-08-04,391,3.0
2020-08-05,401,3.0
2020-08-06,403,3.0
2020-08-07,412,3.0
2020-08-08,417,3.0
2020-08-09,425,3.0
2020-08-10,437,3.0
2020-08-11,438,3.0
2020-08-12,439,3.0
2020-08-13,444,3.0
2020-08-14,451,3.0
2020-08-15,451,3.0
2020-08-16,490,3.0
2020-08-17,497,3.0
2020-08-18,499,4.0
2020-08-19,504,4.0
2020-08-20,510,4.0
2020-08-21,512,5.0
2020-08-22,529,5.0
2020-08-23,538,5.0
2020-08-24,544,5.0
2020-08-25,545,5.0
2020-08-26,547,5.0
2020-08-27,551,5.0
2020-08-28,555,5.0
2020-08-29,556,5.0
2020-08-30,558,6.0
2020-08-31,561,6.0
2020-09-01,572,6.0
