date,cases,deaths
2020-03-15,2,0.0
2020-03-16,5,0.0
2020-03-17,5,0.0
2020-03-18,6,0.0
2020-03-19,6,0.0
2020-03-20,10,0.0
2020-03-21,12,0.0
2020-03-22,13,1.0
2020-03-23,19,1.0
2020-03-24,21,1.0
2020-03-25,29,1.0
2020-03-26,37,1.0
2020-03-27,53,1.0
2020-03-28,57,1.0
2020-03-29,59,1.0
2020-03-30,62,2.0
2020-03-31,112,3.0
2020-04-01,128,5.0
2020-04-02,165,6.0
2020-04-03,206,8.0
2020-04-04,235,9.0
2020-04-05,238,9.0
2020-04-06,254,9.0
2020-04-07,278,10.0
2020-04-08,289,10.0
2020-04-09,298,11.0
2020-04-10,328,11.0
2020-04-11,339,11.0
2020-04-12,372,11.0
2020-04-13,396,12.0
2020-04-14,435,12.0
2020-04-15,462,13.0
2020-04-16,473,13.0
2020-04-17,499,16.0
2020-04-18,505,17.0
2020-04-19,520,17.0
2020-04-20,540,20.0
2020-04-21,547,21.0
2020-04-22,549,21.0
2020-04-23,616,21.0
2020-04-24,629,21.0
2020-04-25,642,21.0
2020-04-26,641,21.0
2020-04-27,649,24.0
2020-04-28,672,24.0
2020-04-29,693,27.0
2020-04-30,716,30.0
2020-05-01,733,33.0
2020-05-02,777,33.0
2020-05-03,793,33.0
2020-05-04,804,32.0
2020-05-05,813,33.0
2020-05-06,849,33.0
2020-05-07,878,34.0
2020-05-08,888,34.0
2020-05-09,901,34.0
2020-05-10,921,34.0
2020-05-11,944,34.0
2020-05-12,951,35.0
2020-05-13,955,35.0
2020-05-14,983,36.0
2020-05-15,999,38.0
2020-05-16,1002,38.0
2020-05-17,1005,39.0
2020-05-18,1009,38.0
2020-05-19,1010,38.0
2020-05-20,1034,39.0
2020-05-21,1047,42.0
2020-05-22,1071,43.0
2020-05-23,1089,43.0
2020-05-24,1119,43.0
2020-05-25,1132,43.0
2020-05-26,1173,44.0
2020-05-27,1189,46.0
2020-05-28,1204,45.0
2020-05-29,1217,45.0
2020-05-30,1216,45.0
2020-05-31,1221,49.0
2020-06-01,1234,50.0
2020-06-02,1238,51.0
2020-06-03,1260,51.0
2020-06-04,1282,51.0
2020-06-05,1310,52.0
2020-06-06,1323,51.0
2020-06-07,1328,51.0
2020-06-08,1343,52.0
2020-06-09,1362,54.0
2020-06-10,1378,58.0
2020-06-11,1399,59.0
2020-06-12,1413,65.0
2020-06-13,1427,69.0
2020-06-14,1431,69.0
2020-06-15,1440,72.0
2020-06-16,1461,73.0
2020-06-17,1495,74.0
2020-06-18,1518,75.0
2020-06-19,1550,76.0
