date,cases,deaths
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,3,0
2020-03-22,3,0
2020-03-23,3,0
2020-03-24,6,0
2020-03-25,10,0
2020-03-26,10,0
2020-03-27,10,0
2020-03-28,12,0
2020-03-29,12,0
2020-03-30,14,0
2020-03-31,24,0
2020-04-01,24,0
2020-04-02,27,0
2020-04-03,33,0
2020-04-04,36,0
2020-04-05,36,0
2020-04-06,40,0
2020-04-07,46,0
2020-04-08,50,0
2020-04-09,58,0
2020-04-10,65,0
2020-04-11,68,0
2020-04-12,69,0
2020-04-13,71,0
2020-04-14,75,0
2020-04-15,79,0
2020-04-16,87,0
2020-04-17,91,1
2020-04-18,100,1
2020-04-19,101,1
2020-04-20,116,2
2020-04-21,122,2
2020-04-22,124,2
2020-04-23,129,2
2020-04-24,137,2
2020-04-25,138,2
2020-04-26,143,2
2020-04-27,144,2
2020-04-28,149,3
2020-04-29,156,4
2020-04-30,160,4
2020-05-01,162,4
2020-05-02,163,4
2020-05-03,164,4
2020-05-04,168,4
2020-05-05,169,5
2020-05-06,170,5
2020-05-07,170,5
2020-05-08,178,5
2020-05-09,179,5
2020-05-10,183,5
2020-05-11,183,5
2020-05-12,186,6
2020-05-13,191,6
2020-05-14,197,6
2020-05-15,202,6
2020-05-16,205,6
2020-05-17,205,6
2020-05-18,212,6
2020-05-19,212,6
2020-05-20,214,6
2020-05-21,224,6
2020-05-22,223,6
2020-05-23,223,6
2020-05-24,223,6
2020-05-25,224,6
2020-05-26,229,7
2020-05-27,237,7
2020-05-28,243,7
2020-05-29,248,7
2020-05-30,248,7
2020-05-31,248,7
2020-06-01,251,8
2020-06-02,251,8
2020-06-03,266,8
2020-06-04,266,8
2020-06-05,270,8
2020-06-06,274,8
2020-06-07,274,8
2020-06-08,278,8
2020-06-09,288,8
2020-06-10,289,8
2020-06-11,290,8
2020-06-12,295,8
2020-06-13,296,8
2020-06-14,300,8
2020-06-15,301,8
2020-06-16,305,8
2020-06-17,324,8
2020-06-18,329,8
2020-06-19,335,8
2020-06-20,339,8
2020-06-21,342,8
2020-06-22,345,8
2020-06-23,359,8
2020-06-24,367,9
2020-06-25,377,9
2020-06-26,392,9
2020-06-27,410,9
2020-06-28,422,9
2020-06-29,444,9
2020-06-30,470,9
2020-07-01,505,9
2020-07-02,531,9
2020-07-03,565,9
2020-07-04,602,9
2020-07-05,627,9
2020-07-06,637,9
2020-07-07,655,10
2020-07-08,690,12
2020-07-09,709,12
2020-07-10,783,12
2020-07-11,829,12
2020-07-12,852,12
2020-07-13,961,12
2020-07-14,980,12
2020-07-15,1044,12
2020-07-16,1057,13
2020-07-17,1123,14
2020-07-18,1186,14
2020-07-19,1205,14
2020-07-20,1242,14
2020-07-21,1300,15
2020-07-22,1323,17
2020-07-23,1361,17
2020-07-24,1395,18
2020-07-25,1439,18
2020-07-26,1495,18
2020-07-27,1548,18
2020-07-28,1615,18
2020-07-29,1689,19
2020-07-30,1739,19
2020-07-31,1793,19
2020-08-01,1848,19
2020-08-02,1919,19
2020-08-03,1969,19
2020-08-04,2008,21
2020-08-05,2050,21
2020-08-06,2088,21
2020-08-07,2134,22
2020-08-08,2188,23
2020-08-09,2241,23
2020-08-10,2284,24
2020-08-11,2346,25
2020-08-12,2443,27
2020-08-13,2456,28
2020-08-14,2511,29
2020-08-15,2596,34
2020-08-16,2635,34
2020-08-17,2695,34
2020-08-18,2761,35
2020-08-19,2804,35
2020-08-20,2869,35
2020-08-21,2912,36
2020-08-22,2936,36
2020-08-23,2955,40
2020-08-24,2978,40
2020-08-25,2995,41
2020-08-26,3028,41
2020-08-27,3055,43
2020-08-28,3085,44
2020-08-29,3100,44
2020-08-30,3109,44
2020-08-31,3142,44
2020-09-01,3179,45
2020-09-02,3210,45
2020-09-03,3240,46
2020-09-04,3266,46
2020-09-05,3297,46
2020-09-06,3299,47
2020-09-07,3303,47
2020-09-08,3349,47
2020-09-09,3366,51
2020-09-10,3387,53
2020-09-11,3394,55
2020-09-12,3443,55
2020-09-13,3461,56
2020-09-14,3498,56
2020-09-15,3509,56
2020-09-16,3531,56
2020-09-17,3573,56
2020-09-18,3598,56
