date,cases,deaths
2020-03-20,1,0.0
2020-03-21,1,0.0
2020-03-22,1,0.0
2020-03-23,1,0.0
2020-03-24,1,0.0
2020-03-25,1,0.0
2020-03-26,3,0.0
2020-03-27,2,0.0
2020-03-28,2,0.0
2020-03-29,4,0.0
2020-03-30,7,0.0
2020-03-31,10,0.0
2020-04-01,11,0.0
2020-04-02,11,0.0
2020-04-03,13,0.0
2020-04-04,16,0.0
2020-04-05,16,0.0
2020-04-06,18,1.0
2020-04-07,20,1.0
2020-04-08,23,1.0
2020-04-09,24,1.0
2020-04-10,25,2.0
2020-04-11,25,2.0
2020-04-12,26,2.0
2020-04-13,32,2.0
2020-04-14,36,2.0
2020-04-15,37,2.0
2020-04-16,39,2.0
2020-04-17,42,1.0
2020-04-18,43,1.0
2020-04-19,44,1.0
2020-04-20,45,1.0
2020-04-21,45,1.0
2020-04-22,49,1.0
2020-04-23,50,1.0
2020-04-24,51,1.0
2020-04-25,51,1.0
2020-04-26,51,1.0
2020-04-27,53,1.0
2020-04-28,58,1.0
2020-04-29,60,1.0
2020-04-30,61,1.0
2020-05-01,61,1.0
2020-05-02,66,1.0
2020-05-03,66,1.0
2020-05-04,67,1.0
2020-05-05,67,1.0
2020-05-06,72,1.0
2020-05-07,73,1.0
2020-05-08,75,1.0
2020-05-09,75,1.0
2020-05-10,81,1.0
2020-05-11,81,1.0
2020-05-12,76,1.0
2020-05-13,81,1.0
2020-05-14,84,1.0
2020-05-15,84,1.0
2020-05-16,84,1.0
2020-05-17,83,1.0
2020-05-18,84,1.0
2020-05-19,86,1.0
2020-05-20,95,1.0
2020-05-21,99,2.0
2020-05-22,101,1.0
2020-05-23,101,1.0
2020-05-24,101,1.0
2020-05-25,103,1.0
2020-05-26,104,1.0
2020-05-27,108,1.0
2020-05-28,108,1.0
2020-05-29,109,1.0
2020-05-30,109,1.0
2020-05-31,109,1.0
2020-06-01,109,1.0
2020-06-02,109,1.0
2020-06-03,110,1.0
2020-06-04,110,1.0
2020-06-05,112,1.0
2020-06-06,113,1.0
2020-06-07,113,1.0
2020-06-08,114,1.0
2020-06-09,114,1.0
2020-06-10,116,2.0
2020-06-11,118,3.0
2020-06-12,118,3.0
2020-06-13,118,3.0
2020-06-14,118,3.0
2020-06-15,119,3.0
2020-06-16,121,3.0
2020-06-17,121,3.0
2020-06-18,123,3.0
2020-06-19,124,3.0
2020-06-20,124,3.0
2020-06-21,124,3.0
2020-06-22,124,3.0
2020-06-23,125,3.0
2020-06-24,127,3.0
2020-06-25,128,3.0
2020-06-26,131,3.0
2020-06-27,131,3.0
2020-06-28,133,3.0
2020-06-29,136,3.0
2020-06-30,141,3.0
2020-07-01,144,3.0
2020-07-02,146,3.0
2020-07-03,148,3.0
2020-07-04,153,3.0
2020-07-05,153,3.0
2020-07-06,153,3.0
2020-07-07,159,3.0
2020-07-08,162,3.0
2020-07-09,167,3.0
2020-07-10,170,3.0
2020-07-11,173,3.0
2020-07-12,174,3.0
2020-07-13,180,3.0
2020-07-14,184,3.0
2020-07-15,187,3.0
2020-07-16,191,3.0
2020-07-17,194,3.0
2020-07-18,199,3.0
2020-07-19,202,3.0
2020-07-20,202,3.0
2020-07-21,205,3.0
2020-07-22,210,3.0
2020-07-23,217,3.0
2020-07-24,226,3.0
2020-07-25,229,3.0
2020-07-26,237,3.0
2020-07-27,241,3.0
2020-07-28,244,3.0
2020-07-29,256,3.0
2020-07-30,265,3.0
2020-07-31,290,3.0
2020-08-01,295,3.0
2020-08-02,298,3.0
2020-08-03,301,3.0
2020-08-04,318,3.0
2020-08-05,329,3.0
2020-08-06,335,3.0
2020-08-07,359,3.0
2020-08-08,369,3.0
2020-08-09,377,3.0
2020-08-10,378,3.0
2020-08-11,401,3.0
2020-08-12,431,5.0
2020-08-13,450,5.0
2020-08-14,458,5.0
2020-08-15,481,5.0
2020-08-16,484,5.0
2020-08-17,486,5.0
2020-08-18,504,5.0
2020-08-19,528,5.0
2020-08-20,548,5.0
2020-08-21,564,5.0
2020-08-22,589,5.0
2020-08-23,590,6.0
2020-08-24,590,6.0
2020-08-25,599,6.0
2020-08-26,614,6.0
2020-08-27,632,6.0
2020-08-28,650,7.0
2020-08-29,666,7.0
2020-08-30,669,7.0
2020-08-31,670,7.0
2020-09-01,680,7.0
2020-09-02,694,7.0
2020-09-03,703,7.0
2020-09-04,711,7.0
2020-09-05,723,7.0
2020-09-06,726,7.0
2020-09-07,728,7.0
2020-09-08,729,7.0
2020-09-09,740,7.0
2020-09-10,745,6.0
2020-09-11,745,6.0
2020-09-12,752,6.0
2020-09-13,754,6.0
2020-09-14,755,6.0
2020-09-15,757,6.0
2020-09-16,769,6.0
2020-09-17,772,6.0
2020-09-18,776,6.0
2020-09-19,790,6.0
2020-09-20,792,6.0
2020-09-21,795,6.0
2020-09-22,795,6.0
2020-09-23,797,7.0
2020-09-24,802,7.0
2020-09-25,810,7.0
2020-09-26,812,7.0
2020-09-27,814,7.0
2020-09-28,814,7.0
2020-09-29,821,7.0
2020-09-30,830,8.0
2020-10-01,838,8.0
2020-10-02,839,8.0
2020-10-03,847,8.0
2020-10-04,848,8.0
2020-10-05,872,8.0
2020-10-06,871,8.0
2020-10-07,873,8.0
2020-10-08,876,9.0
2020-10-09,879,9.0
2020-10-10,882,9.0
2020-10-11,882,9.0
2020-10-12,883,9.0
2020-10-13,885,9.0
2020-10-14,892,9.0
2020-10-15,903,10.0
2020-10-16,904,10.0
2020-10-17,910,10.0
2020-10-18,911,10.0
2020-10-19,911,10.0
2020-10-20,918,10.0
2020-10-21,922,10.0
2020-10-22,925,10.0
2020-10-23,928,11.0
2020-10-24,932,11.0
2020-10-25,933,11.0
2020-10-26,936,11.0
2020-10-27,938,11.0
2020-10-28,942,11.0
2020-10-29,949,11.0
2020-10-30,952,11.0
2020-10-31,953,11.0
2020-11-01,954,11.0
2020-11-02,955,11.0
2020-11-03,959,11.0
2020-11-04,965,11.0
2020-11-05,970,11.0
2020-11-06,973,11.0
2020-11-07,976,11.0
2020-11-08,978,11.0
2020-11-09,980,11.0
2020-11-10,987,11.0
2020-11-11,990,11.0
2020-11-12,995,11.0
2020-11-13,1002,11.0
2020-11-14,1009,11.0
2020-11-15,1012,11.0
2020-11-16,1014,11.0
2020-11-17,1030,11.0
2020-11-18,1048,11.0
2020-11-19,1063,11.0
2020-11-20,1076,11.0
2020-11-21,1089,11.0
2020-11-22,1092,11.0
2020-11-23,1096,11.0
2020-11-24,1115,11.0
2020-11-25,1129,11.0
2020-11-26,1143,11.0
2020-11-27,1150,11.0
2020-11-28,1158,11.0
2020-11-29,1163,11.0
2020-11-30,1169,11.0
2020-12-01,1179,11.0
2020-12-02,1193,11.0
2020-12-03,1212,11.0
2020-12-04,1238,11.0
2020-12-05,1256,11.0
2020-12-06,1259,11.0
2020-12-07,1267,11.0
2020-12-08,1280,11.0
2020-12-09,1311,11.0
2020-12-10,1331,11.0
2020-12-11,1354,11.0
2020-12-12,1389,11.0
2020-12-13,1398,11.0
2020-12-14,1398,11.0
2020-12-15,1410,11.0
2020-12-16,1431,11.0
2020-12-17,1454,12.0
2020-12-18,1487,12.0
2020-12-19,1515,12.0
