date,cases,deaths
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,2,0
2020-03-31,2,0
2020-04-01,3,0
2020-04-02,5,0
2020-04-03,5,0
2020-04-04,5,0
2020-04-05,6,0
2020-04-06,8,0
2020-04-07,8,0
2020-04-08,9,0
2020-04-09,9,0
2020-04-10,9,0
2020-04-11,11,0
2020-04-12,13,0
2020-04-13,15,0
2020-04-14,17,0
2020-04-15,18,0
2020-04-16,19,0
2020-04-17,19,0
2020-04-18,19,0
2020-04-19,19,0
2020-04-20,19,0
2020-04-21,19,0
2020-04-22,21,0
2020-04-23,22,0
2020-04-24,22,0
2020-04-25,23,0
2020-04-26,23,0
2020-04-27,24,1
2020-04-28,24,1
2020-04-29,25,1
2020-04-30,26,1
2020-05-01,28,1
2020-05-02,29,1
2020-05-03,29,1
2020-05-04,30,1
2020-05-05,31,1
2020-05-06,32,1
2020-05-07,31,1
2020-05-08,32,1
2020-05-09,32,1
2020-05-10,32,1
2020-05-11,34,1
2020-05-12,35,1
2020-05-13,36,1
2020-05-14,38,1
2020-05-15,38,2
2020-05-16,39,2
2020-05-17,38,2
2020-05-18,44,2
2020-05-19,44,2
2020-05-20,47,2
2020-05-21,47,2
2020-05-22,48,2
2020-05-23,48,2
2020-05-24,48,2
2020-05-25,48,2
2020-05-26,50,2
2020-05-27,50,2
2020-05-28,51,2
2020-05-29,51,2
2020-05-30,51,2
2020-05-31,51,2
2020-06-01,52,2
2020-06-02,52,2
2020-06-03,52,2
2020-06-04,52,2
2020-06-05,52,2
2020-06-06,53,2
2020-06-07,53,2
2020-06-08,53,2
2020-06-09,53,2
2020-06-10,53,2
2020-06-11,53,2
2020-06-12,54,2
2020-06-13,54,2
2020-06-14,54,2
2020-06-15,56,2
2020-06-16,59,2
2020-06-17,62,2
2020-06-18,62,2
2020-06-19,62,2
2020-06-20,67,2
2020-06-21,67,2
2020-06-22,67,2
2020-06-23,70,2
2020-06-24,71,2
2020-06-25,77,2
2020-06-26,84,2
2020-06-27,88,2
2020-06-28,92,2
2020-06-29,96,2
2020-06-30,100,2
2020-07-01,104,2
2020-07-02,107,2
