date,cases,deaths
2020-04-06,1,0
2020-04-07,1,0
2020-04-08,2,0
2020-04-09,2,0
2020-04-10,2,0
2020-04-11,2,0
2020-04-12,2,0
2020-04-13,2,0
2020-04-14,2,0
2020-04-15,3,0
2020-04-16,3,0
2020-04-17,4,0
2020-04-18,4,0
2020-04-19,4,0
2020-04-20,4,0
2020-04-21,5,0
2020-04-22,5,0
2020-04-23,5,0
2020-04-24,5,0
2020-04-25,5,0
2020-04-26,5,0
2020-04-27,5,0
2020-04-28,5,0
2020-04-29,5,0
2020-04-30,5,0
2020-05-01,5,0
2020-05-02,5,0
2020-05-03,5,0
2020-05-04,5,0
2020-05-05,5,0
2020-05-06,5,0
2020-05-07,6,0
2020-05-08,6,0
2020-05-09,6,0
2020-05-10,6,0
2020-05-11,7,0
2020-05-12,8,0
2020-05-13,10,0
2020-05-14,12,0
2020-05-15,15,0
2020-05-16,15,0
2020-05-17,15,0
2020-05-18,16,0
2020-05-19,21,0
2020-05-20,53,0
2020-05-21,54,0
2020-05-22,59,0
2020-05-23,61,0
2020-05-24,61,0
2020-05-25,62,0
2020-05-26,96,0
2020-05-27,99,0
2020-05-28,104,0
2020-05-29,107,0
2020-05-30,110,0
2020-05-31,117,0
2020-06-01,119,0
2020-06-02,121,0
2020-06-03,125,0
2020-06-04,130,0
2020-06-05,136,0
2020-06-06,146,0
2020-06-07,147,0
2020-06-08,146,0
2020-06-09,146,0
2020-06-10,149,0
2020-06-11,153,0
2020-06-12,153,0
2020-06-13,158,0
2020-06-14,160,0
2020-06-15,161,0
2020-06-16,162,0
2020-06-17,164,0
2020-06-18,165,0
2020-06-19,168,0
2020-06-20,172,0
2020-06-21,173,0
2020-06-22,177,0
2020-06-23,177,0
2020-06-24,177,0
2020-06-25,177,0
2020-06-26,180,0
2020-06-27,181,0
2020-06-28,182,0
2020-06-29,183,0
2020-06-30,184,0
2020-07-01,185,0
2020-07-02,185,0
2020-07-03,185,0
2020-07-04,185,0
2020-07-05,185,0
2020-07-06,185,0
2020-07-07,187,0
2020-07-08,188,0
2020-07-09,191,0
2020-07-10,192,0
2020-07-11,192,0
2020-07-12,197,0
2020-07-13,197,0
2020-07-14,199,0
2020-07-15,199,0
2020-07-16,205,0
2020-07-17,205,0
2020-07-18,206,0
2020-07-19,208,0
2020-07-20,209,0
2020-07-21,211,0
2020-07-22,217,0
2020-07-23,217,0
