date,cases,deaths
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,2,0
2020-03-23,2,0
2020-03-24,3,0
2020-03-25,3,0
2020-03-26,3,0
2020-03-27,4,0
2020-03-28,4,0
2020-03-29,4,0
2020-03-30,4,0
2020-03-31,5,0
2020-04-01,5,0
2020-04-02,6,0
2020-04-03,6,0
2020-04-04,9,0
2020-04-05,12,1
2020-04-06,14,1
2020-04-07,18,1
2020-04-08,19,1
2020-04-09,19,1
2020-04-10,20,1
2020-04-11,20,1
2020-04-12,22,1
2020-04-13,23,1
2020-04-14,25,1
2020-04-15,24,1
2020-04-16,24,1
2020-04-17,25,1
2020-04-18,25,1
2020-04-19,26,1
2020-04-20,27,1
2020-04-21,29,1
2020-04-22,30,1
2020-04-23,33,1
2020-04-24,34,1
2020-04-25,34,1
2020-04-26,34,1
2020-04-27,34,1
2020-04-28,34,1
2020-04-29,34,1
2020-04-30,35,1
2020-05-01,36,1
2020-05-02,36,1
2020-05-03,36,1
2020-05-04,36,1
2020-05-05,38,1
2020-05-06,38,1
2020-05-07,37,1
2020-05-08,37,1
2020-05-09,37,1
2020-05-10,38,1
2020-05-11,38,1
2020-05-12,38,1
2020-05-13,38,1
2020-05-14,38,1
2020-05-15,38,1
2020-05-16,42,1
2020-05-17,42,1
2020-05-18,45,1
2020-05-19,47,1
2020-05-20,48,1
2020-05-21,50,1
2020-05-22,61,1
2020-05-23,63,1
2020-05-24,63,1
2020-05-25,63,1
2020-05-26,75,1
2020-05-27,74,1
2020-05-28,75,1
2020-05-29,73,1
2020-05-30,73,1
2020-05-31,74,1
2020-06-01,74,1
2020-06-02,75,1
2020-06-03,75,1
2020-06-04,77,1
2020-06-05,78,1
2020-06-06,78,1
2020-06-07,78,1
2020-06-08,78,1
2020-06-09,81,1
2020-06-10,81,1
2020-06-11,84,1
2020-06-12,83,1
2020-06-13,86,1
2020-06-14,86,1
2020-06-15,86,1
2020-06-16,86,1
2020-06-17,88,1
2020-06-18,91,1
2020-06-19,95,1
2020-06-20,96,1
2020-06-21,98,1
2020-06-22,101,1
2020-06-23,111,1
2020-06-24,114,1
2020-06-25,117,1
2020-06-26,122,1
2020-06-27,123,1
2020-06-28,126,1
2020-06-29,131,1
2020-06-30,141,1
2020-07-01,148,1
2020-07-02,163,1
2020-07-03,175,1
2020-07-04,192,1
2020-07-05,200,1
2020-07-06,210,1
2020-07-07,216,1
2020-07-08,222,1
2020-07-09,224,1
2020-07-10,260,1
2020-07-11,273,1
2020-07-12,284,1
2020-07-13,333,1
2020-07-14,354,1
2020-07-15,360,1
2020-07-16,373,1
2020-07-17,380,1
2020-07-18,393,1
2020-07-19,400,1
2020-07-20,419,1
