date,cases,deaths
2020-03-07,1,0
2020-03-08,1,0
2020-03-09,2,0
2020-03-10,2,0
2020-03-11,2,0
2020-03-12,2,0
2020-03-13,2,0
2020-03-14,2,0
2020-03-15,4,0
2020-03-16,5,0
2020-03-17,7,0
2020-03-18,7,0
2020-03-19,12,0
2020-03-20,23,1
2020-03-21,23,1
2020-03-22,27,1
2020-03-23,35,1
2020-03-24,46,1
2020-03-25,69,1
2020-03-26,79,1
2020-03-27,121,1
2020-03-28,131,1
2020-03-29,145,1
2020-03-30,178,2
2020-03-31,242,2
2020-04-01,257,6
2020-04-02,303,8
2020-04-03,353,8
2020-04-04,400,8
2020-04-05,410,7
2020-04-06,455,10
2020-04-07,540,13
2020-04-08,586,17
2020-04-09,618,17
2020-04-10,669,17
2020-04-11,681,18
2020-04-12,701,19
2020-04-13,766,24
2020-04-14,815,29
2020-04-15,885,32
2020-04-16,917,32
2020-04-17,1037,36
2020-04-18,1059,36
2020-04-19,1124,38
2020-04-20,1181,42
2020-04-21,1238,44
2020-04-22,1273,46
2020-04-23,1351,46
2020-04-24,1382,46
2020-04-25,1460,46
2020-04-26,1504,47
2020-04-27,1545,52
2020-04-28,1620,54
2020-04-29,1744,55
2020-04-30,1793,57
2020-05-01,1848,58
2020-05-02,1934,58
2020-05-03,1980,58
2020-05-04,2057,65
2020-05-05,2102,77
2020-05-06,2222,81
2020-05-07,2254,84
2020-05-08,2322,87
2020-05-09,2403,87
2020-05-10,2447,87
2020-05-11,2475,92
2020-05-12,2495,101
2020-05-13,2510,101
2020-05-14,2552,101
2020-05-15,2597,101
2020-05-16,2597,102
2020-05-17,2594,102
2020-05-18,2680,105
2020-05-19,2771,114
2020-05-20,2820,117
2020-05-21,2882,121
2020-05-22,2961,121
2020-05-23,2997,121
2020-05-24,3056,122
2020-05-25,3198,121
2020-05-26,3307,125
2020-05-27,3480,126
2020-05-28,3619,127
2020-05-29,3733,126
2020-05-30,3769,127
2020-05-31,3780,128
2020-06-01,3870,132
2020-06-02,3891,133
2020-06-03,4063,135
2020-06-04,4267,135
2020-06-05,4372,136
2020-06-06,4433,137
2020-06-07,4440,137
2020-06-08,4598,139
2020-06-09,4692,143
2020-06-10,4808,142
2020-06-11,4980,150
2020-06-12,5089,152
2020-06-13,5141,152
2020-06-14,5172,152
2020-06-15,5308,155
2020-06-16,5451,156
2020-06-17,5658,158
2020-06-18,5753,159
2020-06-19,5958,161
2020-06-20,6043,162
2020-06-21,6151,162
2020-06-22,6407,162
2020-06-23,6636,163
2020-06-24,7036,164
2020-06-25,7223,167
2020-06-26,7463,168
2020-06-27,7604,169
2020-06-28,7685,169
2020-06-29,7755,170
2020-06-30,8082,170
2020-07-01,8362,173
2020-07-02,8619,173
2020-07-03,9085,173
2020-07-04,9482,173
2020-07-05,9645,173
2020-07-06,9787,174
2020-07-07,9972,174
2020-07-08,10237,175
2020-07-09,10415,175
2020-07-10,10741,178
2020-07-11,11074,182
2020-07-12,11304,183
2020-07-13,11691,185
2020-07-14,11882,187
2020-07-15,12217,189
2020-07-16,12489,191
2020-07-17,12897,195
2020-07-18,13234,197
2020-07-19,13444,198
2020-07-20,13614,199
2020-07-21,13878,204
2020-07-22,14099,209
2020-07-23,14442,209
2020-07-24,14801,213
2020-07-25,15134,216
2020-07-26,15315,216
2020-07-27,15534,216
2020-07-28,15915,217
2020-07-29,16255,223
2020-07-30,16711,228
2020-07-31,17130,238
2020-08-01,17511,240
2020-08-02,17781,240
2020-08-03,17927,240
2020-08-04,18201,240
2020-08-05,18550,241
2020-08-06,18854,244
2020-08-07,19187,254
2020-08-08,19548,260
2020-08-09,19808,260
2020-08-10,19971,262
2020-08-11,20382,272
2020-08-12,20685,275
2020-08-13,20900,282
2020-08-14,21175,283
2020-08-15,21411,287
2020-08-16,21534,289
2020-08-17,21655,290
2020-08-18,21936,293
2020-08-19,22196,295
2020-08-20,22455,295
2020-08-21,22786,302
2020-08-22,22991,304
2020-08-23,23096,306
2020-08-24,23178,306
2020-08-25,23411,309
2020-08-26,23636,314
2020-08-27,23812,322
2020-08-28,23972,324
2020-08-29,24137,330
2020-08-30,24182,333
2020-08-31,24252,336
2020-09-01,24477,341
2020-09-02,24608,343
2020-09-03,24763,346
2020-09-04,24870,351
2020-09-05,25019,356
2020-09-06,25107,359
2020-09-07,25127,359
2020-09-08,25215,359
2020-09-09,25376,361
2020-09-10,25495,366
2020-09-11,25611,369
2020-09-12,25726,372
2020-09-13,25806,375
2020-09-14,25863,379
2020-09-15,26019,380
2020-09-16,26133,381
2020-09-17,26280,386
2020-09-18,26403,388
2020-09-19,26550,391
2020-09-20,26618,391
2020-09-21,26678,391
2020-09-22,26744,396
2020-09-23,26931,398
2020-09-24,27051,398
2020-09-25,27187,401
2020-09-26,27296,402
2020-09-27,27358,404
2020-09-28,27424,405
2020-09-29,27519,407
