date,cases,deaths
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,2,0
2020-03-31,4,0
2020-04-01,4,0
2020-04-02,3,0
2020-04-03,3,0
2020-04-04,3,0
2020-04-05,3,0
2020-04-06,3,0
2020-04-07,3,0
2020-04-08,3,0
2020-04-09,3,0
2020-04-10,3,0
2020-04-11,3,0
2020-04-12,3,0
2020-04-13,5,0
2020-04-14,5,0
2020-04-15,5,0
2020-04-16,5,0
2020-04-17,5,0
2020-04-18,5,0
2020-04-19,6,0
2020-04-20,6,0
2020-04-21,6,0
2020-04-22,6,0
2020-04-23,6,0
2020-04-24,6,0
2020-04-25,6,0
2020-04-26,6,0
2020-04-27,9,0
2020-04-28,9,0
2020-04-29,10,0
2020-04-30,10,0
2020-05-01,11,0
2020-05-02,11,0
2020-05-03,11,0
2020-05-04,12,0
2020-05-05,13,0
2020-05-06,15,0
2020-05-07,15,0
2020-05-08,15,0
2020-05-09,16,0
2020-05-10,17,0
2020-05-11,18,0
2020-05-12,18,0
2020-05-13,19,0
2020-05-14,19,0
2020-05-15,19,0
2020-05-16,19,0
2020-05-17,20,0
2020-05-18,22,0
2020-05-19,24,0
2020-05-20,26,0
2020-05-21,26,0
2020-05-22,26,0
2020-05-23,26,0
2020-05-24,26,0
2020-05-25,26,0
2020-05-26,26,0
2020-05-27,26,0
2020-05-28,28,0
2020-05-29,28,0
2020-05-30,30,0
2020-05-31,30,0
2020-06-01,33,0
2020-06-02,33,0
2020-06-03,34,0
2020-06-04,36,0
2020-06-05,39,0
2020-06-06,39,0
2020-06-07,39,0
2020-06-08,40,0
2020-06-09,39,0
2020-06-10,39,0
2020-06-11,39,0
2020-06-12,41,0
2020-06-13,41,0
2020-06-14,43,0
2020-06-15,44,0
2020-06-16,44,0
2020-06-17,44,0
2020-06-18,46,0
2020-06-19,47,0
2020-06-20,48,0
2020-06-21,48,0
2020-06-22,50,0
2020-06-23,50,0
2020-06-24,52,0
2020-06-25,52,0
2020-06-26,53,0
2020-06-27,55,0
2020-06-28,56,0
2020-06-29,56,0
2020-06-30,59,0
2020-07-01,60,0
2020-07-02,67,0
2020-07-03,69,0
2020-07-04,80,0
2020-07-05,83,0
2020-07-06,87,0
2020-07-07,88,0
2020-07-08,91,0
2020-07-09,92,0
2020-07-10,101,0
2020-07-11,109,0
2020-07-12,113,0
2020-07-13,117,0
2020-07-14,121,0
2020-07-15,125,0
2020-07-16,131,0
2020-07-17,136,0
2020-07-18,143,0
2020-07-19,152,0
2020-07-20,158,0
2020-07-21,165,0
2020-07-22,175,0
2020-07-23,185,0
2020-07-24,191,0
2020-07-25,198,0
2020-07-26,200,0
2020-07-27,207,0
2020-07-28,219,0
2020-07-29,230,1
2020-07-30,241,1
2020-07-31,255,1
2020-08-01,263,2
2020-08-02,266,2
2020-08-03,269,2
2020-08-04,272,4
2020-08-05,277,4
2020-08-06,284,4
2020-08-07,292,6
2020-08-08,300,7
2020-08-09,305,7
2020-08-10,310,7
2020-08-11,322,7
2020-08-12,325,7
2020-08-13,331,8
2020-08-14,336,8
2020-08-15,345,8
2020-08-16,350,8
2020-08-17,351,8
2020-08-18,357,8
2020-08-19,363,9
2020-08-20,369,10
2020-08-21,375,10
2020-08-22,377,10
2020-08-23,383,10
2020-08-24,385,10
2020-08-25,390,10
2020-08-26,390,10
2020-08-27,392,10
2020-08-28,402,10
2020-08-29,406,10
2020-08-30,408,10
2020-08-31,412,10
2020-09-01,420,11
2020-09-02,423,11
2020-09-03,427,11
2020-09-04,431,11
2020-09-05,434,11
2020-09-06,436,11
2020-09-07,444,11
2020-09-08,448,11
2020-09-09,456,11
2020-09-10,460,11
2020-09-11,461,11
2020-09-12,463,11
2020-09-13,465,11
2020-09-14,465,11
2020-09-15,467,11
2020-09-16,470,11
2020-09-17,476,12
2020-09-18,482,12
2020-09-19,483,13
2020-09-20,484,13
2020-09-21,486,13
2020-09-22,488,13
2020-09-23,492,13
2020-09-24,497,13
2020-09-25,505,13
2020-09-26,507,13
2020-09-27,507,13
2020-09-28,510,13
2020-09-29,515,13
2020-09-30,521,13
2020-10-01,522,13
2020-10-02,524,13
2020-10-03,527,13
2020-10-04,528,13
2020-10-05,541,13
2020-10-06,542,13
2020-10-07,547,13
2020-10-08,548,13
2020-10-09,553,13
2020-10-10,554,14
2020-10-11,555,14
2020-10-12,562,15
2020-10-13,562,16
2020-10-14,563,16
2020-10-15,566,16
2020-10-16,569,16
2020-10-17,571,16
2020-10-18,571,16
2020-10-19,577,16
2020-10-20,580,16
2020-10-21,579,16
2020-10-22,582,16
2020-10-23,584,16
2020-10-24,588,16
2020-10-25,591,16
2020-10-26,595,16
2020-10-27,597,16
2020-10-28,597,16
2020-10-29,599,17
2020-10-30,608,17
2020-10-31,621,17
2020-11-01,622,17
2020-11-02,626,17
2020-11-03,629,17
2020-11-04,632,22
2020-11-05,639,23
