date,cases,deaths
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,1,0
2020-04-02,1,0
2020-04-03,1,0
2020-04-04,2,0
2020-04-05,3,0
2020-04-06,5,0
2020-04-07,6,0
2020-04-08,13,0
2020-04-09,14,1
2020-04-10,15,1
2020-04-11,15,1
2020-04-12,19,1
2020-04-13,20,1
2020-04-14,20,1
2020-04-15,21,1
2020-04-16,33,1
2020-04-17,33,1
2020-04-18,33,1
2020-04-19,33,1
2020-04-20,34,1
2020-04-21,35,1
2020-04-22,37,1
2020-04-23,38,1
2020-04-24,36,1
2020-04-25,36,2
2020-04-26,36,2
2020-04-27,39,2
2020-04-28,39,2
2020-04-29,39,2
2020-04-30,49,2
2020-05-01,51,2
2020-05-02,59,2
2020-05-03,59,2
2020-05-04,63,2
2020-05-05,64,2
2020-05-06,64,2
2020-05-07,64,2
2020-05-08,63,2
2020-05-09,66,2
2020-05-10,66,2
2020-05-11,67,2
2020-05-12,69,2
2020-05-13,70,2
2020-05-14,70,2
2020-05-15,71,2
2020-05-16,71,2
2020-05-17,71,2
2020-05-18,74,2
2020-05-19,82,2
2020-05-20,78,2
2020-05-21,78,2
2020-05-22,78,2
2020-05-23,76,2
2020-05-24,76,2
2020-05-25,81,2
2020-05-26,82,2
2020-05-27,82,2
2020-05-28,82,2
2020-05-29,82,2
2020-05-30,82,2
2020-05-31,82,2
2020-06-01,83,2
2020-06-02,83,2
2020-06-03,82,2
2020-06-04,83,2
2020-06-05,82,2
2020-06-06,82,2
