date,cases,deaths
2020-03-19,2,0.0
2020-03-20,2,0.0
2020-03-21,2,0.0
2020-03-22,2,0.0
2020-03-23,2,0.0
2020-03-24,6,0.0
2020-03-25,7,0.0
2020-03-26,8,0.0
2020-03-27,7,0.0
2020-03-28,9,0.0
2020-03-29,12,0.0
2020-03-30,13,0.0
2020-03-31,13,0.0
2020-04-01,14,0.0
2020-04-02,14,0.0
2020-04-03,15,0.0
2020-04-04,15,0.0
2020-04-05,15,0.0
2020-04-06,17,0.0
2020-04-07,24,0.0
2020-04-08,27,0.0
2020-04-09,27,0.0
2020-04-10,29,1.0
2020-04-11,31,1.0
2020-04-12,34,1.0
2020-04-13,35,1.0
2020-04-14,35,1.0
2020-04-15,35,1.0
2020-04-16,38,1.0
2020-04-17,39,1.0
2020-04-18,41,1.0
2020-04-19,43,1.0
2020-04-20,43,1.0
2020-04-21,43,1.0
2020-04-22,44,1.0
2020-04-23,46,1.0
2020-04-24,50,1.0
2020-04-25,52,1.0
2020-04-26,52,1.0
2020-04-27,54,1.0
2020-04-28,54,1.0
2020-04-29,54,1.0
2020-04-30,60,1.0
2020-05-01,62,1.0
2020-05-02,64,1.0
2020-05-03,64,1.0
2020-05-04,67,1.0
2020-05-05,68,1.0
2020-05-06,70,1.0
2020-05-07,72,1.0
2020-05-08,77,1.0
2020-05-09,80,1.0
2020-05-10,80,1.0
2020-05-11,82,1.0
2020-05-12,82,1.0
2020-05-13,85,1.0
2020-05-14,86,1.0
2020-05-15,87,1.0
2020-05-16,94,1.0
2020-05-17,94,1.0
2020-05-18,95,1.0
2020-05-19,98,1.0
2020-05-20,94,1.0
2020-05-21,95,1.0
2020-05-22,96,1.0
2020-05-23,100,1.0
2020-05-24,101,1.0
2020-05-25,104,1.0
2020-05-26,105,1.0
2020-05-27,104,1.0
2020-05-28,104,1.0
2020-05-29,103,1.0
2020-05-30,105,1.0
2020-05-31,106,1.0
2020-06-01,108,1.0
2020-06-02,108,1.0
2020-06-03,108,1.0
2020-06-04,108,1.0
2020-06-05,108,1.0
2020-06-06,109,1.0
2020-06-07,109,1.0
2020-06-08,112,1.0
2020-06-09,116,1.0
2020-06-10,116,1.0
2020-06-11,116,1.0
2020-06-12,113,1.0
2020-06-13,117,1.0
2020-06-14,117,1.0
2020-06-15,118,1.0
2020-06-16,118,1.0
2020-06-17,121,1.0
2020-06-18,125,1.0
2020-06-19,129,1.0
2020-06-20,131,1.0
2020-06-21,131,1.0
2020-06-22,133,1.0
2020-06-23,134,0.0
2020-06-24,140,0.0
2020-06-25,146,1.0
2020-06-26,147,1.0
2020-06-27,151,1.0
2020-06-28,156,1.0
2020-06-29,158,1.0
2020-06-30,167,1.0
2020-07-01,177,1.0
2020-07-02,202,1.0
2020-07-03,209,1.0
2020-07-04,220,1.0
2020-07-05,225,1.0
2020-07-06,231,1.0
2020-07-07,261,1.0
2020-07-08,279,1.0
2020-07-09,297,1.0
2020-07-10,344,1.0
2020-07-11,362,1.0
2020-07-12,367,1.0
2020-07-13,381,1.0
2020-07-14,384,1.0
2020-07-15,412,1.0
2020-07-16,422,1.0
2020-07-17,447,1.0
2020-07-18,463,1.0
2020-07-19,477,1.0
2020-07-20,492,1.0
2020-07-21,513,1.0
2020-07-22,537,1.0
2020-07-23,548,1.0
2020-07-24,562,1.0
2020-07-25,570,1.0
2020-07-26,596,2.0
2020-07-27,605,2.0
2020-07-28,630,2.0
2020-07-29,637,3.0
2020-07-30,669,3.0
2020-07-31,706,4.0
2020-08-01,727,4.0
2020-08-02,749,4.0
2020-08-03,762,4.0
2020-08-04,774,5.0
2020-08-05,785,6.0
2020-08-06,828,8.0
2020-08-07,865,8.0
2020-08-08,886,8.0
2020-08-09,910,8.0
2020-08-10,951,9.0
2020-08-11,993,14.0
2020-08-12,1064,17.0
2020-08-13,1075,17.0
2020-08-14,1086,17.0
2020-08-15,1109,19.0
2020-08-16,1128,19.0
2020-08-17,1142,19.0
2020-08-18,1154,19.0
2020-08-19,1167,19.0
2020-08-20,1179,25.0
2020-08-21,1197,27.0
2020-08-22,1212,32.0
2020-08-23,1223,34.0
2020-08-24,1227,36.0
2020-08-25,1244,39.0
2020-08-26,1253,40.0
2020-08-27,1276,40.0
2020-08-28,1305,42.0
2020-08-29,1315,44.0
2020-08-30,1323,45.0
2020-08-31,1342,47.0
2020-09-01,1353,48.0
2020-09-02,1350,48.0
2020-09-03,1371,49.0
2020-09-04,1379,50.0
2020-09-05,1387,50.0
2020-09-06,1398,50.0
2020-09-07,1416,52.0
2020-09-08,1428,52.0
2020-09-09,1455,52.0
2020-09-10,1463,54.0
2020-09-11,1468,54.0
2020-09-12,1478,54.0
2020-09-13,1491,56.0
2020-09-14,1502,56.0
2020-09-15,1521,59.0
2020-09-16,1527,60.0
2020-09-17,1546,61.0
2020-09-18,1557,62.0
2020-09-19,1578,62.0
2020-09-20,1586,62.0
2020-09-21,1587,62.0
2020-09-22,1595,64.0
2020-09-23,1609,64.0
2020-09-24,1621,66.0
2020-09-25,1632,67.0
2020-09-26,1644,69.0
2020-09-27,1651,69.0
2020-09-28,1652,69.0
2020-09-29,1657,74.0
2020-09-30,1661,75.0
2020-10-01,1671,75.0
2020-10-02,1689,75.0
2020-10-03,1702,75.0
2020-10-04,1719,75.0
2020-10-05,1911,76.0
2020-10-06,1927,77.0
2020-10-07,1947,78.0
2020-10-08,1970,79.0
2020-10-09,1992,80.0
2020-10-10,2013,81.0
2020-10-11,2024,81.0
2020-10-12,2080,82.0
2020-10-13,2085,82.0
2020-10-14,2096,82.0
2020-10-15,2112,82.0
2020-10-16,2123,85.0
2020-10-17,2129,85.0
2020-10-18,2129,86.0
2020-10-19,2167,86.0
2020-10-20,2180,86.0
2020-10-21,2184,86.0
2020-10-22,2202,86.0
2020-10-23,2207,86.0
2020-10-24,2230,86.0
2020-10-25,2233,86.0
2020-10-26,2263,86.0
2020-10-27,2277,86.0
2020-10-28,2298,87.0
2020-10-29,2302,88.0
2020-10-30,2307,88.0
2020-10-31,2319,89.0
