date,cases,deaths
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,2,0
2020-03-26,3,0
2020-03-27,3,0
2020-03-28,3,0
2020-03-29,3,0
2020-03-30,3,1
2020-03-31,3,1
2020-04-01,3,1
2020-04-02,5,1
2020-04-03,7,1
2020-04-04,7,1
2020-04-05,7,1
2020-04-06,9,1
2020-04-07,9,1
2020-04-08,10,1
2020-04-09,10,1
2020-04-10,10,1
2020-04-11,10,1
2020-04-12,10,1
2020-04-13,11,1
2020-04-14,12,1
2020-04-15,13,1
2020-04-16,14,1
2020-04-17,14,1
2020-04-18,14,1
2020-04-19,14,1
2020-04-20,15,1
2020-04-21,17,1
2020-04-22,18,1
2020-04-23,19,1
2020-04-24,21,1
2020-04-25,23,1
2020-04-26,22,1
2020-04-27,22,1
2020-04-28,23,1
2020-04-29,24,1
2020-04-30,24,1
2020-05-01,24,1
2020-05-02,24,1
2020-05-03,25,1
2020-05-04,26,1
2020-05-05,27,1
2020-05-06,27,1
