date,cases,deaths
2020-03-20,1,0
2020-03-21,2,0
2020-03-22,2,0
2020-03-23,2,0
2020-03-24,4,0
2020-03-25,4,0
2020-03-26,6,0
2020-03-27,8,0
2020-03-28,8,0
2020-03-29,9,0
2020-03-30,14,0
2020-03-31,19,0
2020-04-01,22,0
2020-04-02,26,0
2020-04-03,31,0
2020-04-04,35,0
2020-04-05,37,0
2020-04-06,47,1
2020-04-07,54,1
2020-04-08,94,2
2020-04-09,118,3
2020-04-10,142,3
2020-04-11,144,4
2020-04-12,156,4
2020-04-13,167,4
2020-04-14,175,4
2020-04-15,182,4
2020-04-16,200,4
2020-04-17,210,4
2020-04-18,218,4
2020-04-19,224,4
2020-04-20,229,4
2020-04-21,235,4
2020-04-22,244,4
2020-04-23,256,4
2020-04-24,259,4
2020-04-25,270,4
2020-04-26,275,4
2020-04-27,283,4
2020-04-28,291,6
2020-04-29,299,7
2020-04-30,303,7
2020-05-01,316,7
2020-05-02,320,7
2020-05-03,329,7
2020-05-04,335,7
2020-05-05,342,8
2020-05-06,348,12
