date,cases,deaths
2020-03-06,1,0
2020-03-07,1,0
2020-03-08,1,0
2020-03-09,1,0
2020-03-10,1,0
2020-03-11,1,0
2020-03-12,1,0
2020-03-13,1,0
2020-03-14,1,0
2020-03-15,1,0
2020-03-16,1,0
2020-03-17,1,0
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,3,0
2020-03-21,4,0
2020-03-22,4,0
2020-03-23,4,0
2020-03-24,8,0
2020-03-25,9,0
2020-03-26,10,0
2020-03-27,10,0
2020-03-28,10,0
2020-03-29,10,0
2020-03-30,14,0
2020-03-31,15,0
2020-04-01,16,0
2020-04-02,16,0
2020-04-03,18,0
2020-04-04,18,0
2020-04-05,18,0
2020-04-06,20,0
2020-04-07,20,0
2020-04-08,22,0
2020-04-09,22,0
2020-04-10,21,0
2020-04-11,22,0
2020-04-12,25,0
2020-04-13,25,0
2020-04-14,25,0
2020-04-15,27,0
2020-04-16,28,0
2020-04-17,29,0
2020-04-18,29,0
2020-04-19,30,0
2020-04-20,36,0
2020-04-21,36,0
2020-04-22,36,0
2020-04-23,36,0
2020-04-24,42,0
2020-04-25,45,0
2020-04-26,46,0
2020-04-27,49,0
2020-04-28,53,0
2020-04-29,57,0
2020-04-30,57,0
2020-05-01,59,0
2020-05-02,59,0
2020-05-03,59,0
2020-05-04,60,0
2020-05-05,61,0
2020-05-06,63,0
2020-05-07,64,0
2020-05-08,65,0
2020-05-09,65,0
2020-05-10,66,0
2020-05-11,66,0
2020-05-12,69,0
2020-05-13,69,0
2020-05-14,71,0
2020-05-15,78,0
2020-05-16,79,0
2020-05-17,79,0
2020-05-18,80,0
2020-05-19,80,0
2020-05-20,86,0
2020-05-21,87,0
2020-05-22,93,0
2020-05-23,96,0
2020-05-24,95,0
2020-05-25,97,0
2020-05-26,101,1
2020-05-27,107,1
2020-05-28,113,1
2020-05-29,118,1
2020-05-30,118,1
2020-05-31,118,1
2020-06-01,124,1
2020-06-02,126,1
2020-06-03,131,1
2020-06-04,138,1
2020-06-05,139,1
2020-06-06,139,1
2020-06-07,140,1
2020-06-08,145,1
2020-06-09,152,1
2020-06-10,154,1
2020-06-11,157,1
2020-06-12,162,1
2020-06-13,164,1
2020-06-14,164,1
2020-06-15,165,1
2020-06-16,167,1
2020-06-17,174,1
2020-06-18,175,1
2020-06-19,178,1
2020-06-20,178,1
2020-06-21,178,1
