date,cases,deaths
2020-03-30,1,0
2020-03-31,4,0
2020-04-01,4,0
2020-04-02,4,0
2020-04-03,5,0
2020-04-04,6,0
2020-04-05,6,0
2020-04-06,7,1
2020-04-07,10,1
2020-04-08,10,1
2020-04-09,11,1
2020-04-10,12,1
2020-04-11,12,1
2020-04-12,12,1
2020-04-13,12,1
2020-04-14,12,1
2020-04-15,13,1
2020-04-16,14,1
2020-04-17,15,1
2020-04-18,15,1
2020-04-19,16,1
2020-04-20,16,1
2020-04-21,16,1
2020-04-22,16,1
2020-04-23,16,1
2020-04-24,16,1
2020-04-25,16,1
2020-04-26,16,1
2020-04-27,16,1
2020-04-28,16,1
2020-04-29,16,1
2020-04-30,16,1
2020-05-01,16,1
2020-05-02,16,1
2020-05-03,16,1
2020-05-04,16,1
2020-05-05,16,1
2020-05-06,15,1
2020-05-07,15,1
2020-05-08,15,1
2020-05-09,15,1
2020-05-10,15,1
2020-05-11,15,1
2020-05-12,15,1
2020-05-13,15,1
2020-05-14,15,1
2020-05-15,15,1
2020-05-16,16,1
2020-05-17,16,1
2020-05-18,16,1
2020-05-19,17,1
2020-05-20,16,1
2020-05-21,16,1
2020-05-22,16,1
2020-05-23,16,1
2020-05-24,16,1
2020-05-25,16,1
2020-05-26,17,1
2020-05-27,16,1
2020-05-28,16,1
2020-05-29,16,1
2020-05-30,16,1
