date,cases,deaths
2020-03-20,2,0
2020-03-21,2,0
2020-03-22,2,0
2020-03-23,2,0
2020-03-24,3,2
2020-03-25,4,2
2020-03-26,5,2
2020-03-27,6,2
2020-03-28,10,2
2020-03-29,10,2
2020-03-30,20,2
2020-03-31,40,2
2020-04-01,46,2
2020-04-02,47,2
2020-04-03,50,2
2020-04-04,57,2
2020-04-05,58,2
2020-04-06,66,8
2020-04-07,92,9
2020-04-08,95,9
2020-04-09,98,10
2020-04-10,103,10
2020-04-11,106,10
2020-04-12,109,10
2020-04-13,118,10
2020-04-14,134,11
2020-04-15,137,11
2020-04-16,137,12
2020-04-17,142,14
2020-04-18,146,14
2020-04-19,148,14
2020-04-20,150,18
2020-04-21,156,18
2020-04-22,159,18
2020-04-23,162,18
2020-04-24,165,17
2020-04-25,165,17
2020-04-26,165,17
2020-04-27,167,18
2020-04-28,170,18
2020-04-29,177,18
2020-04-30,183,19
2020-05-01,184,19
2020-05-02,185,19
2020-05-03,186,19
2020-05-04,189,21
2020-05-05,191,21
2020-05-06,193,21
2020-05-07,195,21
2020-05-08,198,21
2020-05-09,198,21
2020-05-10,198,21
2020-05-11,197,23
2020-05-12,198,24
2020-05-13,199,24
2020-05-14,199,24
2020-05-15,199,24
2020-05-16,199,24
2020-05-17,199,24
2020-05-18,199,24
2020-05-19,199,24
2020-05-20,203,24
2020-05-21,204,25
2020-05-22,209,26
2020-05-23,211,26
2020-05-24,211,26
2020-05-25,211,26
2020-05-26,213,26
2020-05-27,215,26
2020-05-28,213,26
2020-05-29,213,26
2020-05-30,213,26
2020-05-31,213,26
2020-06-01,213,26
2020-06-02,213,26
2020-06-03,215,26
2020-06-04,217,26
2020-06-05,217,26
2020-06-06,217,26
2020-06-07,217,26
2020-06-08,217,26
2020-06-09,217,26
2020-06-10,217,26
2020-06-11,218,26
2020-06-12,218,26
2020-06-13,218,26
2020-06-14,218,26
2020-06-15,218,26
2020-06-16,218,27
2020-06-17,220,27
2020-06-18,217,27
2020-06-19,217,27
2020-06-20,217,27
2020-06-21,218,27
2020-06-22,218,27
2020-06-23,219,27
2020-06-24,219,27
2020-06-25,222,27
2020-06-26,224,27
2020-06-27,224,27
2020-06-28,225,27
2020-06-29,225,27
2020-06-30,225,27
2020-07-01,227,27
2020-07-02,228,27
2020-07-03,231,27
2020-07-04,232,27
2020-07-05,232,27
2020-07-06,234,27
2020-07-07,236,28
2020-07-08,238,28
2020-07-09,238,28
2020-07-10,238,28
2020-07-11,245,28
2020-07-12,248,28
2020-07-13,249,28
2020-07-14,249,28
2020-07-15,252,29
2020-07-16,259,29
2020-07-17,260,29
2020-07-18,260,29
2020-07-19,260,29
2020-07-20,260,29
2020-07-21,265,29
2020-07-22,268,29
2020-07-23,271,29
2020-07-24,273,29
2020-07-25,274,29
2020-07-26,275,29
2020-07-27,277,29
2020-07-28,280,29
2020-07-29,285,29
2020-07-30,288,29
2020-07-31,289,30
2020-08-01,291,30
2020-08-02,292,30
2020-08-03,292,30
2020-08-04,293,30
2020-08-05,296,30
2020-08-06,296,30
2020-08-07,295,30
2020-08-08,301,30
2020-08-09,302,30
2020-08-10,302,30
2020-08-11,301,30
2020-08-12,306,30
2020-08-13,307,30
2020-08-14,307,30
2020-08-15,307,30
2020-08-16,307,30
2020-08-17,308,30
2020-08-18,310,30
2020-08-19,311,30
2020-08-20,310,30
2020-08-21,309,30
2020-08-22,309,30
2020-08-23,309,30
2020-08-24,311,31
2020-08-25,313,31
2020-08-26,313,31
2020-08-27,314,31
2020-08-28,318,31
2020-08-29,317,31
2020-08-30,318,31
2020-08-31,319,31
2020-09-01,320,31
2020-09-02,320,31
2020-09-03,321,31
2020-09-04,321,31
2020-09-05,321,31
2020-09-06,322,31
2020-09-07,322,31
2020-09-08,324,31
2020-09-09,324,31
2020-09-10,324,31
2020-09-11,324,31
2020-09-12,324,31
2020-09-13,325,31
2020-09-14,325,31
2020-09-15,325,31
2020-09-16,325,31
2020-09-17,325,31
2020-09-18,325,31
2020-09-19,326,31
2020-09-20,326,31
2020-09-21,326,31
2020-09-22,327,31
2020-09-23,327,31
2020-09-24,327,31
2020-09-25,328,31
2020-09-26,329,31
2020-09-27,329,32
2020-09-28,329,32
2020-09-29,329,32
2020-09-30,329,32
2020-10-01,329,32
2020-10-02,329,32
2020-10-03,330,32
2020-10-04,331,32
2020-10-05,331,32
2020-10-06,333,32
2020-10-07,333,32
2020-10-08,333,32
