date,cases,deaths
2020-03-25,1,0.0
2020-03-26,1,0.0
2020-03-27,1,0.0
2020-03-28,1,0.0
2020-03-29,1,0.0
2020-03-30,1,0.0
2020-03-31,3,0.0
2020-04-01,3,0.0
2020-04-02,3,0.0
2020-04-03,3,0.0
2020-04-04,4,0.0
2020-04-05,4,0.0
2020-04-06,4,0.0
2020-04-07,10,0.0
2020-04-08,11,0.0
2020-04-09,11,0.0
2020-04-10,11,0.0
2020-04-11,11,0.0
2020-04-12,11,0.0
2020-04-13,11,0.0
2020-04-14,14,0.0
2020-04-15,14,0.0
2020-04-16,20,0.0
2020-04-17,20,0.0
2020-04-18,20,0.0
2020-04-19,20,0.0
2020-04-20,30,0.0
2020-04-21,32,0.0
2020-04-22,33,0.0
2020-04-23,36,0.0
2020-04-24,38,0.0
2020-04-25,38,0.0
2020-04-26,38,0.0
2020-04-27,48,0.0
2020-04-28,56,0.0
2020-04-29,59,0.0
2020-04-30,61,0.0
2020-05-01,63,0.0
2020-05-02,78,0.0
2020-05-03,78,0.0
2020-05-04,79,0.0
2020-05-05,83,1.0
2020-05-06,83,1.0
2020-05-07,87,2.0
2020-05-08,86,1.0
2020-05-09,88,1.0
2020-05-10,88,1.0
2020-05-11,88,1.0
2020-05-12,88,1.0
2020-05-13,88,1.0
2020-05-14,88,2.0
2020-05-15,89,2.0
2020-05-16,89,2.0
2020-05-17,89,2.0
2020-05-18,87,3.0
2020-05-19,90,3.0
2020-05-20,91,3.0
2020-05-21,91,3.0
2020-05-22,92,3.0
2020-05-23,93,3.0
2020-05-24,94,3.0
2020-05-25,94,3.0
2020-05-26,95,3.0
2020-05-27,98,3.0
2020-05-28,99,3.0
2020-05-29,101,3.0
2020-05-30,101,3.0
2020-05-31,101,3.0
2020-06-01,103,3.0
2020-06-02,103,3.0
2020-06-03,105,3.0
2020-06-04,110,3.0
2020-06-05,111,3.0
2020-06-06,113,3.0
2020-06-07,113,3.0
2020-06-08,114,3.0
2020-06-09,117,3.0
2020-06-10,117,3.0
2020-06-11,122,3.0
2020-06-12,124,3.0
2020-06-13,124,3.0
2020-06-14,124,3.0
2020-06-15,124,4.0
2020-06-16,124,4.0
2020-06-17,124,4.0
2020-06-18,125,4.0
2020-06-19,128,4.0
2020-06-20,129,4.0
2020-06-21,129,4.0
2020-06-22,129,4.0
2020-06-23,132,4.0
2020-06-24,134,4.0
2020-06-25,134,4.0
2020-06-26,136,4.0
2020-06-27,139,4.0
2020-06-28,139,4.0
2020-06-29,140,4.0
2020-06-30,142,4.0
2020-07-01,143,4.0
2020-07-02,145,4.0
2020-07-03,147,4.0
2020-07-04,150,4.0
2020-07-05,151,4.0
2020-07-06,151,4.0
2020-07-07,152,4.0
2020-07-08,159,4.0
2020-07-09,159,4.0
2020-07-10,167,4.0
2020-07-11,169,4.0
2020-07-12,172,5.0
2020-07-13,174,5.0
2020-07-14,180,5.0
2020-07-15,190,5.0
2020-07-16,195,5.0
2020-07-17,204,5.0
2020-07-18,210,5.0
2020-07-19,213,5.0
2020-07-20,218,5.0
2020-07-21,228,5.0
2020-07-22,236,5.0
2020-07-23,241,5.0
2020-07-24,248,5.0
2020-07-25,253,5.0
2020-07-26,253,5.0
2020-07-27,254,5.0
2020-07-28,268,5.0
2020-07-29,278,5.0
2020-07-30,285,5.0
2020-07-31,292,5.0
2020-08-01,299,5.0
2020-08-02,301,5.0
2020-08-03,302,5.0
2020-08-04,308,5.0
2020-08-05,314,5.0
2020-08-06,320,5.0
2020-08-07,347,5.0
2020-08-08,353,5.0
2020-08-09,353,5.0
2020-08-10,353,5.0
2020-08-11,359,5.0
2020-08-12,370,6.0
2020-08-13,376,6.0
2020-08-14,381,6.0
2020-08-15,391,6.0
2020-08-16,394,6.0
2020-08-17,395,6.0
2020-08-18,400,7.0
2020-08-19,413,8.0
2020-08-20,420,9.0
2020-08-21,431,8.0
2020-08-22,440,9.0
2020-08-23,441,9.0
2020-08-24,442,9.0
2020-08-25,450,9.0
2020-08-26,462,9.0
2020-08-27,478,10.0
2020-08-28,492,12.0
2020-08-29,510,13.0
2020-08-30,511,13.0
2020-08-31,517,13.0
2020-09-01,529,13.0
2020-09-02,538,13.0
2020-09-03,560,14.0
2020-09-04,571,14.0
2020-09-05,590,15.0
2020-09-06,592,15.0
2020-09-07,592,15.0
2020-09-08,593,16.0
2020-09-09,598,16.0
2020-09-10,629,17.0
2020-09-11,639,17.0
2020-09-12,653,17.0
2020-09-13,659,17.0
2020-09-14,659,17.0
2020-09-15,672,17.0
2020-09-16,688,17.0
2020-09-17,693,17.0
2020-09-18,710,17.0
2020-09-19,721,17.0
2020-09-20,723,17.0
2020-09-21,727,17.0
2020-09-22,736,17.0
2020-09-23,761,19.0
2020-09-24,795,19.0
2020-09-25,828,19.0
2020-09-26,831,19.0
2020-09-27,832,19.0
2020-09-28,833,19.0
2020-09-29,837,19.0
2020-09-30,848,19.0
2020-10-01,873,19.0
2020-10-02,888,19.0
2020-10-03,894,19.0
2020-10-04,892,19.0
2020-10-05,902,20.0
2020-10-06,910,20.0
2020-10-07,927,20.0
2020-10-08,938,20.0
2020-10-09,956,22.0
2020-10-10,963,22.0
2020-10-11,965,22.0
2020-10-12,965,22.0
2020-10-13,969,22.0
2020-10-14,975,22.0
2020-10-15,981,22.0
2020-10-16,984,22.0
2020-10-17,990,22.0
2020-10-18,990,22.0
2020-10-19,991,23.0
2020-10-20,997,23.0
2020-10-21,1000,23.0
2020-10-22,1002,23.0
2020-10-23,1003,23.0
2020-10-24,1006,23.0
2020-10-25,1006,23.0
2020-10-26,1007,23.0
2020-10-27,1010,23.0
2020-10-28,1015,23.0
2020-10-29,1021,23.0
2020-10-30,1023,24.0
2020-10-31,1031,24.0
2020-11-01,1032,24.0
2020-11-02,1034,25.0
2020-11-03,1043,25.0
2020-11-04,1044,25.0
2020-11-05,1052,25.0
2020-11-06,1059,26.0
2020-11-07,1065,26.0
2020-11-08,1067,26.0
2020-11-09,1072,26.0
2020-11-10,1086,26.0
