date,cases,deaths
2020-03-15,1,0
2020-03-16,2,0
2020-03-17,3,0
2020-03-18,3,0
2020-03-19,5,0
2020-03-20,5,0
2020-03-21,7,0
2020-03-22,9,0
2020-03-23,11,0
2020-03-24,11,0
2020-03-25,13,0
2020-03-26,14,0
2020-03-27,16,0
2020-03-28,16,0
2020-03-29,20,0
2020-03-30,25,0
2020-03-31,25,0
2020-04-01,26,0
2020-04-02,27,0
2020-04-03,36,0
2020-04-04,38,0
2020-04-05,43,0
2020-04-06,44,1
2020-04-07,48,1
2020-04-08,54,1
2020-04-09,57,2
2020-04-10,66,3
2020-04-11,80,3
2020-04-12,84,3
2020-04-13,86,3
2020-04-14,88,3
2020-04-15,92,3
2020-04-16,95,3
2020-04-17,102,3
2020-04-18,104,3
2020-04-19,106,4
2020-04-20,108,4
2020-04-21,110,5
2020-04-22,110,5
2020-04-23,112,5
2020-04-24,113,5
2020-04-25,112,5
2020-04-26,112,5
2020-04-27,113,5
2020-04-28,115,5
2020-04-29,115,5
2020-04-30,116,5
2020-05-01,116,5
2020-05-02,117,5
2020-05-03,116,6
2020-05-04,116,6
2020-05-05,116,6
2020-05-06,116,6
2020-05-07,116,6
2020-05-08,116,6
2020-05-09,117,6
2020-05-10,117,6
2020-05-11,117,6
2020-05-12,117,6
2020-05-13,117,6
2020-05-14,117,6
2020-05-15,117,6
2020-05-16,117,6
2020-05-17,117,6
2020-05-18,117,6
2020-05-19,117,6
2020-05-20,117,6
2020-05-21,118,6
2020-05-22,117,6
2020-05-23,118,6
2020-05-24,118,6
2020-05-25,118,6
2020-05-26,118,6
2020-05-27,118,6
2020-05-28,118,6
2020-05-29,118,6
2020-05-30,119,6
2020-05-31,120,6
2020-06-01,120,6
2020-06-02,120,6
2020-06-03,119,6
2020-06-04,119,6
2020-06-05,120,6
2020-06-06,120,6
2020-06-07,120,6
2020-06-08,120,6
2020-06-09,120,6
2020-06-10,120,6
2020-06-11,120,6
2020-06-12,120,6
2020-06-13,120,6
2020-06-14,120,6
2020-06-15,120,6
2020-06-16,120,6
2020-06-17,120,6
2020-06-18,120,6
2020-06-19,121,6
2020-06-20,122,6
2020-06-21,122,6
2020-06-22,122,6
2020-06-23,122,6
2020-06-24,122,6
2020-06-25,122,6
2020-06-26,122,6
2020-06-27,122,6
2020-06-28,123,6
2020-06-29,122,6
2020-06-30,123,6
2020-07-01,125,6
2020-07-02,125,6
2020-07-03,127,6
2020-07-04,128,6
2020-07-05,128,6
2020-07-06,128,6
2020-07-07,128,6
2020-07-08,130,6
2020-07-09,130,6
2020-07-10,131,6
2020-07-11,133,6
2020-07-12,134,6
2020-07-13,135,6
2020-07-14,135,6
2020-07-15,135,6
2020-07-16,135,6
2020-07-17,135,6
2020-07-18,135,6
2020-07-19,135,6
2020-07-20,135,6
2020-07-21,139,6
2020-07-22,139,6
2020-07-23,141,6
2020-07-24,141,6
2020-07-25,146,6
2020-07-26,153,6
2020-07-27,153,6
2020-07-28,154,6
2020-07-29,163,6
2020-07-30,167,6
2020-07-31,171,6
2020-08-01,170,6
2020-08-02,171,6
2020-08-03,178,6
2020-08-04,178,6
2020-08-05,177,6
2020-08-06,180,6
2020-08-07,181,6
2020-08-08,184,6
2020-08-09,185,6
2020-08-10,186,6
2020-08-11,190,6
2020-08-12,191,6
2020-08-13,198,6
2020-08-14,206,6
2020-08-15,213,6
2020-08-16,226,6
2020-08-17,235,6
2020-08-18,242,6
2020-08-19,262,6
2020-08-20,263,7
2020-08-21,269,7
2020-08-22,279,7
2020-08-23,290,7
2020-08-24,300,7
2020-08-25,303,7
2020-08-26,311,7
2020-08-27,318,7
2020-08-28,324,8
2020-08-29,330,8
2020-08-30,334,8
2020-08-31,335,8
2020-09-01,340,8
2020-09-02,342,8
2020-09-03,346,8
2020-09-04,347,8
2020-09-05,352,8
