date,cases,deaths
2020-06-26,1,0
2020-06-27,1,0
2020-06-28,1,0
2020-06-29,1,0
2020-06-30,1,0
2020-07-01,1,0
2020-07-02,2,0
2020-07-03,2,0
2020-07-04,2,0
2020-07-05,2,0
2020-07-06,3,0
2020-07-07,3,0
2020-07-08,5,0
2020-07-09,5,0
2020-07-10,5,0
2020-07-11,5,0
2020-07-12,5,0
2020-07-13,6,0
2020-07-14,7,0
2020-07-15,7,0
2020-07-16,7,0
2020-07-17,7,0
2020-07-18,7,0
2020-07-19,7,0
2020-07-20,8,0
2020-07-21,8,0
2020-07-22,8,0
2020-07-23,14,0
2020-07-24,14,0
2020-07-25,14,0
2020-07-26,14,0
2020-07-27,14,0
2020-07-28,15,0
2020-07-29,15,0
2020-07-30,15,0
2020-07-31,15,0
2020-08-01,15,0
2020-08-02,15,0
2020-08-03,15,0
2020-08-04,15,0
2020-08-05,16,0
2020-08-06,16,0
2020-08-07,16,0
2020-08-08,16,0
2020-08-09,16,0
2020-08-10,17,0
2020-08-11,17,0
2020-08-12,17,0
2020-08-13,17,0
2020-08-14,17,0
2020-08-15,17,0
2020-08-16,17,0
2020-08-17,18,0
2020-08-18,18,0
2020-08-19,18,0
2020-08-20,20,0
2020-08-21,20,0
2020-08-22,20,0
2020-08-23,20,0
2020-08-24,21,0
2020-08-25,21,0
2020-08-26,21,0
2020-08-27,20,0
2020-08-28,21,0
2020-08-29,21,0
2020-08-30,21,0
2020-08-31,21,0
2020-09-01,21,0
2020-09-02,21,0
2020-09-03,22,0
2020-09-04,22,0
2020-09-05,22,0
2020-09-06,22,0
2020-09-07,22,0
2020-09-08,26,0
2020-09-09,27,0
2020-09-10,27,0
2020-09-11,27,0
2020-09-12,27,0
2020-09-13,27,0
2020-09-14,27,0
2020-09-15,26,0
2020-09-16,26,0
2020-09-17,29,0
2020-09-18,30,0
2020-09-19,30,0
2020-09-20,30,0
2020-09-21,34,0
2020-09-22,38,0
2020-09-23,39,0
2020-09-24,39,0
2020-09-25,44,0
2020-09-26,44,0
2020-09-27,44,0
2020-09-28,47,0
2020-09-29,48,0
2020-09-30,52,0
2020-10-01,53,0
2020-10-02,63,0
2020-10-03,63,0
2020-10-04,63,0
2020-10-05,73,0
2020-10-06,83,0
2020-10-07,83,0
2020-10-08,87,0
2020-10-09,97,0
2020-10-10,97,0
2020-10-11,97,0
2020-10-12,97,0
2020-10-13,108,0
2020-10-14,112,0
2020-10-15,112,0
2020-10-16,120,0
2020-10-17,120,0
2020-10-18,120,0
2020-10-19,125,0
