date,cases,deaths
2020-05-29,1,0
2020-05-30,2,0
2020-05-31,2,0
2020-06-01,9,0
2020-06-02,9,0
2020-06-03,9,0
2020-06-04,9,0
2020-06-05,8,0
2020-06-06,9,0
2020-06-07,10,0
2020-06-08,10,0
2020-06-09,10,0
2020-06-10,10,0
2020-06-11,11,0
2020-06-12,12,0
2020-06-13,14,0
2020-06-14,18,0
2020-06-15,18,0
2020-06-16,18,0
2020-06-17,18,0
2020-06-18,18,0
2020-06-19,18,0
2020-06-20,19,0
2020-06-21,21,0
2020-06-22,21,0
2020-06-23,21,0
2020-06-24,21,0
2020-06-25,21,0
2020-06-26,23,0
2020-06-27,23,0
2020-06-28,26,0
2020-06-29,26,0
2020-06-30,26,0
2020-07-01,26,0
2020-07-02,28,0
2020-07-03,29,0
2020-07-04,29,0
2020-07-05,29,0
2020-07-06,32,0
2020-07-07,30,0
2020-07-08,30,0
