date,cases,deaths
2020-03-20,3,0.0
2020-03-21,3,0.0
2020-03-22,3,0.0
2020-03-23,3,0.0
2020-03-24,3,0.0
2020-03-25,9,0.0
2020-03-26,10,0.0
2020-03-27,11,0.0
2020-03-28,13,0.0
2020-03-29,13,0.0
2020-03-30,28,0.0
2020-03-31,30,0.0
2020-04-01,31,0.0
2020-04-02,37,0.0
2020-04-03,37,0.0
2020-04-04,40,0.0
2020-04-05,42,0.0
2020-04-06,43,0.0
2020-04-07,42,0.0
2020-04-08,42,0.0
2020-04-09,42,0.0
2020-04-10,44,0.0
2020-04-11,44,0.0
2020-04-12,45,0.0
2020-04-13,45,0.0
2020-04-14,45,0.0
2020-04-15,48,0.0
2020-04-16,49,0.0
2020-04-17,50,0.0
2020-04-18,50,0.0
2020-04-19,51,0.0
2020-04-20,52,0.0
2020-04-21,53,0.0
2020-04-22,56,0.0
2020-04-23,59,0.0
2020-04-24,59,0.0
2020-04-25,59,0.0
2020-04-26,61,0.0
2020-04-27,61,0.0
2020-04-28,61,0.0
2020-04-29,61,0.0
2020-04-30,62,0.0
2020-05-01,62,0.0
2020-05-02,62,0.0
2020-05-03,62,0.0
2020-05-04,62,0.0
2020-05-05,62,0.0
2020-05-06,62,0.0
2020-05-07,62,0.0
2020-05-08,63,0.0
2020-05-09,63,0.0
2020-05-10,63,0.0
2020-05-11,64,0.0
2020-05-12,64,0.0
2020-05-13,64,0.0
2020-05-14,64,0.0
2020-05-15,64,0.0
2020-05-16,65,0.0
2020-05-17,66,0.0
2020-05-18,66,0.0
2020-05-19,66,0.0
2020-05-20,66,0.0
2020-05-21,66,0.0
2020-05-22,66,0.0
2020-05-23,66,0.0
2020-05-24,66,0.0
2020-05-25,66,0.0
2020-05-26,66,0.0
2020-05-27,67,0.0
2020-05-28,67,0.0
2020-05-29,67,0.0
2020-05-30,68,0.0
2020-05-31,68,0.0
2020-06-01,73,0.0
2020-06-02,73,0.0
2020-06-03,74,0.0
2020-06-04,77,0.0
2020-06-05,81,0.0
2020-06-06,82,0.0
2020-06-07,82,0.0
2020-06-08,85,0.0
