date,cases,deaths
2020-03-18,1,0
2020-03-19,1,0
2020-03-20,1,0
2020-03-21,1,0
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,2,0
2020-03-28,2,0
2020-03-29,3,0
2020-03-30,5,0
2020-03-31,6,0
2020-04-01,17,0
2020-04-02,32,0
2020-04-03,33,1
2020-04-04,37,1
2020-04-05,37,1
2020-04-06,53,1
2020-04-07,53,1
2020-04-08,55,1
2020-04-09,70,1
2020-04-10,73,1
2020-04-11,75,2
2020-04-12,79,2
2020-04-13,79,4
2020-04-14,79,7
2020-04-15,87,8
2020-04-16,89,8
2020-04-17,98,9
2020-04-18,103,9
2020-04-19,105,10
2020-04-20,110,10
2020-04-21,117,11
2020-04-22,122,11
2020-04-23,124,11
2020-04-24,149,11
2020-04-25,152,11
2020-04-26,156,11
2020-04-27,157,11
2020-04-28,165,11
2020-04-29,170,11
2020-04-30,181,11
2020-05-01,191,11
2020-05-02,196,11
2020-05-03,196,11
2020-05-04,208,11
2020-05-05,218,11
2020-05-06,231,11
2020-05-07,239,11
2020-05-08,248,11
