date,cases,deaths
2020-04-03,1,0.0
2020-04-04,1,0.0
2020-04-05,2,0.0
2020-04-06,3,0.0
2020-04-07,4,0.0
2020-04-08,5,0.0
2020-04-09,5,0.0
2020-04-10,6,0.0
2020-04-11,6,0.0
2020-04-12,6,0.0
2020-04-13,6,0.0
2020-04-14,6,0.0
2020-04-15,8,0.0
2020-04-16,8,0.0
2020-04-17,8,0.0
2020-04-18,8,0.0
2020-04-19,8,0.0
2020-04-20,8,0.0
2020-04-21,10,0.0
2020-04-22,10,0.0
2020-04-23,11,0.0
2020-04-24,12,0.0
2020-04-25,12,1.0
2020-04-26,12,1.0
2020-04-27,12,1.0
2020-04-28,12,1.0
2020-04-29,12,1.0
2020-04-30,12,1.0
2020-05-01,12,1.0
2020-05-02,13,1.0
2020-05-03,13,1.0
2020-05-04,14,1.0
2020-05-05,14,1.0
2020-05-06,15,1.0
2020-05-07,16,1.0
2020-05-08,16,1.0
2020-05-09,16,1.0
2020-05-10,17,1.0
2020-05-11,17,1.0
2020-05-12,17,1.0
2020-05-13,17,1.0
2020-05-14,18,1.0
2020-05-15,18,1.0
2020-05-16,18,1.0
2020-05-17,18,1.0
2020-05-18,19,1.0
2020-05-19,19,1.0
2020-05-20,20,1.0
2020-05-21,20,1.0
2020-05-22,20,1.0
2020-05-23,20,1.0
2020-05-24,20,1.0
2020-05-25,20,1.0
2020-05-26,20,1.0
2020-05-27,20,1.0
2020-05-28,20,1.0
2020-05-29,20,1.0
2020-05-30,20,1.0
2020-05-31,24,1.0
2020-06-01,24,1.0
2020-06-02,24,1.0
2020-06-03,24,1.0
2020-06-04,24,1.0
2020-06-05,24,1.0
2020-06-06,24,1.0
2020-06-07,26,1.0
2020-06-08,25,1.0
2020-06-09,26,1.0
2020-06-10,27,1.0
2020-06-11,28,1.0
2020-06-12,28,1.0
2020-06-13,28,1.0
2020-06-14,28,1.0
2020-06-15,28,1.0
2020-06-16,29,1.0
2020-06-17,29,1.0
2020-06-18,29,1.0
2020-06-19,29,1.0
2020-06-20,29,1.0
2020-06-21,31,1.0
2020-06-22,33,1.0
2020-06-23,32,1.0
2020-06-24,33,1.0
2020-06-25,34,1.0
2020-06-26,35,1.0
2020-06-27,35,1.0
2020-06-28,35,1.0
2020-06-29,35,1.0
2020-06-30,35,1.0
2020-07-01,35,1.0
2020-07-02,35,1.0
2020-07-03,35,1.0
2020-07-04,35,1.0
2020-07-05,35,1.0
2020-07-06,35,1.0
2020-07-07,36,1.0
2020-07-08,37,1.0
2020-07-09,38,1.0
2020-07-10,40,1.0
2020-07-11,40,1.0
2020-07-12,43,1.0
2020-07-13,44,1.0
2020-07-14,45,1.0
2020-07-15,48,1.0
2020-07-16,50,1.0
2020-07-17,51,1.0
2020-07-18,51,1.0
2020-07-19,52,1.0
2020-07-20,54,1.0
2020-07-21,54,1.0
2020-07-22,56,1.0
2020-07-23,57,1.0
2020-07-24,58,1.0
2020-07-25,59,1.0
2020-07-26,59,1.0
2020-07-27,59,1.0
2020-07-28,59,1.0
2020-07-29,59,1.0
2020-07-30,61,1.0
2020-07-31,62,1.0
2020-08-01,65,1.0
2020-08-02,69,1.0
2020-08-03,70,1.0
2020-08-04,73,1.0
2020-08-05,74,1.0
2020-08-06,85,1.0
2020-08-07,98,2.0
2020-08-08,104,2.0
2020-08-09,105,2.0
2020-08-10,115,2.0
2020-08-11,117,2.0
2020-08-12,122,2.0
2020-08-13,141,2.0
2020-08-14,143,2.0
2020-08-15,145,2.0
2020-08-16,151,2.0
2020-08-17,157,2.0
2020-08-18,173,2.0
2020-08-19,174,2.0
2020-08-20,199,2.0
2020-08-21,206,2.0
2020-08-22,213,2.0
2020-08-23,223,2.0
2020-08-24,229,2.0
2020-08-25,239,3.0
2020-08-26,246,3.0
2020-08-27,264,3.0
2020-08-28,271,5.0
2020-08-29,275,6.0
2020-08-30,275,6.0
2020-08-31,276,6.0
2020-09-01,278,6.0
2020-09-02,285,6.0
2020-09-03,285,6.0
2020-09-04,315,6.0
2020-09-05,317,6.0
2020-09-06,320,6.0
2020-09-07,321,6.0
2020-09-08,324,6.0
2020-09-09,326,7.0
2020-09-10,333,11.0
2020-09-11,349,12.0
2020-09-12,353,12.0
2020-09-13,356,12.0
2020-09-14,360,12.0
