date,cases,deaths
2020-03-22,1,0
2020-03-23,1,0
2020-03-24,1,0
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,2,0
2020-03-28,2,0
2020-03-29,2,0
2020-03-30,2,0
2020-03-31,3,0
2020-04-01,5,0
2020-04-02,5,0
2020-04-03,6,0
2020-04-04,6,0
2020-04-05,7,0
2020-04-06,9,0
2020-04-07,10,0
2020-04-08,10,0
2020-04-09,14,0
2020-04-10,14,0
2020-04-11,15,0
2020-04-12,16,0
2020-04-13,17,0
2020-04-14,17,0
2020-04-15,17,0
2020-04-16,17,0
2020-04-17,18,0
2020-04-18,17,0
2020-04-19,17,0
2020-04-20,17,1
2020-04-21,18,1
2020-04-22,18,1
2020-04-23,18,1
2020-04-24,18,1
2020-04-25,20,1
2020-04-26,20,1
2020-04-27,20,1
2020-04-28,20,1
2020-04-29,20,1
2020-04-30,20,1
2020-05-01,20,1
2020-05-02,21,1
2020-05-03,24,1
2020-05-04,23,1
2020-05-05,23,1
2020-05-06,23,1
2020-05-07,24,1
2020-05-08,24,1
2020-05-09,24,1
2020-05-10,24,1
2020-05-11,24,1
2020-05-12,25,1
2020-05-13,25,1
2020-05-14,25,1
2020-05-15,25,1
2020-05-16,25,1
2020-05-17,26,1
2020-05-18,27,1
2020-05-19,27,1
2020-05-20,28,1
2020-05-21,29,2
2020-05-22,30,2
2020-05-23,31,2
2020-05-24,31,2
