date,cases,deaths
2020-03-28,1,0
2020-03-29,2,0
2020-03-30,2,0
2020-03-31,2,0
2020-04-01,2,0
2020-04-02,2,0
2020-04-03,2,0
2020-04-04,5,0
2020-04-05,6,0
2020-04-06,9,0
2020-04-07,12,0
2020-04-08,13,1
2020-04-09,15,1
2020-04-10,14,1
2020-04-11,23,1
2020-04-12,35,1
2020-04-13,42,3
2020-04-14,45,3
2020-04-15,44,5
2020-04-16,47,6
2020-04-17,47,6
2020-04-18,55,7
2020-04-19,54,7
2020-04-20,55,9
2020-04-21,60,9
2020-04-22,93,10
2020-04-23,96,10
2020-04-24,99,10
2020-04-25,100,11
2020-04-26,102,11
2020-04-27,103,11
2020-04-28,103,11
2020-04-29,105,11
2020-04-30,106,12
2020-05-01,109,12
2020-05-02,119,12
2020-05-03,122,12
2020-05-04,124,13
2020-05-05,126,13
2020-05-06,129,13
2020-05-07,133,14
2020-05-08,138,15
2020-05-09,140,15
2020-05-10,144,15
2020-05-11,146,15
2020-05-12,149,16
2020-05-13,151,16
2020-05-14,154,16
2020-05-15,159,17
2020-05-16,163,17
2020-05-17,165,17
2020-05-18,169,17
2020-05-19,170,17
2020-05-20,176,17
2020-05-21,182,17
2020-05-22,184,17
2020-05-23,187,18
2020-05-24,187,19
2020-05-25,188,19
2020-05-26,188,19
2020-05-27,189,19
2020-05-28,192,19
2020-05-29,195,19
