date,cases,deaths
2020-04-15,3,0
2020-04-16,3,0
2020-04-17,4,0
2020-04-18,5,0
2020-04-19,5,0
2020-04-20,5,0
2020-04-21,5,0
2020-04-22,5,0
2020-04-23,6,0
2020-04-24,7,0
2020-04-25,7,0
2020-04-26,8,0
2020-04-27,8,0
2020-04-28,8,0
2020-04-29,11,0
2020-04-30,17,0
2020-05-01,19,0
2020-05-02,21,0
2020-05-03,28,0
2020-05-04,30,0
2020-05-05,32,1
2020-05-06,48,1
2020-05-07,52,1
2020-05-08,58,1
2020-05-09,62,1
2020-05-10,63,1
2020-05-11,63,1
2020-05-12,63,1
2020-05-13,105,1
2020-05-14,113,1
2020-05-15,117,4
2020-05-16,122,4
2020-05-17,122,4
2020-05-18,122,4
