date,cases,deaths
2020-04-01,1,0.0
2020-04-02,2,0.0
2020-04-03,2,0.0
2020-04-04,5,0.0
2020-04-05,5,0.0
2020-04-06,5,0.0
2020-04-07,5,0.0
2020-04-08,5,0.0
2020-04-09,5,0.0
2020-04-10,7,0.0
2020-04-11,7,0.0
2020-04-12,8,0.0
2020-04-13,8,0.0
2020-04-14,8,0.0
2020-04-15,8,0.0
2020-04-16,8,0.0
2020-04-17,8,0.0
2020-04-18,9,0.0
2020-04-19,9,0.0
2020-04-20,9,0.0
2020-04-21,10,0.0
2020-04-22,10,0.0
2020-04-23,10,0.0
2020-04-24,11,0.0
2020-04-25,11,0.0
2020-04-26,11,0.0
2020-04-27,14,0.0
2020-04-28,16,0.0
2020-04-29,16,1.0
2020-04-30,17,1.0
2020-05-01,17,1.0
2020-05-02,18,1.0
2020-05-03,18,1.0
2020-05-04,21,1.0
2020-05-05,23,1.0
2020-05-06,22,1.0
2020-05-07,23,1.0
2020-05-08,25,1.0
2020-05-09,25,1.0
2020-05-10,25,1.0
2020-05-11,25,1.0
2020-05-12,26,1.0
2020-05-13,29,1.0
2020-05-14,29,1.0
2020-05-15,29,1.0
2020-05-16,29,1.0
2020-05-17,30,1.0
2020-05-18,31,1.0
2020-05-19,30,1.0
2020-05-20,31,1.0
2020-05-21,35,1.0
2020-05-22,39,1.0
2020-05-23,39,1.0
2020-05-24,39,1.0
2020-05-25,39,1.0
2020-05-26,39,1.0
2020-05-27,37,1.0
2020-05-28,38,1.0
2020-05-29,39,1.0
2020-05-30,39,1.0
2020-05-31,40,1.0
2020-06-01,40,1.0
2020-06-02,40,1.0
2020-06-03,40,1.0
2020-06-04,41,1.0
2020-06-05,42,1.0
2020-06-06,42,1.0
2020-06-07,42,1.0
2020-06-08,42,1.0
2020-06-09,43,1.0
2020-06-10,44,1.0
2020-06-11,44,1.0
2020-06-12,44,1.0
2020-06-13,44,1.0
2020-06-14,44,1.0
2020-06-15,44,1.0
2020-06-16,46,1.0
2020-06-17,47,2.0
2020-06-18,47,2.0
2020-06-19,47,2.0
2020-06-20,49,2.0
2020-06-21,49,2.0
2020-06-22,50,2.0
2020-06-23,50,2.0
