date,cases,deaths
2020-03-27,1,0.0
2020-03-28,1,0.0
2020-03-29,1,0.0
2020-03-30,2,0.0
2020-03-31,2,0.0
2020-04-01,2,0.0
2020-04-02,2,0.0
2020-04-03,2,0.0
2020-04-04,3,0.0
2020-04-05,3,0.0
2020-04-06,3,0.0
2020-04-07,3,0.0
2020-04-08,3,0.0
2020-04-09,3,0.0
2020-04-10,4,0.0
2020-04-11,5,0.0
2020-04-12,5,0.0
2020-04-13,5,0.0
2020-04-14,6,1.0
2020-04-15,6,1.0
2020-04-16,6,1.0
2020-04-17,6,1.0
2020-04-18,6,1.0
2020-04-19,6,1.0
2020-04-20,7,1.0
2020-04-21,8,1.0
2020-04-22,7,1.0
2020-04-23,7,1.0
2020-04-24,8,1.0
2020-04-25,9,1.0
2020-04-26,13,1.0
2020-04-27,18,1.0
2020-04-28,18,1.0
2020-04-29,21,1.0
2020-04-30,22,1.0
2020-05-01,24,1.0
2020-05-02,25,1.0
2020-05-03,41,1.0
2020-05-04,56,1.0
2020-05-05,63,1.0
2020-05-06,65,1.0
2020-05-07,66,1.0
2020-05-08,70,2.0
2020-05-09,71,2.0
2020-05-10,71,2.0
2020-05-11,71,2.0
2020-05-12,71,2.0
2020-05-13,73,2.0
2020-05-14,75,2.0
2020-05-15,77,2.0
2020-05-16,78,2.0
2020-05-17,79,2.0
2020-05-18,79,2.0
2020-05-19,79,2.0
2020-05-20,81,2.0
2020-05-21,85,2.0
2020-05-22,87,2.0
2020-05-23,88,2.0
2020-05-24,91,2.0
2020-05-25,92,2.0
2020-05-26,92,2.0
2020-05-27,93,2.0
2020-05-28,93,3.0
2020-05-29,92,2.0
2020-05-30,93,2.0
2020-05-31,93,2.0
2020-06-01,93,2.0
2020-06-02,93,3.0
2020-06-03,93,3.0
2020-06-04,94,3.0
2020-06-05,95,2.0
2020-06-06,96,2.0
2020-06-07,96,2.0
2020-06-08,96,2.0
2020-06-09,95,2.0
2020-06-10,96,2.0
2020-06-11,97,2.0
2020-06-12,98,2.0
2020-06-13,98,2.0
2020-06-14,99,2.0
2020-06-15,101,2.0
2020-06-16,102,2.0
2020-06-17,102,2.0
2020-06-18,103,2.0
2020-06-19,103,2.0
2020-06-20,103,2.0
2020-06-21,103,2.0
2020-06-22,103,2.0
2020-06-23,103,2.0
2020-06-24,103,2.0
2020-06-25,104,2.0
2020-06-26,109,2.0
2020-06-27,107,2.0
2020-06-28,107,2.0
2020-06-29,107,2.0
2020-06-30,108,2.0
2020-07-01,109,2.0
2020-07-02,109,2.0
2020-07-03,110,2.0
2020-07-04,110,2.0
2020-07-05,110,2.0
2020-07-06,110,2.0
2020-07-07,110,2.0
2020-07-08,110,2.0
2020-07-09,112,2.0
2020-07-10,113,2.0
2020-07-11,114,2.0
2020-07-12,114,2.0
2020-07-13,114,2.0
2020-07-14,114,2.0
2020-07-15,115,2.0
2020-07-16,116,2.0
2020-07-17,118,2.0
2020-07-18,119,2.0
2020-07-19,119,2.0
2020-07-20,120,2.0
2020-07-21,120,2.0
2020-07-22,120,2.0
