date,cases,deaths
2020-03-25,1,0
2020-03-26,1,0
2020-03-27,1,0
2020-03-28,1,0
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,1,0
2020-04-01,2,0
2020-04-02,2,0
2020-04-03,3,0
2020-04-04,3,0
2020-04-05,4,0
2020-04-06,4,0
2020-04-07,4,0
2020-04-08,4,0
2020-04-09,5,0
2020-04-10,5,0
2020-04-11,5,0
2020-04-12,5,0
2020-04-13,6,0
2020-04-14,6,0
2020-04-15,6,1
2020-04-16,10,1
2020-04-17,11,1
2020-04-18,13,1
2020-04-19,13,1
2020-04-20,14,2
2020-04-21,14,2
2020-04-22,14,2
2020-04-23,15,2
2020-04-24,15,2
2020-04-25,16,2
2020-04-26,16,2
2020-04-27,16,2
2020-04-28,17,2
2020-04-29,19,2
2020-04-30,21,2
2020-05-01,21,2
2020-05-02,22,2
2020-05-03,23,2
2020-05-04,23,2
2020-05-05,23,2
2020-05-06,24,2
2020-05-07,24,2
2020-05-08,24,2
2020-05-09,24,2
2020-05-10,24,2
2020-05-11,24,2
2020-05-12,25,2
2020-05-13,25,2
2020-05-14,26,2
2020-05-15,26,2
2020-05-16,26,2
2020-05-17,27,2
2020-05-18,26,2
2020-05-19,27,2
2020-05-20,27,2
2020-05-21,27,2
2020-05-22,27,2
2020-05-23,29,2
2020-05-24,29,2
2020-05-25,30,2
2020-05-26,32,2
2020-05-27,34,2
2020-05-28,34,2
2020-05-29,34,2
2020-05-30,38,2
2020-05-31,38,2
2020-06-01,38,2
2020-06-02,38,2
2020-06-03,44,2
2020-06-04,45,2
2020-06-05,46,2
2020-06-06,56,2
2020-06-07,68,2
2020-06-08,70,2
2020-06-09,80,2
2020-06-10,85,2
2020-06-11,95,3
2020-06-12,96,3
2020-06-13,104,3
2020-06-14,111,3
2020-06-15,122,4
2020-06-16,124,4
2020-06-17,124,4
2020-06-18,130,4
2020-06-19,134,4
2020-06-20,140,4
2020-06-21,140,4
2020-06-22,140,5
2020-06-23,140,5
2020-06-24,141,5
2020-06-25,147,5
2020-06-26,149,5
2020-06-27,152,5
2020-06-28,156,5
2020-06-29,157,5
2020-06-30,158,5
2020-07-01,160,5
2020-07-02,160,5
2020-07-03,160,5
2020-07-04,161,5
2020-07-05,163,5
2020-07-06,163,5
2020-07-07,164,5
2020-07-08,164,5
2020-07-09,164,5
2020-07-10,168,5
2020-07-11,170,5
2020-07-12,170,5
2020-07-13,170,5
2020-07-14,172,5
2020-07-15,172,5
2020-07-16,173,5
2020-07-17,175,5
2020-07-18,175,5
2020-07-19,176,5
2020-07-20,177,5
2020-07-21,180,5
2020-07-22,181,5
2020-07-23,186,5
2020-07-24,195,5
2020-07-25,197,5
2020-07-26,199,5
2020-07-27,199,5
2020-07-28,206,5
2020-07-29,208,5
