date,cases,deaths
2020-03-29,1,0
2020-03-30,1,0
2020-03-31,2,0
2020-04-01,3,0
2020-04-02,8,0
2020-04-03,9,0
2020-04-04,9,0
2020-04-05,10,0
2020-04-06,11,0
2020-04-07,11,0
2020-04-08,12,0
2020-04-09,12,0
2020-04-10,14,1
2020-04-11,15,2
2020-04-12,20,2
2020-04-13,26,2
2020-04-14,26,2
2020-04-15,29,3
2020-04-16,37,3
2020-04-17,38,4
2020-04-18,43,4
2020-04-19,43,4
2020-04-20,43,5
2020-04-21,45,5
2020-04-22,45,5
2020-04-23,45,5
2020-04-24,46,5
2020-04-25,48,6
2020-04-26,49,7
2020-04-27,48,6
2020-04-28,50,7
2020-04-29,58,8
2020-04-30,59,8
2020-05-01,93,8
2020-05-02,98,8
2020-05-03,99,8
2020-05-04,99,8
2020-05-05,100,9
2020-05-06,105,10
2020-05-07,136,11
2020-05-08,150,11
2020-05-09,151,11
2020-05-10,151,13
2020-05-11,151,17
2020-05-12,155,19
2020-05-13,155,20
2020-05-14,157,20
2020-05-15,158,20
2020-05-16,158,23
2020-05-17,162,24
2020-05-18,164,24
2020-05-19,165,24
2020-05-20,166,24
2020-05-21,169,24
2020-05-22,171,25
2020-05-23,171,26
2020-05-24,171,26
2020-05-25,171,26
2020-05-26,171,27
2020-05-27,172,27
2020-05-28,172,27
2020-05-29,172,27
2020-05-30,173,27
2020-05-31,173,27
2020-06-01,173,28
2020-06-02,173,28
2020-06-03,175,28
2020-06-04,176,28
2020-06-05,176,29
2020-06-06,178,30
2020-06-07,179,30
2020-06-08,179,31
2020-06-09,179,31
2020-06-10,182,31
2020-06-11,182,31
2020-06-12,182,31
2020-06-13,182,31
2020-06-14,184,32
2020-06-15,186,32
2020-06-16,186,32
2020-06-17,187,32
